"AphiaID","scientificName","scientificNameID","match_type","acceptedNameUsageID","vernacularName","scientificNameOriginal","rank","gbif_speciesKey","gbif_matchType","taxonID"
"289898","Entacmaea quadricolor","urn:lsid:marinespecies.org:taxname:289898","exact","289898","Bubble-tip Anemone","Entacmaea quadricolor","Species",NA,NA,"289898"
"290089","Radianthus crispa","urn:lsid:marinespecies.org:taxname:290089","exact","290089","Sebae Anemone","Radianthus crispa","Species",NA,NA,"290089"
"854493","Radianthus magnifica","urn:lsid:marinespecies.org:taxname:854493","exact","854493","Magnificent Sea Anemone","Radianthus magnifica","Species",NA,NA,"854493"
"291133","Stichodactyla gigantea","urn:lsid:marinespecies.org:taxname:291133","exact","291133","Gigantic Sea Anemone","Stichodactyla gigantea","Species",NA,NA,"291133"
"289169","Cryptodendrum adhaesivum","urn:lsid:marinespecies.org:taxname:289169","exact","289169","Adhesive Sea Anemone","Cryptodendrum adhaesivum","Species",NA,NA,"289169"
"1783466","Macrodactyla doreensis","urn:lsid:marinespecies.org:taxname:288167","exact","1783466","Long Tentacle Anemone","Macrodactyla doreensis","Species",NA,NA,"1783466"
"291136","Stichodactyla mertensii","urn:lsid:marinespecies.org:taxname:291136","exact","291136","Merten's Sea Anemone","Stichodactyla mertensii","Species",NA,NA,"291136"
"291134","Stichodactyla haddoni","urn:lsid:marinespecies.org:taxname:291134","exact","291134","Haddon's Sea Anemone","Stichodactyla haddoni","Species",NA,NA,"291134"
"289229","Radianthus malu","urn:lsid:marinespecies.org:taxname:289229","exact","289229","Malu Anemone","Radianthus malu","Species",NA,NA,"289229"
"206704","Radianthus","urn:lsid:marinespecies.org:taxname:206704","exact","206704","Beaded Sea Anemone","Radianthus aurora","Species",NA,NA,"206704"
