AnemonefishScientificName,AssociatedAnemoneScientificName
Amphiprion clarkii,Entacmaea quadricolor
Amphiprion clarkii,Radianthus crispa
Amphiprion clarkii,Radianthus magnifica
Amphiprion clarkii,Stichodactyla gigantea
Amphiprion clarkii,Cryptodendrum adhaesivum
Amphiprion clarkii,Macrodactyla doreensis
Amphiprion clarkii,Stichodactyla mertensii
Amphiprion clarkii,Stichodactyla haddoni
Amphiprion clarkii,Radianthus malu
Amphiprion frenatus,Entacmaea quadricolor
Amphiprion ocellaris,Stichodactyla gigantea
Amphiprion ocellaris,Radianthus magnifica
Amphiprion ocellaris,Stichodactyla mertensii
Amphiprion perideraion,Radianthus magnifica
Amphiprion perideraion,Radianthus crispa
Amphiprion perideraion,Macrodactyla doreensis
Amphiprion perideraion,Stichodactyla gigantea
Amphiprion polymnus,Radianthus crispa
Amphiprion polymnus,Stichodactyla haddoni
Amphiprion sandaracinos,Stichodactyla mertensii
Amphiprion sandaracinos,Radianthus crispa
