scientificName,decimalLongitude,decimalLatitude,date_year,month,day,eventDate,dataset_id,occurrenceStatus,depth,source
Radianthus crispa,129.5,-3.0999999049999998,NA,NA,NA,NA,6c813a6c-86f7-4d45-beb5-33eebd8de938,present,NA,obis.org
Radianthus crispa,129.5,-3.09999990463,NA,NA,NA,NA,c380d2c9-98b3-48cf-af6c-56a88b81f1a4,NA,NA,obis.org
Radianthus crispa,145.787948608,18.1683197021,2007,6,5,2007-06-05,da77ef95-bff6-43f9-8af8-2a1dfa400ba8,NA,12,obis.org
Radianthus crispa,127.9447313,26.5974838,2007,NA,NA,2007-07-31,61a0fac8-6bba-4c30-986b-248bc12da62c,Present,5,obis.org
Radianthus crispa,153.399993896,-27.1800003052,NA,NA,NA,NA,c380d2c9-98b3-48cf-af6c-56a88b81f1a4,NA,NA,obis.org
Radianthus crispa,153.179992676,-26.6299991608,NA,NA,NA,NA,c380d2c9-98b3-48cf-af6c-56a88b81f1a4,NA,NA,obis.org
Radianthus crispa,145.208724976,20.0134792328,2007,6,1,2007-06-01,da77ef95-bff6-43f9-8af8-2a1dfa400ba8,NA,13,obis.org
Radianthus crispa,127.3899994,0.779999971,NA,NA,NA,NA,6c813a6c-86f7-4d45-beb5-33eebd8de938,present,NA,obis.org
Radianthus crispa,-144.9400024,-16.10000038,NA,NA,NA,NA,6c813a6c-86f7-4d45-beb5-33eebd8de938,present,NA,obis.org
Radianthus crispa,34,28.5,NA,NA,NA,NA,c380d2c9-98b3-48cf-af6c-56a88b81f1a4,NA,10,obis.org
Radianthus crispa,129.8399963,-4.53000021,NA,NA,NA,NA,6c813a6c-86f7-4d45-beb5-33eebd8de938,present,NA,obis.org
Radianthus crispa,128.1600037,-3.700000048,NA,NA,NA,NA,6c813a6c-86f7-4d45-beb5-33eebd8de938,present,NA,obis.org
Radianthus crispa,153.1799927,-26.62999916,NA,NA,NA,NA,6c813a6c-86f7-4d45-beb5-33eebd8de938,present,NA,obis.org
Radianthus crispa,132.699996948,-5.69999980927,NA,NA,NA,NA,c380d2c9-98b3-48cf-af6c-56a88b81f1a4,NA,NA,obis.org
Radianthus crispa,153.3800049,-29.92000008,NA,NA,NA,NA,6c813a6c-86f7-4d45-beb5-33eebd8de938,present,NA,obis.org
Radianthus crispa,58.73971,23.52733,2020,NA,NA,2020-01-17,c5687a17-e454-40f9-9a4b-d04b2c812d74,NA,NA,obis.org
Radianthus crispa,-144.940002441,-16.1000003815,NA,NA,NA,NA,c380d2c9-98b3-48cf-af6c-56a88b81f1a4,NA,NA,obis.org
Radianthus crispa,127.949996948,26.6499996185,NA,NA,NA,NA,c380d2c9-98b3-48cf-af6c-56a88b81f1a4,NA,2,obis.org
Radianthus crispa,145.452,-14.6848,2009,NA,NA,2009-04-14,0e4e4700-5e70-48b1-b100-d6b05888dfa9,present,NA,obis.org
Radianthus crispa,120.84127,13.65083,2014,5,4,2014-05-04,aa16d305-d413-4c4a-90be-b1ec3298d58d,NA,NA,obis.org
Radianthus crispa,153.3999939,-27.18000031,NA,NA,NA,NA,6c813a6c-86f7-4d45-beb5-33eebd8de938,present,NA,obis.org
Radianthus crispa,95,10,1896,NA,NA,NA,6d4cc1ed-ed0a-4a17-abd3-7daaa8cb3fb0,present,NA,obis.org
Radianthus crispa,119.300003052,-5.5,NA,NA,NA,NA,c380d2c9-98b3-48cf-af6c-56a88b81f1a4,NA,14,obis.org
Radianthus crispa,122.98484,-12.26233,1986,NA,NA,1986-09-11,0a6c216b-0abe-44d2-a45c-43d9611e2a03,present,NA,obis.org
Radianthus crispa,162.240005493,11.6400003433,NA,NA,NA,NA,c380d2c9-98b3-48cf-af6c-56a88b81f1a4,NA,NA,obis.org
Radianthus crispa,145.679992676,-15.529999733,NA,NA,NA,NA,c380d2c9-98b3-48cf-af6c-56a88b81f1a4,NA,NA,obis.org
Radianthus crispa,153.55,-27.4,2005,NA,NA,2005-02-18,6078be2d-e1af-47b3-bd70-3956dd95f664,present,NA,obis.org
Radianthus crispa,144.75,13.470000267,NA,NA,NA,NA,c380d2c9-98b3-48cf-af6c-56a88b81f1a4,NA,NA,obis.org
Radianthus crispa,124.625,-15.49,NA,NA,NA,NA,0a6c216b-0abe-44d2-a45c-43d9611e2a03,present,NA,obis.org
Radianthus crispa,93,10,1896,NA,NA,NA,6d4cc1ed-ed0a-4a17-abd3-7daaa8cb3fb0,present,NA,obis.org
Radianthus crispa,132.6999969,-5.699999809,NA,NA,NA,NA,6c813a6c-86f7-4d45-beb5-33eebd8de938,present,NA,obis.org
Radianthus crispa,147.731,-18.9445,1987,NA,NA,1987-02-02,6078be2d-e1af-47b3-bd70-3956dd95f664,present,NA,obis.org
Radianthus crispa,52.7299995422,-7.07999992371,NA,NA,NA,NA,c380d2c9-98b3-48cf-af6c-56a88b81f1a4,NA,3.5,obis.org
Radianthus crispa,144.2700043,-3.7300000190000002,NA,NA,NA,NA,6c813a6c-86f7-4d45-beb5-33eebd8de938,present,16,obis.org
Radianthus crispa,55.3699989319,-5.82000017166,NA,NA,NA,NA,c380d2c9-98b3-48cf-af6c-56a88b81f1a4,NA,NA,obis.org
Radianthus crispa,166.410003662,-22.2999992371,NA,NA,NA,NA,c380d2c9-98b3-48cf-af6c-56a88b81f1a4,NA,NA,obis.org
Radianthus crispa,34.3,27.75,1834,NA,NA,NA,6d4cc1ed-ed0a-4a17-abd3-7daaa8cb3fb0,present,NA,obis.org
Radianthus crispa,127.38999939,0.77999997139,NA,NA,NA,NA,c380d2c9-98b3-48cf-af6c-56a88b81f1a4,NA,NA,obis.org
Radianthus crispa,153.3999939,-30.10000038,NA,NA,NA,NA,6c813a6c-86f7-4d45-beb5-33eebd8de938,present,NA,obis.org
Radianthus crispa,153.399993896,-30.1000003815,NA,NA,NA,NA,c380d2c9-98b3-48cf-af6c-56a88b81f1a4,NA,NA,obis.org
Radianthus crispa,166.4100037,-22.299999239999998,NA,NA,NA,NA,6c813a6c-86f7-4d45-beb5-33eebd8de938,present,NA,obis.org
Radianthus crispa,34.9500007629,29.5300006866,NA,NA,NA,NA,c380d2c9-98b3-48cf-af6c-56a88b81f1a4,NA,7.5,obis.org
Radianthus crispa,-148.679992676,-14.8699998856,NA,NA,NA,NA,c380d2c9-98b3-48cf-af6c-56a88b81f1a4,NA,NA,obis.org
Radianthus crispa,46.2066688538,-9.3983297348,1967,8,25,1967-08-25,89e23fc8-3f61-4480-9de3-358fe6eefe0b,NA,3,obis.org
Radianthus crispa,48.2466697693,-13.4772195816,1964,1,21,1964-01-21,89e23fc8-3f61-4480-9de3-358fe6eefe0b,NA,2,obis.org
Radianthus crispa,55.8300018311,-4.38000011444,NA,NA,NA,NA,c380d2c9-98b3-48cf-af6c-56a88b81f1a4,NA,12,obis.org
Radianthus crispa,145.5,-14.63000011,NA,NA,NA,NA,6c813a6c-86f7-4d45-beb5-33eebd8de938,present,NA,obis.org
Radianthus crispa,34.6383323669,28.5799999237,1834,NA,NA,1834-07-02,d0d2a510-ba24-487b-80ca-afc86922cb1c,NA,NA,obis.org
Radianthus crispa,145.6799927,-15.52999973,NA,NA,NA,NA,6c813a6c-86f7-4d45-beb5-33eebd8de938,present,NA,obis.org
Radianthus crispa,127.9447313,26.5974838,2007,NA,NA,2007-07-09,61a0fac8-6bba-4c30-986b-248bc12da62c,Present,2,obis.org
Radianthus crispa,128.160003662,-3.70000004768,NA,NA,NA,NA,c380d2c9-98b3-48cf-af6c-56a88b81f1a4,NA,1.5,obis.org
Radianthus crispa,52.7200012207,-7.03000020981,NA,NA,NA,NA,c380d2c9-98b3-48cf-af6c-56a88b81f1a4,NA,25,obis.org
Radianthus crispa,126.5,25.5,NA,NA,NA,NA,c380d2c9-98b3-48cf-af6c-56a88b81f1a4,NA,NA,obis.org
