decimalLongitude,decimalLatitude,eventDate,basisOfRecord,datasetName,occurrenceStatus,depth,source,species
125.61361111111111,-8.52944444444445,2025-03-06,PreservedSpecimen,NA,NA,NA,OBIS,Heteractis_aurora
132.699996948,-5.69999980927,NA,HumanObservation,NA,NA,NA,OBIS,Heteractis_aurora
145.5,-14.6300001144,NA,HumanObservation,NA,NA,NA,OBIS,Heteractis_aurora
53.2999992371,-5.75,NA,HumanObservation,NA,NA,15,OBIS,Heteractis_aurora
128.0703514,26.534194,2008-08-17,HumanObservation,Image collection in the Coral Reef Network WEB System: A snapshot of the fauna and flora around the coral reefs of the Ryukyu Islands from 2002 to 2013,Present,4,OBIS,Heteractis_aurora
144.8999939,-4.199999809,NA,HumanObservation,South Pacific Regional Fisheries Management Organisation Vulnerable Marine Ecosystem dataset,present,NA,OBIS,Heteractis_aurora
124.169998169,24.4200000763,NA,HumanObservation,NA,NA,NA,OBIS,Heteractis_aurora
132.6999969,-5.699999809,NA,HumanObservation,South Pacific Regional Fisheries Management Organisation Vulnerable Marine Ecosystem dataset,present,NA,OBIS,Heteractis_aurora
145.5,-14.63000011,NA,HumanObservation,South Pacific Regional Fisheries Management Organisation Vulnerable Marine Ecosystem dataset,present,NA,OBIS,Heteractis_aurora
144.0700073,-9.9200000760000009,NA,HumanObservation,South Pacific Regional Fisheries Management Organisation Vulnerable Marine Ecosystem dataset,present,0,OBIS,Heteractis_aurora
145.789993286,-5.23000001907,NA,HumanObservation,NA,NA,NA,OBIS,Heteractis_aurora
90,15,1833-07-02T12:00:00Z,HumanObservation,NA,present,NA,OBIS,Heteractis_aurora
127.949996948,26.6499996185,NA,HumanObservation,NA,NA,150,OBIS,Heteractis_aurora
106.830001831,-6.07999992371,NA,HumanObservation,NA,NA,NA,OBIS,Heteractis_aurora
178.0500031,-18.75,NA,HumanObservation,South Pacific Regional Fisheries Management Organisation Vulnerable Marine Ecosystem dataset,present,3,OBIS,Heteractis_aurora
58.7400016785,23.5300006866,NA,HumanObservation,NA,NA,NA,OBIS,Heteractis_aurora
34.2799987793,26.1200008392,NA,HumanObservation,NA,NA,40,OBIS,Heteractis_aurora
109.400001526,12.8199996948,NA,HumanObservation,NA,NA,7.5,OBIS,Heteractis_aurora
34.9500007629,29.5300006866,NA,HumanObservation,NA,NA,35,OBIS,Heteractis_aurora
39.25,-5.86999988556,NA,HumanObservation,NA,NA,NA,OBIS,Heteractis_aurora
135.339996338,33.6899986267,NA,HumanObservation,NA,NA,6,OBIS,Heteractis_aurora
39.22,-5.82,NA,PreservedSpecimen,NA,present,NA,OBIS,Heteractis_aurora
55.6666679382,-4.58277797699,1833-07-02T12:00:00Z,HumanObservation,NA,NA,NA,OBIS,Heteractis_aurora
39.2999992371,-6.09999990463,NA,HumanObservation,NA,NA,NA,OBIS,Heteractis_aurora
152.1199951,-3.4000000950000002,NA,HumanObservation,South Pacific Regional Fisheries Management Organisation Vulnerable Marine Ecosystem dataset,present,NA,OBIS,Heteractis_aurora
121.699996948,-18.8999996185,NA,HumanObservation,NA,NA,NA,OBIS,Heteractis_aurora
145.8399963,-5.179999828,NA,HumanObservation,South Pacific Regional Fisheries Management Organisation Vulnerable Marine Ecosystem dataset,present,21,OBIS,Heteractis_aurora
39.2099990845,-5.82000017166,NA,HumanObservation,NA,NA,NA,OBIS,Heteractis_aurora
145.7899933,-5.230000019,NA,HumanObservation,South Pacific Regional Fisheries Management Organisation Vulnerable Marine Ecosystem dataset,present,NA,OBIS,Heteractis_aurora
147.1799927,-9.5,NA,HumanObservation,South Pacific Regional Fisheries Management Organisation Vulnerable Marine Ecosystem dataset,present,NA,OBIS,Heteractis_aurora
129.5,-3.0999999049999998,NA,HumanObservation,South Pacific Regional Fisheries Management Organisation Vulnerable Marine Ecosystem dataset,present,NA,OBIS,Heteractis_aurora
145.66499,-14.6642,2012-10-27 00:10:00,HumanObservation,NA,present,NA,OBIS,Heteractis_aurora
104.155,2.825,2004,MachineObservation,Asia-Pacific Dataset,Present,NA,OBIS,Heteractis_aurora
55.3499984741,-5.82999992371,NA,HumanObservation,NA,NA,3,OBIS,Heteractis_aurora
162.380004883,11.4300003052,NA,HumanObservation,NA,NA,NA,OBIS,Heteractis_aurora
147.2765,-9.5345,1992-10-22,PreservedSpecimen,NA,NA,12,OBIS,Heteractis_aurora
134.0800018,-0.870000005,NA,HumanObservation,South Pacific Regional Fisheries Management Organisation Vulnerable Marine Ecosystem dataset,present,NA,OBIS,Heteractis_aurora
129.5,-3.09999990463,NA,HumanObservation,NA,NA,NA,OBIS,Heteractis_aurora
46.2066688538,-9.3983297348,1967-08-25T12:00:00Z,PreservedSpecimen,NA,NA,3,OBIS,Heteractis_aurora
132.7166666667,-5.4333333333,1977-10-26,PreservedSpecimen,NA,NA,14,OBIS,Heteractis_aurora
128.160003662,-3.70000004768,NA,HumanObservation,NA,NA,NA,OBIS,Heteractis_aurora
52.7299995422,-7.07999992371,NA,HumanObservation,NA,NA,3,OBIS,Heteractis_aurora
-162.369995117,6.40999984741,NA,HumanObservation,NA,NA,41.5,OBIS,Heteractis_aurora
38.8526167,22.3481,2014-03-02,PreservedSpecimen,NA,NA,NA,OBIS,Heteractis_aurora
126.5,25.5,NA,HumanObservation,NA,NA,NA,OBIS,Heteractis_aurora
73.5299987793,4.17999982834,NA,HumanObservation,NA,NA,NA,OBIS,Heteractis_aurora
162.240005493,11.6400003433,NA,HumanObservation,NA,NA,NA,OBIS,Heteractis_aurora
120.61016,13.89273,2014-05-14,PreservedSpecimen,NA,NA,NA,OBIS,Heteractis_aurora
55.2000007629,-3.70000004768,NA,HumanObservation,NA,NA,10,OBIS,Heteractis_aurora
45.0400009155,12.8100004196,NA,HumanObservation,NA,NA,NA,OBIS,Heteractis_aurora
57.5800018311,24.9099998474,NA,HumanObservation,NA,NA,NA,OBIS,Heteractis_aurora
142.2599945,-9.890000343,NA,HumanObservation,South Pacific Regional Fisheries Management Organisation Vulnerable Marine Ecosystem dataset,present,NA,OBIS,Heteractis_aurora
134.5,-6.199999809,NA,HumanObservation,South Pacific Regional Fisheries Management Organisation Vulnerable Marine Ecosystem dataset,present,NA,OBIS,Heteractis_aurora
-162.3699951,6.409999847,NA,HumanObservation,South Pacific Regional Fisheries Management Organisation Vulnerable Marine Ecosystem dataset,present,41.5,OBIS,Heteractis_aurora
128,-3,NA,HumanObservation,NA,NA,NA,OBIS,Heteractis_aurora
120.60554,13.90802,2014-05-08,PreservedSpecimen,NA,NA,NA,OBIS,Heteractis_aurora
152.119995117,-3.40000009537,NA,HumanObservation,NA,NA,NA,OBIS,Heteractis_aurora
144.070007324,-9.92000007629,NA,HumanObservation,NA,NA,0,OBIS,Heteractis_aurora
134.5,-6.19999980927,NA,HumanObservation,NA,NA,NA,OBIS,Heteractis_aurora
55.666668,-4.582778,1833,HumanObservation,NA,present,NA,OBIS,Heteractis_aurora
144.899993896,-4.19999980927,NA,HumanObservation,NA,NA,NA,OBIS,Heteractis_aurora
119.300003052,-5.5,NA,HumanObservation,NA,NA,19,OBIS,Heteractis_aurora
120.61042,13.92994,2014-05-13,PreservedSpecimen,NA,NA,NA,OBIS,Heteractis_aurora
128,26.0799999237,NA,HumanObservation,NA,NA,NA,OBIS,Heteractis_aurora
142.259994507,-9.89000034332,NA,HumanObservation,NA,NA,NA,OBIS,Heteractis_aurora
53.0200004578,-6.21999979019,NA,HumanObservation,NA,NA,12,OBIS,Heteractis_aurora
145.442,-14.6857,2014-11-23 00:11:00,HumanObservation,NA,present,NA,OBIS,Heteractis_aurora
152.7100067,-4.659999847,NA,HumanObservation,South Pacific Regional Fisheries Management Organisation Vulnerable Marine Ecosystem dataset,present,1.5,OBIS,Heteractis_aurora
145.839996338,-5.17999982834,NA,HumanObservation,NA,NA,21,OBIS,Heteractis_aurora
160.0634,-8.95275,2006-06-16,HumanObservation,NA,present,NA,OBIS,Heteractis_aurora
120.61095,13.93216,2014-05-13,PreservedSpecimen,NA,NA,NA,OBIS,Heteractis_aurora
78.8867,8.9532,2002/2011,HumanObservation,NA,present,NA,OBIS,Heteractis_aurora
178.050003052,-18.75,NA,HumanObservation,NA,NA,3,OBIS,Heteractis_aurora
55.3699989319,-5.82000017166,NA,HumanObservation,NA,NA,12.5,OBIS,Heteractis_aurora
144.75,13.470000267,NA,HumanObservation,NA,NA,NA,OBIS,Heteractis_aurora
121.6999969,-18.89999962,NA,HumanObservation,South Pacific Regional Fisheries Management Organisation Vulnerable Marine Ecosystem dataset,present,NA,OBIS,Heteractis_aurora
128.1600037,-3.700000048,NA,HumanObservation,South Pacific Regional Fisheries Management Organisation Vulnerable Marine Ecosystem dataset,present,NA,OBIS,Heteractis_aurora
147.179992676,-9.5,NA,HumanObservation,NA,NA,NA,OBIS,Heteractis_aurora
145.65401,-14.6591,2016-01-24 00:01:00,HumanObservation,NA,present,NA,OBIS,Heteractis_aurora
41.94432,16.4892,2013-03-09,PreservedSpecimen,NA,NA,NA,OBIS,Heteractis_aurora
118.625017,-20.295685,2025-01-04T07:37:01,HUMAN_OBSERVATION,iNaturalist research-grade observations,PRESENT,NA,GBIF,Heteractis_aurora
114.3188,22.33116,2025-01-02T13:07:45,HUMAN_OBSERVATION,iNaturalist research-grade observations,PRESENT,NA,GBIF,Heteractis_aurora
114.318524,22.331523,2025-01-02T13:08:39,HUMAN_OBSERVATION,iNaturalist research-grade observations,PRESENT,NA,GBIF,Heteractis_aurora
118.615681,-20.303912,2025-01-18T06:03:52,HUMAN_OBSERVATION,iNaturalist research-grade observations,PRESENT,NA,GBIF,Heteractis_aurora
118.615673,-20.303892,2025-01-18T06:04:31,HUMAN_OBSERVATION,iNaturalist research-grade observations,PRESENT,NA,GBIF,Heteractis_aurora
120.863285,13.744791,2025-01-28T12:30:52,HUMAN_OBSERVATION,iNaturalist research-grade observations,PRESENT,NA,GBIF,Heteractis_aurora
118.943406,4.574861,2025-01-24T10:47,HUMAN_OBSERVATION,iNaturalist research-grade observations,PRESENT,NA,GBIF,Heteractis_aurora
115.760743,-32.105501,2025-02-15T10:25,HUMAN_OBSERVATION,iNaturalist research-grade observations,PRESENT,NA,GBIF,Heteractis_aurora
