decimalLongitude,decimalLatitude,eventDate,basisOfRecord,datasetName,occurrenceStatus,depth,source,species
35.333332,-21.616667,NA,PreservedSpecimen,NA,present,NA,OBIS,Amphiprion_allardi
39.666668,-5.133333,1952-11-28,PreservedSpecimen,NA,present,NA,OBIS,Amphiprion_allardi
40.36666667,-22.36666667,2011,HumanObservation,NA,present,NA,OBIS,Amphiprion_allardi
32.682817,-27.5297,2005-04-27,HumanObservation,NA,present,NA,OBIS,Amphiprion_allardi
39.466167,-6.1295,2009-10-25,PreservedSpecimen,NA,present,10,OBIS,Amphiprion_allardi
39.6775016785,-4.08472204208,1964-11-15T07:00:00Z,PreservedSpecimen,NA,NA,1,OBIS,Amphiprion_allardi
32.607567,-27.8666,2005-04-26,HumanObservation,NA,present,NA,OBIS,Amphiprion_allardi
32.683334,-27.533333,1993-06-20,PreservedSpecimen,NA,present,NA,OBIS,Amphiprion_allardi
32.68,-27.54,NA,D,NA,NA,NA,OBIS,Amphiprion_allardi
32.689724,-27.521944,2001-05-18,PreservedSpecimen,NA,present,20,OBIS,Amphiprion_allardi
32.683334,-27.516666,1979-03-31,PreservedSpecimen,NA,present,NA,OBIS,Amphiprion_allardi
32.883335,-26.833334,1995-11-09,PreservedSpecimen,NA,present,125,OBIS,Amphiprion_allardi
32.616665,-27.799999,1980-04-27,PreservedSpecimen,NA,present,29,OBIS,Amphiprion_allardi
32.666667,-27.540278,2001-05-18,HumanObservation,NA,present,NA,OBIS,Amphiprion_allardi
39.6791687012,-4.08666706085,1964-11-16T08:00:00Z,PreservedSpecimen,NA,NA,1.1,OBIS,Amphiprion_allardi
32.966667,-26.016666,1970-12-13,PreservedSpecimen,NA,present,NA,OBIS,Amphiprion_allardi
32.896767,-26.828917,2005-04-22,HumanObservation,NA,present,NA,OBIS,Amphiprion_allardi
32.866665,-26.883333,NA,PreservedSpecimen,NA,present,NA,OBIS,Amphiprion_allardi
55.53,-21.26,2004,HumanObservation,NA,present,152.5,OBIS,Amphiprion_allardi
39.59,-3.19,2006-08/2007-08,D,NA,NA,NA,OBIS,Amphiprion_allardi
39.1669998169,-6.16699981689,NA,PreservedSpecimen,NA,NA,NA,OBIS,Amphiprion_allardi
39.2833,-6.71667,1979,PreservedSpecimen,Fish,NA,NA,OBIS,Amphiprion_allardi
55.230556488,-20.615278244,1970-07-02T12:00:00Z,HumanObservation,NA,NA,NA,OBIS,Amphiprion_allardi
39.38075,-4.647817,2009-11-13,PreservedSpecimen,NA,present,NA,OBIS,Amphiprion_allardi
39.183334,-6.166667,NA,PreservedSpecimen,NA,present,NA,OBIS,Amphiprion_allardi
40.551279,-12.964166,2008-11-22,PreservedSpecimen,NA,present,4,OBIS,Amphiprion_allardi
32.6864,-27.52245,2005-04-27,HumanObservation,NA,present,NA,OBIS,Amphiprion_allardi
40.650002,-15.033334,NA,PreservedSpecimen,NA,present,NA,OBIS,Amphiprion_allardi
46.212222,-9.441707,NA,HumanObservation,NA,present,NA,OBIS,Amphiprion_allardi
46.3493133811656,-9.42222923790892,NA,HumanObservation,NA,present,NA,OBIS,Amphiprion_allardi
40.033333,-16.35,1950-09-13,PreservedSpecimen,NA,present,NA,OBIS,Amphiprion_allardi
32.883301,-26.766701,1995-11-03,PreservedSpecimen,NA,present,25,OBIS,Amphiprion_allardi
40.616665,-11.183333,1951-08-08,PreservedSpecimen,NA,present,NA,OBIS,Amphiprion_allardi
32.687,-27.527833,2005-04-28,HumanObservation,NA,present,NA,OBIS,Amphiprion_allardi
40.766666,-14.216666,NA,PreservedSpecimen,NA,present,NA,OBIS,Amphiprion_allardi
32.88575,-26.928583,2005-04-23,HumanObservation,NA,present,NA,OBIS,Amphiprion_allardi
40.566666,-12.25,NA,PreservedSpecimen,NA,present,NA,OBIS,Amphiprion_allardi
55.230556,-20.615278,1970,HumanObservation,NA,present,NA,OBIS,Amphiprion_allardi
40.549999,-12.133333,1951-08-11,PreservedSpecimen,NA,present,NA,OBIS,Amphiprion_allardi
40.566666,-12.333333,1951-08-18,PreservedSpecimen,NA,present,NA,OBIS,Amphiprion_allardi
39.477689,-6.465578,2025-01-11T15:55,HUMAN_OBSERVATION,iNaturalist research-grade observations,PRESENT,NA,GBIF,Amphiprion_allardi
39.819682,-7.937003,2025-01-24T14:35,HUMAN_OBSERVATION,iNaturalist research-grade observations,PRESENT,NA,GBIF,Amphiprion_allardi
39.575676,-4.336934,2025-01-06T12:54,HUMAN_OBSERVATION,iNaturalist research-grade observations,PRESENT,NA,GBIF,Amphiprion_allardi
39.575783,-4.336807,2025-01-06T12:54,HUMAN_OBSERVATION,iNaturalist research-grade observations,PRESENT,NA,GBIF,Amphiprion_allardi
39.83658,-3.807227,2025-01-10T10:43,HUMAN_OBSERVATION,iNaturalist research-grade observations,PRESENT,NA,GBIF,Amphiprion_allardi
39.784839,-7.947444,2025-02-28T13:56,HUMAN_OBSERVATION,iNaturalist research-grade observations,PRESENT,NA,GBIF,Amphiprion_allardi
39.168191,-6.117684,2025-02-09T16:48,HUMAN_OBSERVATION,iNaturalist research-grade observations,PRESENT,NA,GBIF,Amphiprion_allardi
39.383221,-4.658901,2025-03-20T09:52,HUMAN_OBSERVATION,iNaturalist research-grade observations,PRESENT,NA,GBIF,Amphiprion_allardi
39.392499,-4.649988,2025-03-26T10:08,HUMAN_OBSERVATION,iNaturalist research-grade observations,PRESENT,NA,GBIF,Amphiprion_allardi
39.391254000000004,-4.650298,2025-03-26T10:12,HUMAN_OBSERVATION,iNaturalist research-grade observations,PRESENT,NA,GBIF,Amphiprion_allardi
32.679215,-27.535101,2025-03-26T17:55,HUMAN_OBSERVATION,iNaturalist research-grade observations,PRESENT,NA,GBIF,Amphiprion_allardi
39.387474,-4.659214,2025-03-17T10:28,HUMAN_OBSERVATION,iNaturalist research-grade observations,PRESENT,NA,GBIF,Amphiprion_allardi
39.131084,-6.165353,2025-04-12T10:46:07,HUMAN_OBSERVATION,iNaturalist research-grade observations,PRESENT,NA,GBIF,Amphiprion_allardi
39.224286,-4.839634,2025-05-26T11:08,HUMAN_OBSERVATION,iNaturalist research-grade observations,PRESENT,NA,GBIF,Amphiprion_allardi
32.68464,-27.530645,2025-06-14T14:24,HUMAN_OBSERVATION,iNaturalist research-grade observations,PRESENT,NA,GBIF,Amphiprion_allardi
