decimalLongitude,decimalLatitude,eventDate,basisOfRecord,datasetName,occurrenceStatus,source,depth,species
43.656665802,-12.3977775574,1988-11-26T12:00:00Z,PreservedSpecimen,NA,NA,OBIS,NA,Amphiprion_latifasciatus
40.36666667,-22.36666667,2011,HumanObservation,NA,present,OBIS,NA,Amphiprion_latifasciatus
45.2125015259,-12.9811115265,1988-11-14T12:00:00Z,PreservedSpecimen,NA,NA,OBIS,NA,Amphiprion_latifasciatus
48.3816680908,-13.4361114502,1964-02-14T12:00:00Z,PreservedSpecimen,NA,NA,OBIS,NA,Amphiprion_latifasciatus
45.2125,-12.9811111111,1988-11-14T12:00:00Z,HumanObservation,NA,NA,OBIS,NA,Amphiprion_latifasciatus
43.71583,-12.3894,1988-11-22T12:00:00Z,HumanObservation,NA,NA,OBIS,NA,Amphiprion_latifasciatus
43.7158317566,-12.3893995285,1988-11-22T12:00:00Z,PreservedSpecimen,NA,NA,OBIS,NA,Amphiprion_latifasciatus
43.6566666667,-12.3977777778,1988-11-26T12:00:00Z,HumanObservation,NA,NA,OBIS,NA,Amphiprion_latifasciatus
45.094921,-12.788748,2025-07-05T08:37,HUMAN_OBSERVATION,iNaturalist research-grade observations,PRESENT,GBIF,NA,Amphiprion_latifasciatus
45.094316,-12.787016,2025-09-11T14:13,HUMAN_OBSERVATION,iNaturalist research-grade observations,PRESENT,GBIF,NA,Amphiprion_latifasciatus
48.086787,-13.313452,2025-09-24T11:40,HUMAN_OBSERVATION,iNaturalist research-grade observations,PRESENT,GBIF,NA,Amphiprion_latifasciatus
48.140857,-13.153518,2024-04-23T09:00:56,HUMAN_OBSERVATION,iNaturalist research-grade observations,PRESENT,GBIF,NA,Amphiprion_latifasciatus
45.105762,-12.649812,2023-04-27T11:19,HUMAN_OBSERVATION,iNaturalist research-grade observations,PRESENT,GBIF,NA,Amphiprion_latifasciatus
48.11744,-13.31197,2023-06-14,HUMAN_OBSERVATION,NA,PRESENT,GBIF,NA,Amphiprion_latifasciatus
48.1165,-13.30991,2023-06-14,HUMAN_OBSERVATION,NA,PRESENT,GBIF,NA,Amphiprion_latifasciatus
57.62141,-19.94403,2023-09-27,HUMAN_OBSERVATION,NA,PRESENT,GBIF,NA,Amphiprion_latifasciatus
43.677931,-12.396676,2022-08-06T08:52,HUMAN_OBSERVATION,iNaturalist research-grade observations,PRESENT,GBIF,NA,Amphiprion_latifasciatus
48.060805,-13.338102,2022-08-21T09:15,HUMAN_OBSERVATION,iNaturalist research-grade observations,PRESENT,GBIF,NA,Amphiprion_latifasciatus
43.505452,-23.093413,2022-09-13T17:43,HUMAN_OBSERVATION,iNaturalist research-grade observations,PRESENT,GBIF,NA,Amphiprion_latifasciatus
45.28222,-12.87139,2022-09-17,HUMAN_OBSERVATION,NA,PRESENT,GBIF,NA,Amphiprion_latifasciatus
55.21609,-21.07355,2022-10-31,HUMAN_OBSERVATION,NA,PRESENT,GBIF,NA,Amphiprion_latifasciatus
