decimalLongitude,decimalLatitude,eventDate,basisOfRecord,occurrenceStatus,depth,source,datasetName,species
159.083,-31.516,NA,PreservedSpecimen,present,NA,OBIS,NA,Amphiprion_mccullochi
159.12276,-29.44913,2020-02-01T10:43:43Z,HumanObservation,present,0.8,OBIS,NA,Amphiprion_mccullochi
159.059,-31.5414,2004-11-19,PreservedSpecimen,present,NA,OBIS,NA,Amphiprion_mccullochi
159.5,-31.583333,1981-12-04,PreservedSpecimen,NA,12.954999999999998,OBIS,NA,Amphiprion_mccullochi
159.05,-31.516,NA,PreservedSpecimen,present,NA,OBIS,NA,Amphiprion_mccullochi
159.066,-31.5392,2004-12-06,PreservedSpecimen,present,NA,OBIS,NA,Amphiprion_mccullochi
159.083,-31.55,NA,PreservedSpecimen,present,NA,OBIS,NA,Amphiprion_mccullochi
159.076,-31.5244,2004-11-14,PreservedSpecimen,present,NA,OBIS,NA,Amphiprion_mccullochi
159.066,-31.533,1973-02-17,PreservedSpecimen,present,NA,OBIS,NA,Amphiprion_mccullochi
159.064,-31.5483,2004-11-21,PreservedSpecimen,present,NA,OBIS,NA,Amphiprion_mccullochi
159.11333,-29.45333,1987-12-04,PreservedSpecimen,present,NA,OBIS,NA,Amphiprion_mccullochi
159.06666,-31.48333,1973-02-08,PreservedSpecimen,present,NA,OBIS,NA,Amphiprion_mccullochi
159.048,-31.5228,2004-01-24,PreservedSpecimen,present,NA,OBIS,NA,Amphiprion_mccullochi
159.167500000002,-31.623583266858,NA,HumanObservation,present,NA,OBIS,NA,Amphiprion_mccullochi
159.03116,-29.94166,1987-12-14,PreservedSpecimen,present,NA,OBIS,NA,Amphiprion_mccullochi
159.06667,-31.53333,1973-02-08,PreservedSpecimen,present,NA,OBIS,NA,Amphiprion_mccullochi
159.12256,-29.45067,2020-02-01T10:47:47Z,HumanObservation,present,0.9,OBIS,NA,Amphiprion_mccullochi
159.09958,-29.47528,2020-02-02T10:40:40Z,HumanObservation,present,0.3,OBIS,NA,Amphiprion_mccullochi
159.06666,-31.53333,1973-02-05,PreservedSpecimen,present,NA,OBIS,NA,Amphiprion_mccullochi
159.0459,-31.52069,2022-12-12,MachineObservation,present,NA,OBIS,NA,Amphiprion_mccullochi
159.066667,-31.533333,NA,PreservedSpecimen,NA,NA,OBIS,NA,Amphiprion_mccullochi
159.100006104,-31.5,1973-02-08T12:00:00Z,PreservedSpecimen,NA,NA,OBIS,NA,Amphiprion_mccullochi
