AnemonefishScientificName,AssociatedAnemoneScientificName
Amphiprion akindynos,Entacmaea quadricolor
Amphiprion akindynos,Radianthus magnifica
Amphiprion akindynos,Radianthus crispa
Amphiprion akindynos,Heteractis aurora
Amphiprion akindynos,Stichodactyla haddoni
Amphiprion akindynos,Stichodactyla mertensii
Amphiprion allardi,Entacmaea quadricolor
Amphiprion allardi,Heteractis aurora
Amphiprion allardi,Stichodactyla mertensii
Amphiprion barberi,Entacmaea quadricolor
Amphiprion barberi,Radianthus crispa
Amphiprion bicinctus,Entacmaea quadricolor
Amphiprion bicinctus,Radianthus magnifica
Amphiprion bicinctus,Radianthus crispa
Amphiprion bicinctus,Heteractis aurora
Amphiprion bicinctus,Stichodactyla gigantea
Amphiprion chrysopterus,Entacmaea quadricolor
Amphiprion chrysopterus,Radianthus magnifica
Amphiprion chrysopterus,Radianthus crispa
Amphiprion chrysopterus,Heteractis aurora
Amphiprion chrysopterus,Stichodactyla haddoni
Amphiprion chrysopterus,Stichodactyla mertensii
Amphiprion clarkii,Entacmaea quadricolor
Amphiprion clarkii,Macrodactyla doreensis
Amphiprion clarkii,Radianthus magnifica
Amphiprion clarkii,Radianthus crispa
Amphiprion clarkii,Heteractis aurora
Amphiprion clarkii,Radianthus malu
Amphiprion clarkii,Stichodactyla haddoni
Amphiprion clarkii,Stichodactyla gigantea
Amphiprion clarkii,Stichodactyla mertensii
Amphiprion ephippium,Entacmaea quadricolor
Amphiprion ephippium,Radianthus crispa
Amphiprion frenatus,Entacmaea quadricolor
Amphiprion fuscocaudatus,Stichodactyla mertensii
Amphiprion latezonatus,Radianthus crispa
Amphiprion latifasciatus,Stichodactyla mertensii
Amphiprion leucokranos,Radianthus magnifica
Amphiprion leucokranos,Radianthus crispa
Amphiprion leucokranos,Stichodactyla mertensii
Amphiprion melanopus,Entacmaea quadricolor
Amphiprion melanopus,Radianthus magnifica
Amphiprion melanopus,Radianthus crispa
Amphiprion nigripes,Radianthus magnifica
Amphiprion ocellaris,Radianthus magnifica
Amphiprion ocellaris,Stichodactyla gigantea
Amphiprion ocellaris,Stichodactyla mertensii
Amphiprion percula,Radianthus magnifica
Amphiprion percula,Radianthus crispa
Amphiprion percula,Stichodactyla gigantea
Amphiprion perideraion,Macrodactyla doreensis
Amphiprion perideraion,Radianthus magnifica
Amphiprion perideraion,Radianthus crispa
Amphiprion perideraion,Stichodactyla gigantea
Amphiprion polymnus,Radianthus crispa
Amphiprion polymnus,Stichodactyla haddoni
Amphiprion rubrocinctus,Entacmaea quadricolor
Amphiprion rubrocinctus,Stichodactyla gigantea
Amphiprion sandaracinos,Radianthus crispa
Amphiprion sandaracinos,Stichodactyla mertensii
Amphiprion sebae,Stichodactyla haddoni
Amphiprion tricinctus,Entacmaea quadricolor
Amphiprion tricinctus,Radianthus crispa
Amphiprion tricinctus,Heteractis aurora
Amphiprion tricinctus,Stichodactyla mertensii
Premnas biaculeatus,Entacmaea quadricolor
