scientificName,decimalLongitude,decimalLatitude,date_year,month,day,eventDate,dataset_id,bathymetry,occurrenceStatus,sst,source
"Macrodactyla doreensis (Quoy & Gaimard, 1833)",119.8,-19.9,2022,7,27,2022-07-27T19:43Z,e3ce628e-9683-4af7-b7a9-47eef785d3bb,NA,NA,NA,gbif.org
"Macrodactyla doreensis (Quoy & Gaimard, 1833)",145.465427,-14.687572,2016,6,5,2016-06-05T12:00,c6ca96bc-7cf5-4fe7-ac44-d01e06394ef3,NA,NA,NA,gbif.org
"Macrodactyla doreensis (Quoy & Gaimard, 1833)",145.465803,-14.687868,2015,10,17,2015-10-17T15:00,c6ca96bc-7cf5-4fe7-ac44-d01e06394ef3,NA,NA,NA,gbif.org
"Macrodactyla doreensis (Quoy & Gaimard, 1833)",120.60553,13.90801,2014,5,9,2014-05-09,44bcde48-ac71-46f2-bf73-24fc3c008b6c,NA,NA,NA,gbif.org
"Macrodactyla doreensis (Quoy & Gaimard, 1833)",145.465416,-14.687557,2013,8,13,2013-08-13T12:00,c6ca96bc-7cf5-4fe7-ac44-d01e06394ef3,NA,NA,NA,gbif.org
"Macrodactyla doreensis (Quoy & Gaimard, 1833)",145.468447,-14.689204,2013,11,17,2013-11-17T12:00,c6ca96bc-7cf5-4fe7-ac44-d01e06394ef3,NA,NA,NA,gbif.org
"Macrodactyla doreensis (Quoy & Gaimard, 1833)",153.4,-27.491667,2005,2,10,2005-02-10,a79c2b50-6c8a-11de-8226-b8a03c50a862,NA,NA,NA,gbif.org
"Macrodactyla doreensis (Quoy & Gaimard, 1833)",122.1333,-17.4833,1988,4,4,1988-04-04,7c93d290-6c8b-11de-8226-b8a03c50a862,NA,NA,NA,gbif.org
"Macrodactyla doreensis (Quoy & Gaimard, 1833)",123.0753,-12.1919,1986,9,15,1986-09-15,7c93d290-6c8b-11de-8226-b8a03c50a862,NA,NA,NA,gbif.org
"Macrodactyla doreensis (Quoy & Gaimard, 1833)",153.4,-27.5,1961,8,8,1961-08-08,dce8feb0-6c89-11de-8225-b8a03c50a862,NA,NA,NA,gbif.org
"Macrodactyla doreensis (Quoy & Gaimard, 1833)",128.160004,-3.7,NA,NA,NA,NA,be62fffc-d0e7-45f2-9404-d4bc4322bc57,NA,NA,NA,gbif.org
"Macrodactyla doreensis (Quoy & Gaimard, 1833)",128.160004,-3.7,NA,NA,NA,NA,be62fffc-d0e7-45f2-9404-d4bc4322bc57,NA,NA,NA,gbif.org
"Macrodactyla doreensis (Quoy & Gaimard, 1833)",134.5,-6.2,NA,NA,NA,NA,be62fffc-d0e7-45f2-9404-d4bc4322bc57,NA,NA,NA,gbif.org
"Macrodactyla doreensis (Quoy & Gaimard, 1833)",142.259995,-9.89,NA,NA,NA,NA,be62fffc-d0e7-45f2-9404-d4bc4322bc57,NA,NA,NA,gbif.org
"Macrodactyla doreensis (Quoy & Gaimard, 1833)",145.5,-14.63,NA,NA,NA,NA,be62fffc-d0e7-45f2-9404-d4bc4322bc57,NA,NA,NA,gbif.org
"Macrodactyla doreensis (Quoy & Gaimard, 1833)",145.800003,-5.15,NA,NA,NA,NA,be62fffc-d0e7-45f2-9404-d4bc4322bc57,NA,NA,NA,gbif.org
"Macrodactyla doreensis (Quoy & Gaimard, 1833)",153.399994,-27.5,NA,NA,NA,NA,be62fffc-d0e7-45f2-9404-d4bc4322bc57,NA,NA,NA,gbif.org
"Macrodactyla doreensis (Quoy & Gaimard, 1833)",153.399994,-27.18,NA,NA,NA,NA,be62fffc-d0e7-45f2-9404-d4bc4322bc57,NA,NA,NA,gbif.org
"Macrodactyla doreensis (Quoy & Gaimard, 1833)",153.399994,-27.18,NA,NA,NA,NA,be62fffc-d0e7-45f2-9404-d4bc4322bc57,NA,NA,NA,gbif.org
"Macrodactyla doreensis (Quoy & Gaimard, 1833)",136.716667,-12.176667,NA,NA,NA,NA,a79c2b50-6c8a-11de-8226-b8a03c50a862,NA,NA,NA,gbif.org
