scientificName,decimalLongitude,decimalLatitude,date_year,month,day,eventDate,dataset_id,bathymetry,occurrenceStatus,sst,source
Radianthus malu,-170.831893921,-14.3280801773,2004,2,25,2004-02-25T12:00:00Z,da77ef95-bff6-43f9-8af8-2a1dfa400ba8,-16,NA,28.71,obis.org
Radianthus malu,136.71667,-12.17667,2005,NA,NA,2005-07-29,6078be2d-e1af-47b3-bd70-3956dd95f664,1,present,27.73,obis.org
Radianthus malu,-178.324737549,28.382516861,2004,10,6,2004-10-06T12:00:00Z,da77ef95-bff6-43f9-8af8-2a1dfa400ba8,26,NA,23.89,obis.org
Radianthus crispa,145.787948608,18.1683197021,2007,6,5,2007-06-05T12:00:00Z,da77ef95-bff6-43f9-8af8-2a1dfa400ba8,1,NA,28.58,obis.org
Radianthus crispa,127.9447313,26.5974838,2007,NA,NA,2007-07-31,61a0fac8-6bba-4c30-986b-248bc12da62c,2,Present,24.9,obis.org
Radianthus malu,-178.378433228,28.4167671204,2003,8,3,2003-08-03T12:00:00Z,da77ef95-bff6-43f9-8af8-2a1dfa400ba8,18,NA,23.86,obis.org
Radianthus malu,-170.7502441,-14.36023998,2004,2,24,2004-02-24,6c813a6c-86f7-4d45-beb5-33eebd8de938,163,present,28.69,obis.org
Radianthus malu,-178.324737549,28.382516861,2004,10,6,2004-10-06T12:00:00Z,da77ef95-bff6-43f9-8af8-2a1dfa400ba8,26,NA,23.89,obis.org
Radianthus malu,-178.324737549,28.382516861,2004,10,6,2004-10-06T12:00:00Z,da77ef95-bff6-43f9-8af8-2a1dfa400ba8,26,NA,23.89,obis.org
Radianthus crispa,145.208724976,20.0134792328,2007,6,1,2007-06-01T12:00:00Z,da77ef95-bff6-43f9-8af8-2a1dfa400ba8,-28,NA,28.14,obis.org
Radianthus malu,-178.378433228,28.4167671204,2003,8,3,2003-08-03T12:00:00Z,da77ef95-bff6-43f9-8af8-2a1dfa400ba8,18,NA,23.86,obis.org
Radianthus crispa,58.73971,23.52733,2020,NA,NA,2020-01-17,c5687a17-e454-40f9-9a4b-d04b2c812d74,25,NA,28.06,obis.org
Radianthus malu,-178.324737549,28.382516861,2004,10,6,2004-10-06T12:00:00Z,da77ef95-bff6-43f9-8af8-2a1dfa400ba8,26,NA,23.89,obis.org
Radianthus malu,-166.232025146,23.7906150818,2008,10,7,2008-10-07T12:00:00Z,da77ef95-bff6-43f9-8af8-2a1dfa400ba8,14,NA,25.4,obis.org
Radianthus malu,-170.52520752,25.3341827393,2003,7,20,2003-07-20T12:00:00Z,da77ef95-bff6-43f9-8af8-2a1dfa400ba8,14,NA,25.19,obis.org
Radianthus crispa,145.452,-14.6848,2009,NA,NA,2009-04-14 23:04:00,0e4e4700-5e70-48b1-b100-d6b05888dfa9,2.45,present,26.45,obis.org
Radianthus crispa,120.84127,13.65083,2014,5,4,2014-05-04,aa16d305-d413-4c4a-90be-b1ec3298d58d,-4,NA,28.2,obis.org
Radianthus malu,153.42,-27.363,1988,2,NA,1988-02-25T12:00:00Z,987a35d0-a3f3-4050-b8c4-de99b01d8eb6,1.3,present,23.28,obis.org
Radianthus crispa,145.787948608,18.1683197021,2007,6,5,2007-06-05T12:00:00Z,da77ef95-bff6-43f9-8af8-2a1dfa400ba8,1,NA,28.58,obis.org
Radianthus malu,136.71667,-12.17667,2005,NA,NA,2005-07-29,6078be2d-e1af-47b3-bd70-3956dd95f664,1,present,27.73,obis.org
Radianthus malu,-178.378433228,28.4167671204,2003,8,3,2003-08-03T12:00:00Z,da77ef95-bff6-43f9-8af8-2a1dfa400ba8,18,NA,23.86,obis.org
Radianthus malu,-166.232025146,23.7906150818,2008,10,7,2008-10-07T12:00:00Z,da77ef95-bff6-43f9-8af8-2a1dfa400ba8,14,NA,25.4,obis.org
Radianthus magnifica,78.8867,8.9532,2006,NA,NA,2002/2011,1820a42f-39b2-45e5-a935-6edcb6891eec,66,present,28.69,obis.org
Radianthus magnifica,145.664,-14.6644,2012,NA,NA,2012-01-11 00:01:00,0e4e4700-5e70-48b1-b100-d6b05888dfa9,1.38,present,26.66,obis.org
Radianthus crispa,122.98484,-12.26233,1986,NA,NA,1986-09-11T14:00:00Z,0a6c216b-0abe-44d2-a45c-43d9611e2a03,8,present,28.66,obis.org
Radianthus malu,-170.502120972,25.340549469,2003,7,20,2003-07-20T12:00:00Z,da77ef95-bff6-43f9-8af8-2a1dfa400ba8,13,NA,25.19,obis.org
