scientificName,decimalLongitude,decimalLatitude,date_year,month,day,eventDate,dataset_id,occurrenceStatus,depth,source
Radianthus magnifica,99.8118,10.1162,2010,8,13,2010-08-13T09:58:00,4d2a31a3-bb76-4ffe-a2f9-817e975f6ba9,present,9,obis.org
Radianthus magnifica,78.8867,8.9532,2006,NA,NA,2002/2011,1820a42f-39b2-45e5-a935-6edcb6891eec,present,NA,obis.org
Radianthus magnifica,145.664,-14.6644,2012,NA,NA,2012-01-11 00:01:00,0e4e4700-5e70-48b1-b100-d6b05888dfa9,present,NA,obis.org
Radianthus magnifica,145.44299,-14.6675,2008,NA,NA,2008-04-14 23:04:00,0e4e4700-5e70-48b1-b100-d6b05888dfa9,present,NA,obis.org
Radianthus magnifica,43.2533302307,-11.7533302307,1964,11,22,1964-11-22T12:00:00Z,89e23fc8-3f61-4480-9de3-358fe6eefe0b,NA,2.4000000000000004,obis.org
Radianthus magnifica,98.6772222222,9.6719444444,1964,12,4,1964-12-04,aa16d305-d413-4c4a-90be-b1ec3298d58d,NA,NA,obis.org
Radianthus magnifica,98.6783333333,7.6738888889,1964,12,1,1964-12-01,aa16d305-d413-4c4a-90be-b1ec3298d58d,NA,NA,obis.org
Radianthus magnifica,118.976,-17.589,2003,3,NA,2003-03-20 00:03:00,47d6cc38-cc22-438d-a1bd-c63202d85290,present,NA,obis.org
Radianthus magnifica,-169.4749146,-14.26257038,2004,2,4,2004-02-04,6c813a6c-86f7-4d45-beb5-33eebd8de938,present,13.5,obis.org
Radianthus magnifica,98.6783333333,7.6725,1964,12,1,1964-12-01,aa16d305-d413-4c4a-90be-b1ec3298d58d,NA,1.22,obis.org
Radianthus magnifica,-176.4850006,0.198899999,2004,1,24,2004-01-24,6c813a6c-86f7-4d45-beb5-33eebd8de938,present,10.5,obis.org
Radianthus magnifica,105.581,-10.4608,1987,NA,NA,1987-02-17T13:00:00Z,0a6c216b-0abe-44d2-a45c-43d9611e2a03,present,NA,obis.org
Radianthus magnifica,46.438331604,-9.36499977112,1967,9,9,1967-09-09T12:00:00Z,89e23fc8-3f61-4480-9de3-358fe6eefe0b,NA,1.05,obis.org
Radianthus magnifica,-176.48500061,0.198899999261,2004,1,24,2004-01-24T12:00:00Z,da77ef95-bff6-43f9-8af8-2a1dfa400ba8,NA,10.5,obis.org
Radianthus magnifica,104.155,2.825,2004,NA,NA,2004,04e3fd32-b08b-4806-a016-d2dff52ae55a,present,NA,obis.org
Radianthus magnifica,-169.4749146,-14.26257038,2004,2,4,2004-02-04,6c813a6c-86f7-4d45-beb5-33eebd8de938,present,13.5,obis.org
Radianthus magnifica,-176.4862061,0.196999997,2004,1,24,2004-01-24,6c813a6c-86f7-4d45-beb5-33eebd8de938,present,11.5,obis.org
Radianthus magnifica,-169.474914551,-14.2625703812,2004,2,4,2004-02-04T12:00:00Z,da77ef95-bff6-43f9-8af8-2a1dfa400ba8,NA,13.5,obis.org
Radianthus magnifica,30.8148994446,-30.2728996277,2004,12,8,2004-12-08T12:00:00Z,96e5e803-2d09-4b25-bc57-29e77f48a945,NA,19.3,obis.org
Radianthus magnifica,-176.486206055,0.196999996901,2004,1,24,2004-01-24T12:00:00Z,da77ef95-bff6-43f9-8af8-2a1dfa400ba8,NA,11.5,obis.org
Radianthus magnifica,-169.4749146,-14.26257038,2004,2,4,2004-02-04,6c813a6c-86f7-4d45-beb5-33eebd8de938,present,13.5,obis.org
Radianthus magnifica,127.333475,26.200326,2003,NA,NA,2003-09-15,61a0fac8-6bba-4c30-986b-248bc12da62c,Present,10,obis.org
Radianthus magnifica,-176.486206055,0.196999996901,2004,1,24,2004-01-24T12:00:00Z,da77ef95-bff6-43f9-8af8-2a1dfa400ba8,NA,11.5,obis.org
Radianthus magnifica,145.451,-14.6633,2014,NA,NA,2014-12-02 00:12:00,0e4e4700-5e70-48b1-b100-d6b05888dfa9,present,NA,obis.org
Radianthus magnifica,-176.4850006,0.198899999,2004,1,24,2004-01-24,6c813a6c-86f7-4d45-beb5-33eebd8de938,present,10.5,obis.org
Radianthus magnifica,124.0981851,24.4148812,2006,NA,NA,2006-05-04,61a0fac8-6bba-4c30-986b-248bc12da62c,Present,NA,obis.org
Radianthus magnifica,30.8262004852,-30.2604007721,2005,2,15,2005-02-15T12:00:00Z,96e5e803-2d09-4b25-bc57-29e77f48a945,NA,17.7,obis.org
Radianthus magnifica,55.5009722222,-4.5881944444,1964,10,25,1964-10-25,aa16d305-d413-4c4a-90be-b1ec3298d58d,NA,NA,obis.org
Radianthus magnifica,145.465,-14.6876,2016,NA,NA,2016-04-03 23:04:00,0e4e4700-5e70-48b1-b100-d6b05888dfa9,present,NA,obis.org
Radianthus magnifica,98.6783333333,7.6725,1964,12,1,1964-12-01,aa16d305-d413-4c4a-90be-b1ec3298d58d,NA,NA,obis.org
Radianthus magnifica,46.2419395447,-9.375,1964,12,4,1964-12-04T12:00:00Z,89e23fc8-3f61-4480-9de3-358fe6eefe0b,NA,3,obis.org
Radianthus magnifica,-176.48500061,0.198899999261,2004,1,24,2004-01-24T12:00:00Z,da77ef95-bff6-43f9-8af8-2a1dfa400ba8,NA,10.5,obis.org
Radianthus magnifica,73.5188888889,4.1938888889,1964,11,7,1964-11-07,aa16d305-d413-4c4a-90be-b1ec3298d58d,NA,NA,obis.org
Radianthus magnifica,48.2999992371,-13.3999996185,1963,12,20,1963-12-20T12:00:00Z,89e23fc8-3f61-4480-9de3-358fe6eefe0b,NA,NA,obis.org
Radianthus magnifica,145.466,-14.6879,2014,NA,NA,2014-11-09 00:11:00,0e4e4700-5e70-48b1-b100-d6b05888dfa9,present,NA,obis.org
Radianthus magnifica,145.45,-14.6629,2016,NA,NA,2016-08-17 23:08:00,0e4e4700-5e70-48b1-b100-d6b05888dfa9,present,NA,obis.org
Radianthus magnifica,73.5055555556,4.1805555556,1964,11,9,1964-11-09,aa16d305-d413-4c4a-90be-b1ec3298d58d,NA,1.52,obis.org
Radianthus magnifica,98.6783333333,7.6725,1964,12,1,1964-12-01,aa16d305-d413-4c4a-90be-b1ec3298d58d,NA,1.22,obis.org
Radianthus magnifica,-169.474914551,-14.2625703812,2004,2,4,2004-02-04T12:00:00Z,da77ef95-bff6-43f9-8af8-2a1dfa400ba8,NA,13.5,obis.org
Radianthus magnifica,-176.486206055,0.196999996901,2004,1,24,2004-01-24T12:00:00Z,da77ef95-bff6-43f9-8af8-2a1dfa400ba8,NA,11.5,obis.org
Radianthus magnifica,73.5055555556,4.1805555556,1964,11,5,1964-11-05,aa16d305-d413-4c4a-90be-b1ec3298d58d,NA,2.44,obis.org
Radianthus magnifica,-176.4862061,0.196999997,2004,1,24,2004-01-24,6c813a6c-86f7-4d45-beb5-33eebd8de938,present,11.5,obis.org
Radianthus magnifica,11.7288,55.8396,2013,9,22,2013-09-22T10:00:00,4d2a31a3-bb76-4ffe-a2f9-817e975f6ba9,present,3,obis.org
Radianthus magnifica,121.04399,13.56038,2015,4,24,2015-04-24,aa16d305-d413-4c4a-90be-b1ec3298d58d,NA,14.48,obis.org
Radianthus magnifica,145.448,-14.6506,2016,NA,NA,2016-03-13 00:03:00,0e4e4700-5e70-48b1-b100-d6b05888dfa9,present,NA,obis.org
Radianthus magnifica,119.3639,-17.2794,2003,3,NA,2003-03-21 00:03:00,47d6cc38-cc22-438d-a1bd-c63202d85290,present,NA,obis.org
Radianthus magnifica,145.45,-14.6629,2016,NA,NA,2016-08-17 23:08:00,0e4e4700-5e70-48b1-b100-d6b05888dfa9,present,NA,obis.org
Radianthus magnifica,-169.474914551,-14.2625703812,2004,2,4,2004-02-04T12:00:00Z,da77ef95-bff6-43f9-8af8-2a1dfa400ba8,NA,13.5,obis.org
Radianthus magnifica,55.5008333333,-4.5883333333,1964,10,25,1964-10-25,aa16d305-d413-4c4a-90be-b1ec3298d58d,NA,NA,obis.org
Radianthus magnifica,98.6766666667,7.6677777778,1964,12,3,1964-12-03,aa16d305-d413-4c4a-90be-b1ec3298d58d,NA,NA,obis.org
Radianthus magnifica,-176.48500061,0.198899999261,2004,1,24,2004-01-24T12:00:00Z,da77ef95-bff6-43f9-8af8-2a1dfa400ba8,NA,10.5,obis.org
Radianthus magnifica,105.6167,-10.4833,1978,NA,NA,1978-05-18T14:00:00Z,0a6c216b-0abe-44d2-a45c-43d9611e2a03,present,NA,obis.org
Radianthus magnifica,-176.4850006,0.198899999,2004,1,24,2004-01-24,6c813a6c-86f7-4d45-beb5-33eebd8de938,present,10.5,obis.org
Radianthus magnifica,-176.4862061,0.196999997,2004,1,24,2004-01-24,6c813a6c-86f7-4d45-beb5-33eebd8de938,present,11.5,obis.org
