basisOfRecord,class,classid,collectionCode,coordinateUncertaintyInMeters,country,countryCode,datasetID,date_end,date_mid,date_start,date_year,day,decimalLatitude,decimalLongitude,eventDate,eventID,family,familyid,footprintWKT,genus,genusid,geodeticDatum,individualCount,institutionCode,kingdom,kingdomid,language,marine,month,occurrenceID,occurrenceStatus,order,orderid,phylum,phylumid,recordedBy,samplingEffort,samplingProtocol,scientificName,scientificNameAuthorship,scientificNameID,species,speciesid,specificEpithet,startDayOfYear,suborder,suborderid,subphylum,subphylumid,superfamily,superfamilyid,taxonRank,waterBody,year,id,dataset_id,node_id,dropped,absence,originalScientificName,aphiaID,flags,bathymetry,shoredistance,sst,sss,datasetName,depth,fieldNumber,maximumDepthInMeters,minimumDepthInMeters,modified,occurrenceRemarks,coordinatePrecision,organismQuantity,organismQuantityType,stateProvince,catalogNumber,collectionID,continent,dateIdentified,higherClassification,higherGeography,identifiedBy,institutionID,license,locality,locationID,nomenclaturalCode,preparations,type,typeStatus,verbatimEventDate,verbatimLatitude,verbatimLongitude,taxonConceptID,vernacularName,endDayOfYear,county,eventRemarks,habitat,otherCatalogNumbers,dynamicProperties,georeferenceSources,subclass,subclassid,superdomain,superdomainid,bibliographicCitation,associatedReferences,ownerInstitutionCode,footprintSRS,references
HumanObservation,Hexacorallia,1340,PROCFish/C,30,Solomon Islands,SB,7c0229a3-75b1-45e1-ab94-e036aa75f2db,1156464000000,1156464000000,1156464000000,2006,25,-8.497533,157.994067,2006-08-25,60CA2D14-1406-43F0-8113-9FCE8671002F,Actiniidae,100653,POINT (157.994067 -8.497533),Entacmaea,267415,WGS84,1,SPC,Animalia,2,en,TRUE,8,60CA2D14-1406-43F0-8113-9FCE8671002F_DF542953-4220-4A6C-A0B9-D54C68825927,present,Actiniaria,1360,Cnidaria,1267,Emmanuel Tardy,Reef benthos transect,http://purl.org/spc/digilib/doc/pfj5w,Entacmaea quadricolor,"""(Leuckart in R�ppell & Leuckart, 1828)""",urn:lsid:marinespecies.org:taxname:289898,Entacmaea quadricolor,289898,quadricolor,237,Enthemonae,888371,Anthozoa,1292,Actinioidea,853973,species,Pacific Ocean,2006,0105decd-6752-42d8-95b5-b0d21e8c30fe,7cab72d0-12e0-46ac-823a-786cdb3ade40,6c17c09e-5cc2-4d5a-8463-e866731d35a1,FALSE,FALSE,Entacmaea quadricolor,289898,NO_DEPTH,2,11,29.45,34.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HumanObservation,Hexacorallia,1340,SPRFMO VME,100,NA,NA,NA,1077494400000,1077494400000,1077494400000,2004,23,-14.3113699,-170.6928864,2004-02-23,NA,Actiniidae,100653,POINT (-170.6929 -14.3114),Entacmaea,267415,WGS84,NA,NIWA,Animalia,2,en,TRUE,2,160253,present,Actiniaria,1360,Cnidaria,1267,NA,NA,NA,Entacmaea quadricolor,"(Leuckart in Rüppell & Leuckart, 1828)",urn:lsid:marinespecies.org:taxname:289898,Entacmaea quadricolor,289898,quadricolor,54,Enthemonae,888371,Anthozoa,1292,Actinioidea,853973,NA,Pacific Ocean,2004,05fdd203-ccd4-4cc6-b6c0-e2dde82d2c24,6c813a6c-86f7-4d45-beb5-33eebd8de938,6c17c09e-5cc2-4d5a-8463-e866731d35a1,FALSE,FALSE,Entacmaea quadricolor,289898,NA,56,292,28.69,35.13,South Pacific Regional Fisheries Management Organisation Vulnerable Marine Ecosystem dataset,13.5,31696003,16,11,2016-01-20,VME Group = Actiniaria; Source = OBIS CRED Rapid Ecological Assessment of Invertebrate in the Pacific Ocean,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HumanObservation,Hexacorallia,1340,LIRS,100,Australia,NA,NA,1459641600000,1459641600000,1459641600000,2016,NA,-14.6876,145.465,2016-04-03 23:04:00,NA,Actiniidae,100653,POINT (145.46543 -14.68757),Entacmaea,267415,NA,NA,AM,Animalia,2,NA,TRUE,NA,75f3fd05-7a4e-4615-8e75-fe2ca15ec0c5,present,Actiniaria,1360,Cnidaria,1267,NA,NA,NA,Entacmaea quadricolor,NA,urn:lsid:marinespecies.org:taxname:289898,Entacmaea quadricolor,289898,NA,NA,Enthemonae,888371,Anthozoa,1292,Actinioidea,853973,species,NA,NA,07d750a0-9523-4bf3-bf77-3797a224e6d7,0e4e4700-5e70-48b1-b100-d6b05888dfa9,2a57cd59-6799-4579-955e-27c9af97aea4,FALSE,FALSE,Entacmaea quadricolor,289898,NO_DEPTH,13.66,453,26.45,34.93,NA,NA,NA,NA,NA,2019-01-02T15:41:00,NA,0.0009,1,individuals,Queensland,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PreservedSpecimen,Hexacorallia,1340,IZ,NA,Indonesia,NA,NA,159494400000,159494400000,159494400000,1975,21,-2.95,129.0833333333,1975-01-21,NA,Actiniidae,100653,NA,Entacmaea,267415,NA,NA,CAS,Animalia,2,en,TRUE,1,urn:catalog:CAS:IZ:9620,NA,Actiniaria,1360,Cnidaria,1267,Daphne F. Dunn,NA,NA,Entacmaea quadricolor,"(Leuckart in Rüppell & Leuckart, 1828)",NA,Entacmaea quadricolor,289898,quadricolor,21,Enthemonae,888371,Anthozoa,1292,Actinioidea,853973,species,NA,1975,084c0001-7ef0-4399-bb44-5d2476c61194,aa16d305-d413-4c4a-90be-b1ec3298d58d,b7c47783-a020-4173-b390-7b57c4fa1426,FALSE,FALSE,Entacmaea quadricolor,289898,"NO_DEPTH,ON_LAND",-26,-1115,NA,NA,NA,NA,024006,NA,NA,2024-03-05 13:46:30,"Spec. notes: 1; NOTES:1 m on coral. Host for fish ""Premnas biaculeatus"" Column fuchsia, tentacles bulbed in expansion.",NA,NA,NA,NA,9620,https://www.gbif.org/grscicoll/collection/5d4a63d3-e994-4b19-b592-e853a8e3b470,Asia,1975-01-21,"Animalia, Cnidaria, Anthozoa, Hexacorallia, Actiniaria, Enthemonae, Actinioidea, Actiniidae","Asia, Pacific Ocean",Daphne F. Dunn,http://grscicoll.org/institution/california-academy-sciences,https://creativecommons.org/publicdomain/zero/1.0/,"Ceram Sea, Seleman Bay, Ceram Island, Sawai",05d2f730-2598-11ed-aace-005056be1b7a,ICZN,Fluid-10% formalin(1)|Image(s),Physical Object,VOUCHER,21 Jan 1975,02 57'S,129 05'E,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PreservedSpecimen,Hexacorallia,1340,MIZ,NA,Australia,NA,NA,576028800000,576028800000,576028800000,1988,NA,-17.4833,122.1333,1988-04-03T14:00:00Z,NA,Actiniidae,100653,POINT (122.13330 -17.48330),Entacmaea,267415,NA,2,WAM,Animalia,2,NA,TRUE,NA,urn:lsid:taxonomy.org.au:MIZ:55729,present,Actiniaria,1360,Cnidaria,1267,"Marsh, L.M.",NA,NA,Entacmaea quadricolor,"(RÃ¼ppell & Leuckart, 1828)",urn:lsid:marinespecies.org:taxname:289898,Entacmaea quadricolor,289898,quadricolor,NA,Enthemonae,888371,Anthozoa,1292,Actinioidea,853973,species,NA,NA,093c4633-00c7-4918-bfe9-5260021a8b48,0a6c216b-0abe-44d2-a45c-43d9611e2a03,2a57cd59-6799-4579-955e-27c9af97aea4,FALSE,FALSE,Entacmaea quadricolor,289898,NO_DEPTH,4,1087,27.68,34.79,NA,NA,NA,NA,NA,2022-06-22T23:33:53,NA,NA,NA,NA,Western Australia,Z55729,NA,NA,2007-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,urn:lsid:biodiversity.org.au:afd.taxon:94a8d388-13be-4f33-a084-db0ff73105c3,bubbletip anemone,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PreservedSpecimen,Hexacorallia,1340,IZ,NA,Indonesia,NA,NA,160185600000,160185600000,160185600000,1975,29,-4.5166666667,129.8666666667,1975-01-29,NA,Actiniidae,100653,NA,Entacmaea,267415,NA,NA,CAS,Animalia,2,en,TRUE,1,urn:catalog:CAS:IZ:9804,NA,Actiniaria,1360,Cnidaria,1267,David L. Mayer,NA,NA,Entacmaea quadricolor,"(Leuckart in Rüppell & Leuckart, 1828)",NA,Entacmaea quadricolor,289898,quadricolor,29,Enthemonae,888371,Anthozoa,1292,Actinioidea,853973,species,NA,1975,096086ca-278a-4444-bb13-b6fde97c7a87,aa16d305-d413-4c4a-90be-b1ec3298d58d,b7c47783-a020-4173-b390-7b57c4fa1426,FALSE,FALSE,Entacmaea quadricolor,289898,DEPTH_EXCEEDS_BATH,-120,174,28.46,33.49,NA,2.5,024032,NA,2.5,NA,"Spec. notes: Pieces only; NOTES:Hosted fish of uncertain ""Amphiprion"" species. Rich brown column, tentacles bulbous. Remainder of specimen #CA 24 in Rumphius.",NA,NA,NA,NA,9804,https://www.gbif.org/grscicoll/collection/5d4a63d3-e994-4b19-b592-e853a8e3b470,Asia,1975-02,"Animalia, Cnidaria, Anthozoa, Hexacorallia, Actiniaria, Enthemonae, Actinioidea, Actiniidae","Asia, Pacific Ocean",Daphne F. Dunn,http://grscicoll.org/institution/california-academy-sciences,https://creativecommons.org/publicdomain/zero/1.0/,"Moluccas Islands, Banda Sea, Banda Islands, Great Banda Island, on plate coral.",05d308ec-2598-11ed-aace-005056be1b7a,ICZN,Fluid-10% formalin(1),Physical Object,VOUCHER,29 Jan 1975,04 31'S,129 52'E,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PreservedSpecimen,Hexacorallia,1340,IZ,NA,Indonesia,NA,NA,159840000000,159840000000,159840000000,1975,25,-3.9833333333,131.4166666667,1975-01-25,NA,Actiniidae,100653,NA,Entacmaea,267415,NA,NA,CAS,Animalia,2,en,TRUE,1,urn:catalog:CAS:IZ:9645,NA,Actiniaria,1360,Cnidaria,1267,Daphne F. Dunn,NA,NA,Entacmaea quadricolor,"(Leuckart in Rüppell & Leuckart, 1828)",NA,Entacmaea quadricolor,289898,quadricolor,25,Enthemonae,888371,Anthozoa,1292,Actinioidea,853973,species,NA,1975,1163122f-8782-4341-8f3d-7e1379735024,aa16d305-d413-4c4a-90be-b1ec3298d58d,b7c47783-a020-4173-b390-7b57c4fa1426,FALSE,FALSE,Entacmaea quadricolor,289898,ON_LAND,-37,-958,28.45,33.64,NA,3,024028,NA,3,NA,Spec. notes: 1; NOTES:One of about 20 in a cluster. Column greenish-tan.,NA,NA,NA,NA,9645,https://www.gbif.org/grscicoll/collection/5d4a63d3-e994-4b19-b592-e853a8e3b470,Asia,1975-01-25,"Animalia, Cnidaria, Anthozoa, Hexacorallia, Actiniaria, Enthemonae, Actinioidea, Actiniidae","Asia, Pacific Ocean",Daphne F. Dunn,http://grscicoll.org/institution/california-academy-sciences,https://creativecommons.org/publicdomain/zero/1.0/,"Moluccas Islands, Banda Sea, Gorong, Kailikat Bay, on coral with ""Amphiprion melanopus"".",05d30694-2598-11ed-aace-005056be1b7a,ICZN,Fluid-10% formalin(1),Physical Object,VOUCHER,25 Jan 1975,03 59'S,131 25'E,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PreservedSpecimen,Hexacorallia,1340,IZ,NA,Indonesia,NA,NA,159667200000,159667200000,159667200000,1975,23,-3.7166666667,128.2,1975-01-23,NA,Actiniidae,100653,NA,Entacmaea,267415,NA,NA,CAS,Animalia,2,en,TRUE,1,urn:catalog:CAS:IZ:9618,NA,Actiniaria,1360,Cnidaria,1267,G.R. Allen,NA,NA,Entacmaea quadricolor,"(Leuckart in Rüppell & Leuckart, 1828)",NA,Entacmaea quadricolor,289898,quadricolor,23,Enthemonae,888371,Anthozoa,1292,Actinioidea,853973,species,NA,1975,11a17df7-da20-422b-9f73-a9f8a5965c32,aa16d305-d413-4c4a-90be-b1ec3298d58d,b7c47783-a020-4173-b390-7b57c4fa1426,FALSE,FALSE,Entacmaea quadricolor,289898,"NO_DEPTH,ON_LAND",-279,-3285,NA,NA,NA,NA,024004,NA,NA,NA,"Spec. notes: 1; NOTES:5 m. Host for fish ""Amphiprion clarkii."" Female.",NA,NA,NA,NA,9618,https://www.gbif.org/grscicoll/collection/5d4a63d3-e994-4b19-b592-e853a8e3b470,Asia,1975-02,"Animalia, Cnidaria, Anthozoa, Hexacorallia, Actiniaria, Enthemonae, Actinioidea, Actiniidae","Asia, Pacific Ocean",Daphne F. Dunn,http://grscicoll.org/institution/california-academy-sciences,https://creativecommons.org/publicdomain/zero/1.0/,"Moluccas Islands, Banda Sea, Ambon, Ambon Bay, off Point Sikula",05d2f616-2598-11ed-aace-005056be1b7a,ICZN,Fluid-10% formalin(1),Physical Object,VOUCHER,23 Jan 1975,3 43'S,128 12'E,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HumanObservation,Hexacorallia,1340,PROCFish/C,30,Solomon Islands,SB,7c0229a3-75b1-45e1-ab94-e036aa75f2db,1155168000000,1155168000000,1155168000000,2006,10,-8.171283,156.989917,2006-08-10,64269E8F-6551-48AB-95FD-AA5804D43D35,Actiniidae,100653,POINT (156.989917 -8.171283),Entacmaea,267415,WGS84,1,SPC,Animalia,2,en,TRUE,8,64269E8F-6551-48AB-95FD-AA5804D43D35_DF542953-4220-4A6C-A0B9-D54C68825927,present,Actiniaria,1360,Cnidaria,1267,Emmanuel Tardy,Reef benthos transect,http://purl.org/spc/digilib/doc/pfj5w,Entacmaea quadricolor,"""(Leuckart in R�ppell & Leuckart, 1828)""",urn:lsid:marinespecies.org:taxname:289898,Entacmaea quadricolor,289898,quadricolor,222,Enthemonae,888371,Anthozoa,1292,Actinioidea,853973,species,Pacific Ocean,2006,13e1fc3b-97ed-4023-838e-b88488814236,7cab72d0-12e0-46ac-823a-786cdb3ade40,6c17c09e-5cc2-4d5a-8463-e866731d35a1,FALSE,FALSE,Entacmaea quadricolor,289898,NO_DEPTH,2,589,29.46,34.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HumanObservation,Hexacorallia,1340,LIRS,100,Australia,NA,NA,1305331200000,1305331200000,1305331200000,2011,NA,-14.6644,145.446,2011-05-14 23:05:00,NA,Actiniidae,100653,POINT (145.44570 -14.66436),Entacmaea,267415,NA,NA,AM,Animalia,2,NA,TRUE,NA,ac743f48-0d62-46c4-9346-340f75627ca4,present,Actiniaria,1360,Cnidaria,1267,NA,NA,NA,Entacmaea quadricolor,NA,urn:lsid:marinespecies.org:taxname:289898,Entacmaea quadricolor,289898,NA,NA,Enthemonae,888371,Anthozoa,1292,Actinioidea,853973,species,NA,NA,15064665-a6d1-4569-abd6-658e114e893c,0e4e4700-5e70-48b1-b100-d6b05888dfa9,2a57cd59-6799-4579-955e-27c9af97aea4,FALSE,FALSE,Entacmaea quadricolor,289898,NO_DEPTH,6.97,301,26.52,34.91,NA,NA,NA,NA,NA,2019-01-02T15:49:04,NA,0.0009,1,individuals,Queensland,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
