"AphiaID","scientificName","scientificNameID","match_type","acceptedNameUsageID","vernacularName","scientificNameOriginal","rank","...9","...10","...11","gbif_speciesKey","gbif_scientificName","gbif_matchType","taxonID"
"212783","Amphiprion clarkii","urn:lsid:marinespecies.org:taxname:212783","exact","212783","Clark's Anemonefish","Amphiprion clarkii","Species","NRL","3",NA,5212081,"Amphiprion clarkii (Bennett, 1830)","EXACT","212783"
"278394","Amphiprion frenatus","urn:lsid:marinespecies.org:taxname:278394","exact","278394","Tomato Clownfish","Amphiprion frenatus","Species","NRL","3",NA,5212111,"Amphiprion frenatus Brevoort, 1856","EXACT","278394"
"278400","Amphiprion ocellaris","urn:lsid:marinespecies.org:taxname:278400","exact","278400","Ocellaris Clownfish","Amphiprion ocellaris","Species","NRL","3",NA,5212106,"Amphiprion ocellaris Cuvier, 1830","EXACT","278400"
"278403","Amphiprion perideraion","urn:lsid:marinespecies.org:taxname:278403","exact","278403","Pink Skunk Clownfish","Amphiprion perideraion","Species","NRL","3",NA,5212059,"Amphiprion perideraion Bleeker, 1855","EXACT","278403"
"212781","Amphiprion polymnus","urn:lsid:marinespecies.org:taxname:212781","exact","212781","Saddleback Clownfish","Amphiprion polymnus","Species","NRL","3",NA,5212096,"Amphiprion polymnus (Linnaeus, 1758)","EXACT","212781"
"278405","Amphiprion sandaracinos","urn:lsid:marinespecies.org:taxname:278405","exact","278405","Orange Skunk Clownfish","Amphiprion sandaracinos","Species","NRL","3",NA,5212089,"Amphiprion sandaracinos Allen, 1972","EXACT","278405"
"278392","Amphiprion akindynos","urn:lsid:marinespecies.org:taxname:278392","exact","278392","Barrier Reef Anemonefish","Amphiprion akindynos","Species","NRL","3",NA,5212068,"Amphiprion akindynos Allen, 1972","EXACT","278392"
"212771","Amphiprion allardi","urn:lsid:marinespecies.org:taxname:212771","exact","212771","Allard's Clownfish","Amphiprion allardi","Species","NRL","3",NA,5212110,"Amphiprion allardi Klausewitz, 1970","EXACT","212771"
"398553","Amphiprion barberi","urn:lsid:marinespecies.org:taxname:398553","exact","398553","Barberi Clownfish","Amphiprion barberi","Species","NRL","3",NA,5212075,"Amphiprion barberi Allen, Drew & Kaufman, 2008","EXACT","398553"
"212778","Amphiprion bicinctus","urn:lsid:marinespecies.org:taxname:212778","exact","212778","Red Sea Clownfish","Amphiprion bicinctus","Species","NRL","3",NA,5212077,"Amphiprion bicinctus Rüppell, 1830","EXACT","212778"
"278393","Amphiprion chrysopterus","urn:lsid:marinespecies.org:taxname:278393","exact","278393","Orange-fin Anemonefish","Amphiprion chrysopterus","Species","NRL","3",NA,5212076,"Amphiprion chrysopterus Cuvier, 1830","EXACT","278393"
"212782","Amphiprion ephippium","urn:lsid:marinespecies.org:taxname:212782","exact","212782","Red Saddleback Anemonefish","Amphiprion ephippium","Species","NRL","3",NA,5212057,"Amphiprion ephippium (Bloch, 1790)","EXACT","212782"
"212774","Amphiprion fuscocaudatus","urn:lsid:marinespecies.org:taxname:212774","exact","212774","Seychelles Anemonefish","Amphiprion fuscocaudatus","Species","NRL","3",NA,5212056,"Amphiprion fuscocaudatus Allen, 1972","EXACT","212774"
"278395","Amphiprion latezonatus","urn:lsid:marinespecies.org:taxname:278395","exact","278395","Wide-band Anemonefish","Amphiprion latezonatus","Species","NRL","3",NA,5212078,"Amphiprion latezonatus Waite, 1900","EXACT","278395"
"212775","Amphiprion latifasciatus","urn:lsid:marinespecies.org:taxname:212775","exact","212775","Madagascar Anemonefish","Amphiprion latifasciatus","Species","NRL","3",NA,5212067,"Amphiprion latifasciatus Allen, 1972","EXACT","212775"
"278396","Amphiprion leucokranos","urn:lsid:marinespecies.org:taxname:278396","exact","278396","White Bonnet Anemonefish","Amphiprion leucokranos","Species","NRL","3",NA,5212079,"Amphiprion leucokranos Allen, 1973","EXACT","278396"
"278398","Amphiprion melanopus","urn:lsid:marinespecies.org:taxname:278398","exact","278398","Fire Clownfish","Amphiprion melanopus","Species","NRL","3",NA,5212069,"Amphiprion melanopus Bleeker, 1852","EXACT","278398"
"278399","Amphiprion nigripes","urn:lsid:marinespecies.org:taxname:278399","exact","278399","Maldive Anemonefish","Amphiprion nigripes","Species","NRL","3",NA,5212055,"Amphiprion nigripes Regan, 1908","EXACT","278399"
"278402","Amphiprion percula","urn:lsid:marinespecies.org:taxname:278402","exact","278402","Orange Clownfish","Amphiprion percula","Species","NRL","3",NA,5212094,"Amphiprion percula (Lacepède, 1802)","EXACT","278402"
"278404","Amphiprion rubrocinctus","urn:lsid:marinespecies.org:taxname:278404","exact","278404","Red Anemonefish","Amphiprion rubrocinctus","Species","NRL","3",NA,5212051,"Amphiprion rubrocinctus Richardson, 1842","EXACT","278404"
"212772","Amphiprion sebae","urn:lsid:marinespecies.org:taxname:212772","exact","212772","Sebae Anemonefish","Amphiprion sebae","Species","NRL","3",NA,5212118,"Amphiprion sebae Bleeker, 1853","EXACT","212772"
"278407","Amphiprion tricinctus","urn:lsid:marinespecies.org:taxname:278407","exact","278407","Three-band Anemonefish","Amphiprion tricinctus","Species","NRL","3",NA,5212119,"Amphiprion tricinctus Schultz & Welander, 1953","EXACT","278407"
"1605249","Premnas biaculeatus","urn:lsid:marinespecies.org:taxname:212768","exact","1605249","Maroon Clownfish","Premnas biaculeatus","Species","NRL","3",NA,2398709,"Premnas biaculeatus (Bloch, 1790)","EXACT","1605249"
