species,group,scenario,EnvOnly,Combined,constraint_km
Amphiprion_akallopisos,specialist,ssp119_2050,1759.7846004380224,1561.211164428973,198.57343600904937
Amphiprion_akallopisos,specialist,ssp119_2100,1771.1816529140208,1546.0128870021592,225.16876591186156
Amphiprion_akallopisos,specialist,ssp585_2050,1756.6934649490765,1538.898318420642,217.79514652843454
Amphiprion_akallopisos,specialist,ssp585_2100,1748.8008888538172,1516.9855629761328,231.81532587768447
Amphiprion_akindynos,generalist,ssp119_2050,2517.224880752609,2656.75022782282,-139.52534707021096
Amphiprion_akindynos,generalist,ssp119_2100,2515.0743360148813,2684.2317184905964,-169.15738247571517
Amphiprion_akindynos,generalist,ssp585_2050,2479.9786345911048,2625.6214047799854,-145.6427701888806
Amphiprion_akindynos,generalist,ssp585_2100,2813.353222356432,2658.2848893712985,155.06833298513357
Amphiprion_allardi,generalist,ssp119_2050,1596.5189612764116,1277.2230596152033,319.2959016612083
Amphiprion_allardi,generalist,ssp119_2100,1584.1514012711225,1260.3502849497615,323.80111632136095
Amphiprion_allardi,generalist,ssp585_2050,1585.7453703519407,1277.7387649071777,308.00660544476295
Amphiprion_allardi,generalist,ssp585_2100,1733.4437116557142,1360.104655124603,373.3390565311113
Amphiprion_chrysogaster,generalist,ssp119_2050,121.15435025846071,2108.6389110279956,-1987.484560769535
Amphiprion_chrysogaster,generalist,ssp119_2100,111.43005292637383,2155.855471244821,-2044.425418318447
Amphiprion_chrysogaster,generalist,ssp585_2050,126.98685174640423,2128.1108063613838,-2001.1239546149795
Amphiprion_chrysogaster,generalist,ssp585_2100,116.08882528523479,2172.498684782841,-2056.4098594976062
Amphiprion_chrysopterus,generalist,ssp119_2050,479.80427226688874,NA,NA
Amphiprion_chrysopterus,generalist,ssp119_2100,513.1101384501775,NA,NA
Amphiprion_chrysopterus,generalist,ssp585_2050,456.7458847442767,NA,NA
Amphiprion_chrysopterus,generalist,ssp585_2100,490.864267724013,NA,NA
Amphiprion_ephippium,specialist,ssp119_2050,875.9888177884445,1457.317268803133,-581.3284510146884
Amphiprion_ephippium,specialist,ssp119_2100,944.1053097629451,1446.6293758244915,-502.52406606154636
Amphiprion_ephippium,specialist,ssp585_2050,868.6295623839702,1423.6840985714869,-555.0545361875166
Amphiprion_ephippium,specialist,ssp585_2100,842.641986681372,1368.953841127768,-526.3118544463961
Amphiprion_frenatus,specialist,ssp119_2050,683.367919353159,401.6094968131148,281.7584225400442
Amphiprion_frenatus,specialist,ssp119_2100,688.4112697519511,420.1722969276402,268.23897282431085
Amphiprion_frenatus,specialist,ssp585_2050,702.3173282260243,430.7690544265913,271.548273799433
Amphiprion_frenatus,specialist,ssp585_2100,742.3931047500524,520.7729484606166,221.62015628943584
Amphiprion_fuscocaudatus,generalist,ssp119_2050,1639.5802654923377,1614.2345224127967,25.34574307954108
Amphiprion_fuscocaudatus,generalist,ssp119_2100,1696.8727450701142,1664.6982426758354,32.17450239427876
Amphiprion_fuscocaudatus,generalist,ssp585_2050,1664.9350391925254,1624.6710345903589,40.26400460216655
Amphiprion_fuscocaudatus,generalist,ssp585_2100,1700.49189197946,1641.5594823329461,58.93240964651386
Amphiprion_latifasciatus,generalist,ssp119_2050,3735.0417839674183,2054.782978655782,1680.2588053116365
Amphiprion_latifasciatus,generalist,ssp119_2100,3694.75432466309,2014.8323364152343,1679.9219882478556
Amphiprion_latifasciatus,generalist,ssp585_2050,3794.1670632059936,2074.295229563889,1719.8718336421048
Amphiprion_latifasciatus,generalist,ssp585_2100,3549.0284289353103,2023.6872267645363,1525.341202170774
Amphiprion_leucokranos,generalist,ssp119_2050,553.5985995581772,494.1456451541362,59.45295440404095
Amphiprion_leucokranos,generalist,ssp119_2100,552.818152782955,489.2583003401691,63.55985244278594
Amphiprion_leucokranos,generalist,ssp585_2050,553.7044505914618,498.54373400978545,55.1607165816763
Amphiprion_leucokranos,generalist,ssp585_2100,553.7592270388641,498.833584826675,54.925642212189075
Amphiprion_melanopus,specialist,ssp119_2050,624.7993365600868,742.867459007673,-118.06812244758623
Amphiprion_melanopus,specialist,ssp119_2100,639.9947707694562,793.349464115589,-153.35469334613276
Amphiprion_melanopus,specialist,ssp585_2050,613.2361494896887,730.2882956626472,-117.05214617295849
Amphiprion_melanopus,specialist,ssp585_2100,654.7040317166006,831.3642381958434,-176.6602064792428
Amphiprion_nigripes,specialist,ssp119_2050,3132.4676091075535,2989.9263430453793,142.54126606217415
Amphiprion_nigripes,specialist,ssp119_2100,3155.267841183683,3042.3945691965328,112.87327198715002
Amphiprion_nigripes,specialist,ssp585_2050,3109.712777732882,3024.3227210852147,85.39005664766728
Amphiprion_nigripes,specialist,ssp585_2100,3077.81305654722,2888.4120713630446,189.40098518417562
Amphiprion_ocellaris,specialist,ssp119_2050,435.7043924134956,196.30653743183657,239.39785498165904
Amphiprion_ocellaris,specialist,ssp119_2100,419.5729452343177,182.60799960759,236.96494562672768
Amphiprion_ocellaris,specialist,ssp585_2050,431.1362508863994,176.31951809944752,254.8167327869519
Amphiprion_ocellaris,specialist,ssp585_2100,442.3906787712966,65.57119895913127,376.81947981216535
Amphiprion_percula,specialist,ssp119_2050,1055.6783926104013,775.321169606821,280.3572230035803
Amphiprion_percula,specialist,ssp119_2100,1038.2452737356075,851.6413320076524,186.6039417279551
Amphiprion_percula,specialist,ssp585_2050,1053.0988940536402,786.5202573085123,266.5786367451278
Amphiprion_percula,specialist,ssp585_2100,1224.0436492227498,964.7462987009203,259.29735052182946
Amphiprion_polymnus,generalist,ssp119_2050,615.7019555308415,604.4305029123283,11.271452618513194
Amphiprion_polymnus,generalist,ssp119_2100,610.5170504156604,622.8458416917136,-12.328791276053266
Amphiprion_polymnus,generalist,ssp585_2050,605.4673900432143,595.1390304563628,10.328359586851548
Amphiprion_polymnus,generalist,ssp585_2100,637.2033039228563,679.9768088305586,-42.77350490770232
Amphiprion_rubrocinctus,specialist,ssp119_2050,1886.3910482574352,1920.8302340504529,-34.439185793017714
Amphiprion_rubrocinctus,specialist,ssp119_2100,1897.1060172852722,1935.2989140515913,-38.19289676631911
Amphiprion_rubrocinctus,specialist,ssp585_2050,1864.5075407958761,1890.0900983976906,-25.582557601814415
Amphiprion_rubrocinctus,specialist,ssp585_2100,1741.0360396427195,1579.0157531345865,162.02028650813304
Amphiprion_tricinctus,generalist,ssp119_2050,458.59985360186107,385.49625237109836,73.1036012307627
Amphiprion_tricinctus,generalist,ssp119_2100,464.3248142650287,356.06853836411375,108.25627590091494
Amphiprion_tricinctus,generalist,ssp585_2050,449.38778522297275,370.81809317584384,78.56969204712891
Amphiprion_tricinctus,generalist,ssp585_2100,457.85221033675947,336.9904169798178,120.86179335694169
