species,n_hosts,group
Amphiprion_akallopisos,2,specialist
Amphiprion_akindynos,6,generalist
Amphiprion_allardi,6,generalist
Amphiprion_bicinctus,6,generalist
Amphiprion_chrysogaster,4,generalist
Amphiprion_chrysopterus,5,generalist
Amphiprion_clarkii,10,generalist
Amphiprion_ephippium,1,specialist
Amphiprion_frenatus,1,specialist
Amphiprion_fuscocaudatus,6,generalist
Amphiprion_latezonatus,4,generalist
Amphiprion_latifasciatus,5,generalist
Amphiprion_leucokranos,3,generalist
Amphiprion_melanopus,2,specialist
Amphiprion_nigripes,1,specialist
Amphiprion_ocellaris,2,specialist
Amphiprion_percula,2,specialist
Amphiprion_perideraion,2,specialist
Amphiprion_polymnus,3,generalist
Amphiprion_rubrocinctus,1,specialist
Amphiprion_sandaracinos,2,specialist
Amphiprion_sebae,6,generalist
Amphiprion_tricinctus,7,generalist
