species,model,group,n_iter,auc_mean,auc_sd,tss_mean,boyce_mean
Amphiprion_akallopisos,EnvOnly,specialist,80,0.7155829301352056,0.1288452835944802,0.44433492647869377,0.16873696331626073
Amphiprion_akallopisos,HostOnly,specialist,80,0.603148459222838,0.19439530920570353,0.34129818640308235,0.10375307985930535
Amphiprion_akallopisos,Combined,specialist,80,0.7210994420454765,0.10859840510834771,0.44626334743216384,0.09477191001773438
Amphiprion_akindynos,EnvOnly,generalist,80,0.9059680863643913,0.041337168754080215,0.7532437936162824,0.4809892092467345
Amphiprion_akindynos,HostOnly,generalist,80,0.8980835324319427,0.06773121681659612,0.745600458320122,0.517237242267552
Amphiprion_akindynos,Combined,generalist,80,0.9269757468632513,0.042093703846812665,0.7791122648004711,0.476832359357714
Amphiprion_allardi,EnvOnly,generalist,80,0.8453328779150957,0.13561330347938605,0.66408918098031,0.40645716967811657
Amphiprion_allardi,HostOnly,generalist,80,0.9207263453079179,0.042397835730148624,0.778622732509426,0.6116252644653036
Amphiprion_allardi,Combined,generalist,80,0.8862064570241586,0.10078292116286146,0.759292880533445,0.2551802867820052
Amphiprion_chrysogaster,EnvOnly,generalist,80,0.870184375,0.04432519988157006,0.674005,0.17403733464982452
Amphiprion_chrysogaster,HostOnly,generalist,80,0.85580375,0.0065909785629845235,0.632945,0.08789009339234345
Amphiprion_chrysogaster,Combined,generalist,80,0.81464125,0.024443176515431795,0.67631,0.2516603267931496
Amphiprion_ephippium,EnvOnly,specialist,80,0.9059124442033478,0.023050717128483382,0.7585785798423523,0.6448423051603099
Amphiprion_ephippium,HostOnly,specialist,80,0.5943565283190151,0.0815315561675864,0.3622693521388717,0.5011384481164769
Amphiprion_ephippium,Combined,specialist,80,0.908235341643787,0.03269606423882345,0.7704682238065717,0.6915719025416616
Amphiprion_frenatus,EnvOnly,specialist,80,0.8046443171585828,0.09878751206866487,0.5454674543661374,0.36938122593816447
Amphiprion_frenatus,HostOnly,specialist,80,0.7654365529372018,0.1276585714923716,0.48506585476651914,0.5244743087223933
Amphiprion_frenatus,Combined,specialist,80,0.8151070795352068,0.07691492338657396,0.554300194119823,0.2593129294397954
Amphiprion_fuscocaudatus,EnvOnly,generalist,66,0.8413711802121066,0.07370623573092054,0.6759932443885077,-0.20176460434536372
Amphiprion_fuscocaudatus,HostOnly,generalist,80,0.5180660415792832,0.09529904282513145,0.2852730625392937,-0.23442311154476786
Amphiprion_fuscocaudatus,Combined,generalist,80,0.8033012803597007,0.061263846196229814,0.6071125564694368,-0.2024368984034238
Amphiprion_latifasciatus,EnvOnly,generalist,80,0.8085870310260622,0.16339934125826092,0.6593655810668533,-0.005271422527286016
Amphiprion_latifasciatus,HostOnly,generalist,80,0.8631058409449209,0.04912446984517196,0.6898986968337265,-0.004333145827756921
Amphiprion_latifasciatus,Combined,generalist,78,0.764578559555894,0.2012127738062743,0.6417122801081205,0.024926692344079848
Amphiprion_leucokranos,EnvOnly,generalist,80,0.9356765193009912,0.027249399849185455,0.858434014084507,0.3914801805536908
Amphiprion_leucokranos,HostOnly,generalist,78,0.9450027192595268,0.025326892500634593,0.8722298061875526,0.38438522845590384
Amphiprion_leucokranos,Combined,generalist,78,0.9417587804127711,0.02911251423820731,0.8610495004213314,0.4352519438809665
Amphiprion_melanopus,EnvOnly,specialist,80,0.7838818365890737,0.09621957812396391,0.4833997050181528,0.4481716821461373
Amphiprion_melanopus,HostOnly,specialist,80,0.7810993944541771,0.07168678259070212,0.5055212175965799,0.5988832240165651
Amphiprion_melanopus,Combined,specialist,80,0.8290435634445038,0.08001956681037878,0.5818676599640165,0.38894539571387177
Amphiprion_nigripes,EnvOnly,specialist,80,0.760122618685455,0.2206513888223706,0.5101550785277634,0.44440576179954366
Amphiprion_nigripes,HostOnly,specialist,80,0.7655644286414095,0.1727926632643009,0.5087988012211172,0.46662300708852883
Amphiprion_nigripes,Combined,specialist,80,0.7936562566234193,0.2022304812007945,0.558441908512806,0.41519868986400577
Amphiprion_ocellaris,EnvOnly,specialist,80,0.7392388400920634,0.07228569939383814,0.41094202156220855,0.7367554517950661
Amphiprion_ocellaris,HostOnly,specialist,80,0.6673469548396672,0.1147115511644285,0.34879895889945856,0.2223347559825736
Amphiprion_ocellaris,Combined,specialist,80,0.776284942819958,0.06842009590565297,0.45638322624363964,0.7255823270196455
Amphiprion_percula,EnvOnly,specialist,80,0.8275293727036342,0.10511509901948733,0.6166605615841354,0.3555382465769686
Amphiprion_percula,HostOnly,specialist,80,0.736874345416075,0.048804271131807485,0.5042890484166629,0.29006960310651175
Amphiprion_percula,Combined,specialist,80,0.8562658796690604,0.07720820073711444,0.6463301213921693,0.4412209146457897
Amphiprion_polymnus,EnvOnly,generalist,80,0.7952072010893093,0.07012313315606739,0.514160589904689,0.4998790026076217
Amphiprion_polymnus,HostOnly,generalist,80,0.8128702013136241,0.044976963519137825,0.5536244965861408,0.5076090512343966
Amphiprion_polymnus,Combined,generalist,80,0.8210325159061708,0.049165330084601985,0.5564112113449055,0.5264509306136964
Amphiprion_rubrocinctus,EnvOnly,specialist,80,0.951975181073395,0.045531088122955886,0.8868100752663938,0.3889519989148748
Amphiprion_rubrocinctus,HostOnly,specialist,80,0.9295111426185809,0.04482163665005142,0.8100635923374105,0.4545079695228509
Amphiprion_rubrocinctus,Combined,specialist,80,0.9631100391188183,0.04094443082214472,0.8971030905902005,0.4406913914954201
Amphiprion_tricinctus,EnvOnly,generalist,80,0.9819335888715819,0.01586698800859766,0.9465031732433368,0.25744370770337544
Amphiprion_tricinctus,HostOnly,generalist,80,0.9797748611111111,0.007889132626195575,0.938156357736241,0.2762201549388847
Amphiprion_tricinctus,Combined,generalist,76,0.977080906948923,0.011097949763472326,0.9343900648558051,0.3968464512649553
