scenario,fish,host,weight,group,D_env_host,I_env_host,D_comb_host,I_comb_host
current,Amphiprion_akindynos,Entacmaea_quadricolor,0.56,generalist,0.448610159774831,0.7608387668785763,0.43721548870700355,0.7429005106267581
current,Amphiprion_allardi,Entacmaea_quadricolor,0.51,generalist,0.4954979261639496,0.7873272153733158,0.532618953072667,0.8238447586880037
current,Amphiprion_chrysogaster,Entacmaea_quadricolor,0.08,generalist,0.39539395790090703,0.7363319585884803,0.3009270548294636,0.6168449447495079
current,Amphiprion_ephippium,Entacmaea_quadricolor,1,specialist,0.6255252544170538,0.8969885527896237,0.651235360311797,0.9157250374801525
current,Amphiprion_frenatus,Entacmaea_quadricolor,1,specialist,0.6804711429351669,0.9028792777284018,0.6736592208428231,0.8995896942992405
current,Amphiprion_fuscocaudatus,Entacmaea_quadricolor,0.15,generalist,0.41036396799571595,0.711663299084024,0.5234443705873076,0.8060440099650699
current,Amphiprion_latifasciatus,Entacmaea_quadricolor,0.29,generalist,0.4923071154244263,0.7980947374740269,0.585511033558032,0.866533526928577
current,Amphiprion_melanopus,Entacmaea_quadricolor,0.98,specialist,0.7480550910989409,0.9380282180667858,0.7051397159585608,0.917427075999903
current,Amphiprion_rubrocinctus,Entacmaea_quadricolor,1,specialist,0.3295176685430037,0.635978675345085,0.3070410341931764,0.6082150075507539
current,Amphiprion_sebae,Entacmaea_quadricolor,0.06,generalist,0.7897487812494729,0.9680895341549915,0.7965019778712976,0.9712451777472425
current,Amphiprion_tricinctus,Entacmaea_quadricolor,0.22,generalist,0.30734480314706036,0.6459383635563437,0.4271310601331938,0.7871183830657384
current,Amphiprion_akallopisos,Heteractis_magnifica,0.94,specialist,0.7210732782260962,0.943763668592044,0.7226403108503647,0.9429698607915943
current,Amphiprion_akindynos,Heteractis_magnifica,0.02,generalist,0.37967950319528554,0.6879484548024255,0.3738566870936849,0.6692818341578946
current,Amphiprion_allardi,Heteractis_magnifica,0.11,generalist,0.4573236051432571,0.7525775250506342,0.5002940817874028,0.7900034206141915
current,Amphiprion_chrysogaster,Heteractis_magnifica,0.32,generalist,0.42811135933118394,0.7390936012934992,0.34170951879647504,0.6516920038586945
current,Amphiprion_latifasciatus,Heteractis_magnifica,0.08,generalist,0.5460125515350809,0.8185370650800974,0.6222266676258061,0.8738624433786868
current,Amphiprion_leucokranos,Heteractis_magnifica,0.14,generalist,0.6666934845788242,0.9184896206156699,0.6266837584050448,0.9051667243881147
current,Amphiprion_nigripes,Heteractis_magnifica,1,specialist,0.732856141063021,0.9326248785635189,0.654834841215972,0.8923928034075888
current,Amphiprion_ocellaris,Heteractis_magnifica,0.85,specialist,0.6985232060071849,0.9112438755993011,0.6955442206691062,0.9105341129169676
current,Amphiprion_percula,Heteractis_magnifica,0.81,specialist,0.7015713640845997,0.9141393326953806,0.6662676166728674,0.9006098386163219
current,Amphiprion_tricinctus,Heteractis_magnifica,0.03,generalist,0.3459967984318786,0.6788993104009093,0.4750450107773102,0.8115070974874593
current,Amphiprion_akindynos,Heteractis_crispa,0.15,generalist,0.4738430285890468,0.7807312904376869,0.4607131534187402,0.7585897001748394
current,Amphiprion_allardi,Heteractis_crispa,0.01,generalist,0.5391445620811792,0.8204686054900105,0.5727490514328075,0.8482156500799776
current,Amphiprion_fuscocaudatus,Heteractis_crispa,0.05,generalist,0.38751543664465016,0.6881203215146713,0.4903501014556034,0.776663915506025
current,Amphiprion_leucokranos,Heteractis_crispa,0.43,generalist,0.6448092874550577,0.9115265387618292,0.6192330311766794,0.9033904749564645
current,Amphiprion_melanopus,Heteractis_crispa,0.02,specialist,0.7899581133014045,0.9588873648379072,0.741555818875808,0.938746703809748
current,Amphiprion_sebae,Heteractis_crispa,0.11,generalist,0.7427777054690401,0.9454292158036613,0.7600421877809387,0.9508353341856061
current,Amphiprion_akindynos,Heteractis_aurora,0.01,generalist,0.4140414717400063,0.7295510784104914,0.40855796520484056,0.7136418894130819
current,Amphiprion_allardi,Heteractis_aurora,0.07,generalist,0.468407242261237,0.7675797510494806,0.5086016838726182,0.8076771473439568
current,Amphiprion_fuscocaudatus,Heteractis_aurora,0.25,generalist,0.40670397637570554,0.7091972196268823,0.519947318535074,0.8069130193690032
current,Amphiprion_latifasciatus,Heteractis_aurora,0.13,generalist,0.47567215529804296,0.7761438858365846,0.5561964706677449,0.8460709591808601
current,Amphiprion_polymnus,Heteractis_aurora,0.02,generalist,0.7780790464686491,0.9537540600995126,0.7661209907785634,0.9430995358044214
current,Amphiprion_sebae,Heteractis_aurora,0.11,generalist,0.8060638514851066,0.9731758912417673,0.8104583990847352,0.9753303056824965
current,Amphiprion_tricinctus,Heteractis_aurora,0.14,generalist,0.33076797893102583,0.6653317685835087,0.4507116408535453,0.7986265737533357
current,Amphiprion_sebae,Heteractis_malu,0.06,generalist,0.8282739317533588,0.9776071295786058,0.8240405394146554,0.974645082783423
current,Amphiprion_tricinctus,Heteractis_malu,0.05,generalist,0.21764395377086765,0.5509364055904173,0.3245467834068305,0.6958542288358763
current,Amphiprion_akindynos,Stichodactyla_haddoni,0.01,generalist,0.5139994393800899,0.810754985840463,0.49540760138376794,0.7920051440056795
current,Amphiprion_allardi,Stichodactyla_haddoni,0.14,generalist,0.5220919882139787,0.8051610214696465,0.5441867214393712,0.8356212133221752
current,Amphiprion_fuscocaudatus,Stichodactyla_haddoni,0.06,generalist,0.39835667374936123,0.7057700783707733,0.5013306285479432,0.79513940934306
current,Amphiprion_latifasciatus,Stichodactyla_haddoni,0.08,generalist,0.4688066762250179,0.7724981025953191,0.5596469243151734,0.8437541099913095
current,Amphiprion_polymnus,Stichodactyla_haddoni,0.88,generalist,0.6554827281345444,0.913204663191101,0.6715104247697096,0.9176158312294406
