variable,coefficient,file,species,model
PC3,0.024678116808359525,Amphiprion_akallopisos_Combined_iter001_model.rds,Amphiprion_akallopisos,Combined
PC4,-0.2682914213077497,Amphiprion_akallopisos_Combined_iter001_model.rds,Amphiprion_akallopisos,Combined
biotic_suitability,6.177582643031826,Amphiprion_akallopisos_Combined_iter001_model.rds,Amphiprion_akallopisos,Combined
PC4,0.023884398820772836,Amphiprion_akallopisos_Combined_iter001_model.rds,Amphiprion_akallopisos,Combined
rugosity,-1.0288194235240354e-6,Amphiprion_akallopisos_Combined_iter001_model.rds,Amphiprion_akallopisos,Combined
biotic_suitability,-8.32897386622137,Amphiprion_akallopisos_Combined_iter001_model.rds,Amphiprion_akallopisos,Combined
PC1,-2.871495946787633,Amphiprion_akallopisos_Combined_iter001_model.rds,Amphiprion_akallopisos,Combined
PC1,-3.107507431713797,Amphiprion_akallopisos_Combined_iter001_model.rds,Amphiprion_akallopisos,Combined
PC1,2.2520021708189244,Amphiprion_akallopisos_Combined_iter001_model.rds,Amphiprion_akallopisos,Combined
PC2,1.0704536760837247,Amphiprion_akallopisos_Combined_iter001_model.rds,Amphiprion_akallopisos,Combined
PC2,-1.0156766525238332,Amphiprion_akallopisos_Combined_iter001_model.rds,Amphiprion_akallopisos,Combined
PC3,-1.8024899753912464,Amphiprion_akallopisos_Combined_iter001_model.rds,Amphiprion_akallopisos,Combined
PC4,0.013926405158215534,Amphiprion_akallopisos_Combined_iter001_model.rds,Amphiprion_akallopisos,Combined
biotic_suitability,0.7601235477067948,Amphiprion_akallopisos_Combined_iter001_model.rds,Amphiprion_akallopisos,Combined
biotic_suitability,2.8860392763076006,Amphiprion_akallopisos_Combined_iter001_model.rds,Amphiprion_akallopisos,Combined
biotic_suitability,0.44758849426158803,Amphiprion_akallopisos_Combined_iter001_model.rds,Amphiprion_akallopisos,Combined
PC3,5.467361821893982e-5,Amphiprion_akallopisos_Combined_iter002_model.rds,Amphiprion_akallopisos,Combined
PC4,-0.4304811325781752,Amphiprion_akallopisos_Combined_iter002_model.rds,Amphiprion_akallopisos,Combined
rugosity,0.0010285890898551263,Amphiprion_akallopisos_Combined_iter002_model.rds,Amphiprion_akallopisos,Combined
biotic_suitability,2.1687462022561648,Amphiprion_akallopisos_Combined_iter002_model.rds,Amphiprion_akallopisos,Combined
PC3,-0.005320657039208815,Amphiprion_akallopisos_Combined_iter002_model.rds,Amphiprion_akallopisos,Combined
PC4,-0.013005532019379934,Amphiprion_akallopisos_Combined_iter002_model.rds,Amphiprion_akallopisos,Combined
rugosity,3.3974195951227103e-7,Amphiprion_akallopisos_Combined_iter002_model.rds,Amphiprion_akallopisos,Combined
