species,model_type,iter,fold,auc
Amphiprion_akallopisos,Combined,1,1,0.781
Amphiprion_akallopisos,Combined,2,2,0.856
Amphiprion_akallopisos,Combined,3,3,0.77
Amphiprion_akallopisos,Combined,4,4,0.621
Amphiprion_akallopisos,Combined,5,1,0.676
Amphiprion_akallopisos,Combined,6,2,0.865
Amphiprion_akallopisos,Combined,7,3,0.647
Amphiprion_akallopisos,Combined,8,4,0.681
Amphiprion_akallopisos,Combined,9,1,0.802
Amphiprion_akallopisos,Combined,10,2,0.87
Amphiprion_akallopisos,Combined,11,3,0.725
Amphiprion_akallopisos,Combined,12,4,0.663
Amphiprion_akallopisos,Combined,13,1,0.773
Amphiprion_akallopisos,Combined,14,2,0.848
Amphiprion_akallopisos,Combined,15,3,0.756
Amphiprion_akallopisos,Combined,16,4,0.639
Amphiprion_akallopisos,Combined,17,1,0.724
Amphiprion_akallopisos,Combined,18,2,0.807
Amphiprion_akallopisos,Combined,19,3,0.478
Amphiprion_akallopisos,Combined,20,4,0.615
Amphiprion_akallopisos,Combined,21,1,0.805
Amphiprion_akallopisos,Combined,22,2,0.837
Amphiprion_akallopisos,Combined,23,3,0.871
Amphiprion_akallopisos,Combined,24,4,0.642
Amphiprion_akallopisos,Combined,25,1,0.731
Amphiprion_akallopisos,Combined,26,2,0.838
Amphiprion_akallopisos,Combined,27,3,0.666
Amphiprion_akallopisos,Combined,28,4,0.615
Amphiprion_akallopisos,Combined,29,1,0.725
Amphiprion_akallopisos,Combined,30,2,0.809
Amphiprion_akallopisos,Combined,31,3,0.54
Amphiprion_akallopisos,Combined,32,4,0.445
Amphiprion_akallopisos,Combined,33,1,0.737
Amphiprion_akallopisos,Combined,34,2,0.831
Amphiprion_akallopisos,Combined,35,3,0.625
Amphiprion_akallopisos,Combined,36,4,0.614
Amphiprion_akallopisos,Combined,37,1,0.776
Amphiprion_akallopisos,Combined,38,2,0.862
Amphiprion_akallopisos,Combined,39,3,0.664
Amphiprion_akallopisos,Combined,40,4,0.611
Amphiprion_akallopisos,EnvOnly,1,1,0.795
Amphiprion_akallopisos,EnvOnly,2,2,0.802
Amphiprion_akallopisos,EnvOnly,3,3,0.878
Amphiprion_akallopisos,EnvOnly,4,4,0.533
Amphiprion_akallopisos,EnvOnly,5,1,0.742
Amphiprion_akallopisos,EnvOnly,6,2,0.811
