[01:22:49] Combined | Iter 1 OK | fold: 1 | AUC: 0.781 | TSS: 0.497
[01:23:22] Combined | Iter 2 OK | fold: 2 | AUC: 0.856 | TSS: 0.66
[01:23:52] Combined | Iter 3 OK | fold: 3 | AUC: 0.77 | TSS: 0.56
[01:24:12] Combined | Iter 4 OK | fold: 4 | AUC: 0.621 | TSS: 0.228
[01:24:35] Combined | Iter 5 OK | fold: 1 | AUC: 0.676 | TSS: 0.312
[01:25:07] Combined | Iter 6 OK | fold: 2 | AUC: 0.865 | TSS: 0.674
[01:25:37] Combined | Iter 7 OK | fold: 3 | AUC: 0.647 | TSS: 0.376
[01:26:03] Combined | Iter 8 OK | fold: 4 | AUC: 0.681 | TSS: 0.319
[01:26:30] Combined | Iter 9 OK | fold: 1 | AUC: 0.802 | TSS: 0.551
[01:26:59] Combined | Iter 10 OK | fold: 2 | AUC: 0.87 | TSS: 0.705
[01:27:28] Combined | Iter 11 OK | fold: 3 | AUC: 0.725 | TSS: 0.457
[01:27:56] Combined | Iter 12 OK | fold: 4 | AUC: 0.663 | TSS: 0.343
[01:28:23] Combined | Iter 13 OK | fold: 1 | AUC: 0.773 | TSS: 0.472
[01:28:51] Combined | Iter 14 OK | fold: 2 | AUC: 0.848 | TSS: 0.638
[01:29:22] Combined | Iter 15 OK | fold: 3 | AUC: 0.756 | TSS: 0.47
[01:29:49] Combined | Iter 16 OK | fold: 4 | AUC: 0.639 | TSS: 0.247
[01:30:18] Combined | Iter 17 OK | fold: 1 | AUC: 0.724 | TSS: 0.377
[01:30:47] Combined | Iter 18 OK | fold: 2 | AUC: 0.807 | TSS: 0.568
[01:31:14] Combined | Iter 19 OK | fold: 3 | AUC: 0.478 | TSS: 0.329
[01:31:45] Combined | Iter 20 OK | fold: 4 | AUC: 0.615 | TSS: 0.286
[01:32:09] Combined | Iter 21 OK | fold: 1 | AUC: 0.805 | TSS: 0.559
[01:32:34] Combined | Iter 22 OK | fold: 2 | AUC: 0.837 | TSS: 0.696
[01:32:57] Combined | Iter 23 OK | fold: 3 | AUC: 0.871 | TSS: 0.729
[01:33:25] Combined | Iter 24 OK | fold: 4 | AUC: 0.642 | TSS: 0.264
[01:33:48] Combined | Iter 25 OK | fold: 1 | AUC: 0.731 | TSS: 0.419
[01:34:12] Combined | Iter 26 OK | fold: 2 | AUC: 0.838 | TSS: 0.658
[01:34:39] Combined | Iter 27 OK | fold: 3 | AUC: 0.666 | TSS: 0.431
[01:35:00] Combined | Iter 28 OK | fold: 4 | AUC: 0.615 | TSS: 0.215
[01:35:28] Combined | Iter 29 OK | fold: 1 | AUC: 0.725 | TSS: 0.363
[01:35:54] Combined | Iter 30 OK | fold: 2 | AUC: 0.809 | TSS: 0.657
[01:36:24] Combined | Iter 31 OK | fold: 3 | AUC: 0.54 | TSS: 0.264
[01:36:49] Combined | Iter 32 OK | fold: 4 | AUC: 0.445 | TSS: 0.014
[01:37:10] Combined | Iter 33 OK | fold: 1 | AUC: 0.737 | TSS: 0.42
[01:37:36] Combined | Iter 34 OK | fold: 2 | AUC: 0.831 | TSS: 0.701
[01:37:58] Combined | Iter 35 OK | fold: 3 | AUC: 0.625 | TSS: 0.369
[01:38:23] Combined | Iter 36 OK | fold: 4 | AUC: 0.614 | TSS: 0.203
[01:38:42] Combined | Iter 37 OK | fold: 1 | AUC: 0.776 | TSS: 0.491
[01:39:13] Combined | Iter 38 OK | fold: 2 | AUC: 0.862 | TSS: 0.697
[01:39:42] Combined | Iter 39 OK | fold: 3 | AUC: 0.664 | TSS: 0.335
[01:40:08] Combined | Iter 40 OK | fold: 4 | AUC: 0.611 | TSS: 0.296
