[23:17:43] EnvOnly | Iter 1 OK | fold: 1 | AUC: 0.795 | TSS: 0.54
[23:18:06] EnvOnly | Iter 2 OK | fold: 2 | AUC: 0.802 | TSS: 0.572
[23:18:35] EnvOnly | Iter 3 OK | fold: 3 | AUC: 0.878 | TSS: 0.732
[23:18:58] EnvOnly | Iter 4 OK | fold: 4 | AUC: 0.533 | TSS: 0.163
[23:19:22] EnvOnly | Iter 5 OK | fold: 1 | AUC: 0.742 | TSS: 0.439
[23:19:44] EnvOnly | Iter 6 OK | fold: 2 | AUC: 0.811 | TSS: 0.59
[23:20:06] EnvOnly | Iter 7 OK | fold: 3 | AUC: 0.758 | TSS: 0.472
[23:20:29] EnvOnly | Iter 8 OK | fold: 4 | AUC: 0.62 | TSS: 0.229
[23:20:54] EnvOnly | Iter 9 OK | fold: 1 | AUC: 0.826 | TSS: 0.595
[23:21:14] EnvOnly | Iter 10 OK | fold: 2 | AUC: 0.844 | TSS: 0.673
[23:21:40] EnvOnly | Iter 11 OK | fold: 3 | AUC: 0.8 | TSS: 0.63
[23:22:01] EnvOnly | Iter 12 OK | fold: 4 | AUC: 0.533 | TSS: 0.138
[23:22:26] EnvOnly | Iter 13 OK | fold: 1 | AUC: 0.799 | TSS: 0.537
[23:22:54] EnvOnly | Iter 14 OK | fold: 2 | AUC: 0.804 | TSS: 0.614
[23:23:19] EnvOnly | Iter 15 OK | fold: 3 | AUC: 0.808 | TSS: 0.543
[23:23:43] EnvOnly | Iter 16 OK | fold: 4 | AUC: 0.568 | TSS: 0.205
[23:24:05] EnvOnly | Iter 17 OK | fold: 1 | AUC: 0.751 | TSS: 0.484
[23:24:30] EnvOnly | Iter 18 OK | fold: 2 | AUC: 0.716 | TSS: 0.435
[23:24:56] EnvOnly | Iter 19 OK | fold: 3 | AUC: 0.613 | TSS: 0.37
[23:25:22] EnvOnly | Iter 20 OK | fold: 4 | AUC: 0.479 | TSS: 0.103
[23:25:46] EnvOnly | Iter 21 OK | fold: 1 | AUC: 0.788 | TSS: 0.523
[23:26:08] EnvOnly | Iter 22 OK | fold: 2 | AUC: 0.802 | TSS: 0.628
[23:26:31] EnvOnly | Iter 23 OK | fold: 3 | AUC: 0.863 | TSS: 0.688
[23:26:54] EnvOnly | Iter 24 OK | fold: 4 | AUC: 0.52 | TSS: 0.1
[23:27:15] EnvOnly | Iter 25 OK | fold: 1 | AUC: 0.779 | TSS: 0.543
[23:27:38] EnvOnly | Iter 26 OK | fold: 2 | AUC: 0.76 | TSS: 0.489
[23:28:03] EnvOnly | Iter 27 OK | fold: 3 | AUC: 0.811 | TSS: 0.594
[23:28:26] EnvOnly | Iter 28 OK | fold: 4 | AUC: 0.51 | TSS: 0.103
[23:28:49] EnvOnly | Iter 29 OK | fold: 1 | AUC: 0.765 | TSS: 0.501
[23:29:13] EnvOnly | Iter 30 OK | fold: 2 | AUC: 0.786 | TSS: 0.569
[23:29:36] EnvOnly | Iter 31 OK | fold: 3 | AUC: 0.583 | TSS: 0.315
[23:29:59] EnvOnly | Iter 32 OK | fold: 4 | AUC: 0.462 | TSS: 0.045
[23:30:22] EnvOnly | Iter 33 OK | fold: 1 | AUC: 0.743 | TSS: 0.444
[23:30:44] EnvOnly | Iter 34 OK | fold: 2 | AUC: 0.785 | TSS: 0.543
[23:31:06] EnvOnly | Iter 35 OK | fold: 3 | AUC: 0.628 | TSS: 0.414
[23:31:26] EnvOnly | Iter 36 OK | fold: 4 | AUC: 0.532 | TSS: 0.144
[23:31:50] EnvOnly | Iter 37 OK | fold: 1 | AUC: 0.764 | TSS: 0.486
[23:32:12] EnvOnly | Iter 38 OK | fold: 2 | AUC: 0.82 | TSS: 0.611
[23:32:35] EnvOnly | Iter 39 OK | fold: 3 | AUC: 0.944 | TSS: 0.83
[23:32:59] EnvOnly | Iter 40 OK | fold: 4 | AUC: 0.497 | TSS: 0.141
