[00:28:15] HostOnly | Iter 1 OK | fold: 1 | AUC: 0.629 | TSS: 0.313
[00:28:27] HostOnly | Iter 2 OK | fold: 2 | AUC: 0.831 | TSS: 0.582
[00:28:41] HostOnly | Iter 3 OK | fold: 3 | AUC: 0.305 | TSS: 0.224
[00:28:56] HostOnly | Iter 4 OK | fold: 4 | AUC: 0.653 | TSS: 0.273
[00:29:11] HostOnly | Iter 5 OK | fold: 1 | AUC: 0.528 | TSS: 0.129
[00:29:25] HostOnly | Iter 6 OK | fold: 2 | AUC: 0.877 | TSS: 0.691
[00:29:42] HostOnly | Iter 7 OK | fold: 3 | AUC: 0.336 | TSS: 0.245
[00:29:55] HostOnly | Iter 8 OK | fold: 4 | AUC: 0.653 | TSS: 0.271
[00:30:05] HostOnly | Iter 9 OK | fold: 1 | AUC: 0.622 | TSS: 0.235
[00:30:19] HostOnly | Iter 10 OK | fold: 2 | AUC: 0.861 | TSS: 0.643
[00:30:34] HostOnly | Iter 11 OK | fold: 3 | AUC: 0.331 | TSS: 0.262
[00:30:47] HostOnly | Iter 12 OK | fold: 4 | AUC: 0.677 | TSS: 0.294
[00:31:01] HostOnly | Iter 13 OK | fold: 1 | AUC: 0.612 | TSS: 0.29
[00:31:13] HostOnly | Iter 14 OK | fold: 2 | AUC: 0.872 | TSS: 0.678
[00:31:32] HostOnly | Iter 15 OK | fold: 3 | AUC: 0.305 | TSS: 0.216
[00:31:43] HostOnly | Iter 16 OK | fold: 4 | AUC: 0.669 | TSS: 0.286
[00:32:00] HostOnly | Iter 17 OK | fold: 1 | AUC: 0.552 | TSS: 0.178
[00:32:16] HostOnly | Iter 18 OK | fold: 2 | AUC: 0.837 | TSS: 0.588
[00:32:32] HostOnly | Iter 19 OK | fold: 3 | AUC: 0.327 | TSS: 0.236
[00:32:48] HostOnly | Iter 20 OK | fold: 4 | AUC: 0.673 | TSS: 0.297
[00:33:02] HostOnly | Iter 21 OK | fold: 1 | AUC: 0.651 | TSS: 0.371
[00:33:14] HostOnly | Iter 22 OK | fold: 2 | AUC: 0.819 | TSS: 0.582
[00:33:33] HostOnly | Iter 23 OK | fold: 3 | AUC: 0.289 | TSS: 0.213
[00:33:48] HostOnly | Iter 24 OK | fold: 4 | AUC: 0.672 | TSS: 0.288
[00:34:03] HostOnly | Iter 25 OK | fold: 1 | AUC: 0.539 | TSS: 0.13
[00:34:15] HostOnly | Iter 26 OK | fold: 2 | AUC: 0.822 | TSS: 0.571
[00:34:29] HostOnly | Iter 27 OK | fold: 3 | AUC: 0.298 | TSS: 0.216
[00:34:38] HostOnly | Iter 28 OK | fold: 4 | AUC: 0.693 | TSS: 0.328
[00:34:51] HostOnly | Iter 29 OK | fold: 1 | AUC: 0.567 | TSS: 0.211
[00:35:01] HostOnly | Iter 30 OK | fold: 2 | AUC: 0.823 | TSS: 0.582
[00:35:21] HostOnly | Iter 31 OK | fold: 3 | AUC: 0.314 | TSS: 0.222
[00:35:33] HostOnly | Iter 32 OK | fold: 4 | AUC: 0.655 | TSS: 0.267
[00:35:52] HostOnly | Iter 33 OK | fold: 1 | AUC: 0.561 | TSS: 0.206
[00:36:04] HostOnly | Iter 34 OK | fold: 2 | AUC: 0.852 | TSS: 0.623
[00:36:18] HostOnly | Iter 35 OK | fold: 3 | AUC: 0.306 | TSS: 0.219
[00:36:31] HostOnly | Iter 36 OK | fold: 4 | AUC: 0.666 | TSS: 0.284
[00:36:43] HostOnly | Iter 37 OK | fold: 1 | AUC: 0.565 | TSS: 0.197
[00:36:55] HostOnly | Iter 38 OK | fold: 2 | AUC: 0.859 | TSS: 0.633
[00:37:07] HostOnly | Iter 39 OK | fold: 3 | AUC: 0.336 | TSS: 0.254
[00:37:22] HostOnly | Iter 40 OK | fold: 4 | AUC: 0.691 | TSS: 0.324
