[01:46:47] Combined | Iter 1 OK | fold: 1 | AUC: 0.956 | TSS: 0.896
[01:47:09] Combined | Iter 2 OK | fold: 2 | AUC: 0.963 | TSS: 0.852
[01:47:30] Combined | Iter 3 OK | fold: 3 | AUC: 0.868 | TSS: 0.564
[01:48:04] Combined | Iter 4 OK | fold: 1 | AUC: 0.954 | TSS: 0.862
[01:48:28] Combined | Iter 5 OK | fold: 2 | AUC: 0.964 | TSS: 0.868
[01:48:56] Combined | Iter 6 OK | fold: 3 | AUC: 0.816 | TSS: 0.57
[01:49:31] Combined | Iter 7 OK | fold: 1 | AUC: 0.954 | TSS: 0.873
[01:49:57] Combined | Iter 8 OK | fold: 2 | AUC: 0.966 | TSS: 0.883
[01:50:24] Combined | Iter 9 OK | fold: 3 | AUC: 0.91 | TSS: 0.678
[01:50:54] Combined | Iter 10 OK | fold: 1 | AUC: 0.951 | TSS: 0.858
[01:51:22] Combined | Iter 11 OK | fold: 2 | AUC: 0.962 | TSS: 0.865
[01:51:47] Combined | Iter 12 OK | fold: 3 | AUC: 0.873 | TSS: 0.617
[01:52:23] Combined | Iter 13 OK | fold: 1 | AUC: 0.948 | TSS: 0.865
[01:52:53] Combined | Iter 14 OK | fold: 2 | AUC: 0.956 | TSS: 0.816
[01:53:22] Combined | Iter 15 OK | fold: 3 | AUC: 0.871 | TSS: 0.617
[01:54:10] Combined | Iter 16 OK | fold: 1 | AUC: 0.949 | TSS: 0.861
[01:54:42] Combined | Iter 17 OK | fold: 2 | AUC: 0.961 | TSS: 0.832
[01:55:12] Combined | Iter 18 OK | fold: 3 | AUC: 0.83 | TSS: 0.558
[01:55:41] Combined | Iter 19 OK | fold: 1 | AUC: 0.943 | TSS: 0.859
[01:56:10] Combined | Iter 20 OK | fold: 2 | AUC: 0.961 | TSS: 0.861
[01:56:30] Combined | Iter 21 OK | fold: 3 | AUC: 0.879 | TSS: 0.63
[01:57:08] Combined | Iter 22 OK | fold: 1 | AUC: 0.952 | TSS: 0.907
[01:57:38] Combined | Iter 23 OK | fold: 2 | AUC: 0.961 | TSS: 0.852
[01:58:05] Combined | Iter 24 OK | fold: 3 | AUC: 0.893 | TSS: 0.704
[01:58:34] Combined | Iter 25 OK | fold: 1 | AUC: 0.947 | TSS: 0.868
[01:59:08] Combined | Iter 26 OK | fold: 2 | AUC: 0.955 | TSS: 0.811
[01:59:34] Combined | Iter 27 OK | fold: 3 | AUC: 0.865 | TSS: 0.635
[02:00:07] Combined | Iter 28 OK | fold: 1 | AUC: 0.93 | TSS: 0.806
[02:00:36] Combined | Iter 29 OK | fold: 2 | AUC: 0.95 | TSS: 0.824
[02:00:58] Combined | Iter 30 OK | fold: 3 | AUC: 0.892 | TSS: 0.675
[02:01:34] Combined | Iter 31 OK | fold: 1 | AUC: 0.951 | TSS: 0.862
[02:01:59] Combined | Iter 32 OK | fold: 2 | AUC: 0.955 | TSS: 0.818
[02:02:20] Combined | Iter 33 OK | fold: 3 | AUC: 0.904 | TSS: 0.67
[02:02:49] Combined | Iter 34 OK | fold: 1 | AUC: 0.945 | TSS: 0.859
[02:03:16] Combined | Iter 35 OK | fold: 2 | AUC: 0.965 | TSS: 0.868
[02:03:43] Combined | Iter 36 OK | fold: 3 | AUC: 0.887 | TSS: 0.627
[02:04:13] Combined | Iter 37 OK | fold: 1 | AUC: 0.951 | TSS: 0.861
[02:04:44] Combined | Iter 38 OK | fold: 2 | AUC: 0.951 | TSS: 0.826
[02:05:02] Combined | Iter 39 OK | fold: 3 | AUC: 0.845 | TSS: 0.563
[02:05:28] Combined | Iter 40 OK | fold: 1 | AUC: 0.944 | TSS: 0.847
