[23:39:01] EnvOnly | Iter 1 OK | fold: 1 | AUC: 0.935 | TSS: 0.843
[23:39:28] EnvOnly | Iter 2 OK | fold: 2 | AUC: 0.953 | TSS: 0.793
[23:39:44] EnvOnly | Iter 3 OK | fold: 3 | AUC: 0.857 | TSS: 0.648
[23:40:14] EnvOnly | Iter 4 OK | fold: 1 | AUC: 0.933 | TSS: 0.806
[23:40:38] EnvOnly | Iter 5 OK | fold: 2 | AUC: 0.943 | TSS: 0.81
[23:41:02] EnvOnly | Iter 6 OK | fold: 3 | AUC: 0.8 | TSS: 0.601
[23:41:30] EnvOnly | Iter 7 OK | fold: 1 | AUC: 0.92 | TSS: 0.796
[23:41:56] EnvOnly | Iter 8 OK | fold: 2 | AUC: 0.962 | TSS: 0.869
[23:42:20] EnvOnly | Iter 9 OK | fold: 3 | AUC: 0.883 | TSS: 0.655
[23:42:51] EnvOnly | Iter 10 OK | fold: 1 | AUC: 0.938 | TSS: 0.821
[23:43:14] EnvOnly | Iter 11 OK | fold: 2 | AUC: 0.959 | TSS: 0.849
[23:43:40] EnvOnly | Iter 12 OK | fold: 3 | AUC: 0.852 | TSS: 0.614
[23:44:12] EnvOnly | Iter 13 OK | fold: 1 | AUC: 0.919 | TSS: 0.819
[23:44:41] EnvOnly | Iter 14 OK | fold: 2 | AUC: 0.917 | TSS: 0.769
[23:45:03] EnvOnly | Iter 15 OK | fold: 3 | AUC: 0.849 | TSS: 0.651
[23:45:30] EnvOnly | Iter 16 OK | fold: 1 | AUC: 0.93 | TSS: 0.821
[23:45:58] EnvOnly | Iter 17 OK | fold: 2 | AUC: 0.941 | TSS: 0.792
[23:46:18] EnvOnly | Iter 18 OK | fold: 3 | AUC: 0.82 | TSS: 0.586
[23:46:47] EnvOnly | Iter 19 OK | fold: 1 | AUC: 0.922 | TSS: 0.813
[23:47:13] EnvOnly | Iter 20 OK | fold: 2 | AUC: 0.958 | TSS: 0.831
[23:47:39] EnvOnly | Iter 21 OK | fold: 3 | AUC: 0.854 | TSS: 0.631
[23:48:09] EnvOnly | Iter 22 OK | fold: 1 | AUC: 0.928 | TSS: 0.841
[23:48:38] EnvOnly | Iter 23 OK | fold: 2 | AUC: 0.946 | TSS: 0.787
[23:49:02] EnvOnly | Iter 24 OK | fold: 3 | AUC: 0.877 | TSS: 0.718
[23:49:31] EnvOnly | Iter 25 OK | fold: 1 | AUC: 0.916 | TSS: 0.797
[23:49:52] EnvOnly | Iter 26 OK | fold: 2 | AUC: 0.917 | TSS: 0.752
[23:50:15] EnvOnly | Iter 27 OK | fold: 3 | AUC: 0.852 | TSS: 0.65
[23:50:42] EnvOnly | Iter 28 OK | fold: 1 | AUC: 0.9 | TSS: 0.745
[23:51:06] EnvOnly | Iter 29 OK | fold: 2 | AUC: 0.924 | TSS: 0.792
[23:51:31] EnvOnly | Iter 30 OK | fold: 3 | AUC: 0.868 | TSS: 0.674
[23:51:55] EnvOnly | Iter 31 OK | fold: 1 | AUC: 0.935 | TSS: 0.831
[23:52:21] EnvOnly | Iter 32 OK | fold: 2 | AUC: 0.914 | TSS: 0.724
[23:52:42] EnvOnly | Iter 33 OK | fold: 3 | AUC: 0.884 | TSS: 0.66
[23:53:10] EnvOnly | Iter 34 OK | fold: 1 | AUC: 0.928 | TSS: 0.836
[23:53:33] EnvOnly | Iter 35 OK | fold: 2 | AUC: 0.948 | TSS: 0.83
[23:54:00] EnvOnly | Iter 36 OK | fold: 3 | AUC: 0.851 | TSS: 0.637
[23:54:29] EnvOnly | Iter 37 OK | fold: 1 | AUC: 0.93 | TSS: 0.813
[23:54:55] EnvOnly | Iter 38 OK | fold: 2 | AUC: 0.917 | TSS: 0.788
[23:55:15] EnvOnly | Iter 39 OK | fold: 3 | AUC: 0.841 | TSS: 0.625
[23:55:40] EnvOnly | Iter 40 OK | fold: 1 | AUC: 0.919 | TSS: 0.81
