[00:33:30] HostOnly | Iter 1 OK | fold: 1 | AUC: 0.941 | TSS: 0.889
[00:33:40] HostOnly | Iter 2 OK | fold: 2 | AUC: 0.946 | TSS: 0.785
[00:33:54] HostOnly | Iter 3 OK | fold: 3 | AUC: 0.794 | TSS: 0.539
[00:34:15] HostOnly | Iter 4 OK | fold: 1 | AUC: 0.943 | TSS: 0.89
[00:34:30] HostOnly | Iter 5 OK | fold: 2 | AUC: 0.946 | TSS: 0.798
[00:34:38] HostOnly | Iter 6 OK | fold: 3 | AUC: 0.731 | TSS: 0.543
[00:34:59] HostOnly | Iter 7 OK | fold: 1 | AUC: 0.951 | TSS: 0.913
[00:35:09] HostOnly | Iter 8 OK | fold: 2 | AUC: 0.946 | TSS: 0.78
[00:35:21] HostOnly | Iter 9 OK | fold: 3 | AUC: 0.821 | TSS: 0.55
[00:35:33] HostOnly | Iter 10 OK | fold: 1 | AUC: 0.932 | TSS: 0.893
[00:35:50] HostOnly | Iter 11 OK | fold: 2 | AUC: 0.94 | TSS: 0.737
[00:36:01] HostOnly | Iter 12 OK | fold: 3 | AUC: 0.799 | TSS: 0.557
[00:36:22] HostOnly | Iter 13 OK | fold: 1 | AUC: 0.949 | TSS: 0.898
[00:36:33] HostOnly | Iter 14 OK | fold: 2 | AUC: 0.939 | TSS: 0.762
[00:36:45] HostOnly | Iter 15 OK | fold: 3 | AUC: 0.792 | TSS: 0.542
[00:37:01] HostOnly | Iter 16 OK | fold: 1 | AUC: 0.936 | TSS: 0.886
[00:37:10] HostOnly | Iter 17 OK | fold: 2 | AUC: 0.951 | TSS: 0.804
[00:37:25] HostOnly | Iter 18 OK | fold: 3 | AUC: 0.744 | TSS: 0.539
[00:37:43] HostOnly | Iter 19 OK | fold: 1 | AUC: 0.947 | TSS: 0.902
[00:37:59] HostOnly | Iter 20 OK | fold: 2 | AUC: 0.944 | TSS: 0.793
[00:38:11] HostOnly | Iter 21 OK | fold: 3 | AUC: 0.843 | TSS: 0.567
[00:38:29] HostOnly | Iter 22 OK | fold: 1 | AUC: 0.945 | TSS: 0.899
[00:38:47] HostOnly | Iter 23 OK | fold: 2 | AUC: 0.942 | TSS: 0.78
[00:38:57] HostOnly | Iter 24 OK | fold: 3 | AUC: 0.813 | TSS: 0.555
[00:39:16] HostOnly | Iter 25 OK | fold: 1 | AUC: 0.922 | TSS: 0.896
[00:39:29] HostOnly | Iter 26 OK | fold: 2 | AUC: 0.942 | TSS: 0.773
[00:39:42] HostOnly | Iter 27 OK | fold: 3 | AUC: 0.804 | TSS: 0.537
[00:39:58] HostOnly | Iter 28 OK | fold: 1 | AUC: 0.932 | TSS: 0.871
[00:40:11] HostOnly | Iter 29 OK | fold: 2 | AUC: 0.95 | TSS: 0.795
[00:40:21] HostOnly | Iter 30 OK | fold: 3 | AUC: 0.846 | TSS: 0.56
[00:40:31] HostOnly | Iter 31 OK | fold: 1 | AUC: 0.944 | TSS: 0.887
[00:40:48] HostOnly | Iter 32 OK | fold: 2 | AUC: 0.94 | TSS: 0.771
[00:40:55] HostOnly | Iter 33 OK | fold: 3 | AUC: 0.858 | TSS: 0.568
[00:41:12] HostOnly | Iter 34 OK | fold: 1 | AUC: 0.937 | TSS: 0.887
[00:41:27] HostOnly | Iter 35 OK | fold: 2 | AUC: 0.949 | TSS: 0.798
[00:41:40] HostOnly | Iter 36 OK | fold: 3 | AUC: 0.845 | TSS: 0.558
[00:41:58] HostOnly | Iter 37 OK | fold: 1 | AUC: 0.946 | TSS: 0.899
[00:42:15] HostOnly | Iter 38 OK | fold: 2 | AUC: 0.944 | TSS: 0.798
[00:42:25] HostOnly | Iter 39 OK | fold: 3 | AUC: 0.792 | TSS: 0.549
[00:42:42] HostOnly | Iter 40 OK | fold: 1 | AUC: 0.941 | TSS: 0.876
