[01:18:26] Combined | Iter 1 OK | fold: 2 | AUC: 0.778 | TSS: 0.597
[01:18:51] Combined | Iter 2 OK | fold: 4 | AUC: 0.95 | TSS: 0.807
[01:19:10] Combined | Iter 3 OK | fold: 2 | AUC: 0.791 | TSS: 0.573
[01:19:35] Combined | Iter 4 OK | fold: 4 | AUC: 0.955 | TSS: 0.827
[01:19:57] Combined | Iter 5 OK | fold: 2 | AUC: 0.768 | TSS: 0.595
[01:20:17] Combined | Iter 6 OK | fold: 4 | AUC: 0.984 | TSS: 0.878
[01:20:41] Combined | Iter 7 OK | fold: 2 | AUC: 0.797 | TSS: 0.614
[01:21:07] Combined | Iter 8 OK | fold: 4 | AUC: 0.986 | TSS: 0.92
[01:21:32] Combined | Iter 9 OK | fold: 2 | AUC: 0.805 | TSS: 0.613
[01:21:51] Combined | Iter 10 OK | fold: 4 | AUC: 0.984 | TSS: 0.905
[01:22:13] Combined | Iter 11 OK | fold: 2 | AUC: 0.815 | TSS: 0.635
[01:22:37] Combined | Iter 12 OK | fold: 4 | AUC: 0.995 | TSS: 0.977
[01:23:01] Combined | Iter 13 OK | fold: 2 | AUC: 0.779 | TSS: 0.578
[01:23:23] Combined | Iter 14 OK | fold: 4 | AUC: 0.986 | TSS: 0.91
[01:23:46] Combined | Iter 15 OK | fold: 2 | AUC: 0.784 | TSS: 0.586
[01:24:07] Combined | Iter 16 OK | fold: 4 | AUC: 0.995 | TSS: 0.982
[01:24:34] Combined | Iter 17 OK | fold: 2 | AUC: 0.791 | TSS: 0.623
[01:24:59] Combined | Iter 18 OK | fold: 4 | AUC: 0.993 | TSS: 0.957
[01:25:22] Combined | Iter 19 OK | fold: 2 | AUC: 0.773 | TSS: 0.552
[01:25:48] Combined | Iter 20 OK | fold: 4 | AUC: 0.978 | TSS: 0.87
[01:26:09] Combined | Iter 21 OK | fold: 2 | AUC: 0.798 | TSS: 0.614
[01:26:33] Combined | Iter 22 OK | fold: 4 | AUC: 0.993 | TSS: 0.966
[01:26:57] Combined | Iter 23 OK | fold: 2 | AUC: 0.793 | TSS: 0.602
[01:27:20] Combined | Iter 24 OK | fold: 4 | AUC: 0.996 | TSS: 0.989
[01:27:47] Combined | Iter 25 OK | fold: 2 | AUC: 0.81 | TSS: 0.62
[01:28:13] Combined | Iter 26 OK | fold: 4 | AUC: 0.99 | TSS: 0.95
[01:28:34] Combined | Iter 27 OK | fold: 2 | AUC: 0.774 | TSS: 0.577
[01:28:58] Combined | Iter 28 OK | fold: 4 | AUC: 0.991 | TSS: 0.937
[01:29:24] Combined | Iter 29 OK | fold: 2 | AUC: 0.78 | TSS: 0.586
[01:29:47] Combined | Iter 30 OK | fold: 4 | AUC: 0.996 | TSS: 0.977
[01:30:10] Combined | Iter 31 OK | fold: 2 | AUC: 0.795 | TSS: 0.612
[01:30:35] Combined | Iter 32 OK | fold: 4 | AUC: 0.993 | TSS: 0.966
[01:31:00] Combined | Iter 33 OK | fold: 2 | AUC: 0.805 | TSS: 0.598
[01:31:25] Combined | Iter 34 OK | fold: 4 | AUC: 0.962 | TSS: 0.819
[01:31:45] Combined | Iter 35 OK | fold: 2 | AUC: 0.778 | TSS: 0.583
[01:32:10] Combined | Iter 36 OK | fold: 4 | AUC: 0.995 | TSS: 0.98
[01:32:34] Combined | Iter 37 OK | fold: 2 | AUC: 0.763 | TSS: 0.545
[01:32:59] Combined | Iter 38 OK | fold: 4 | AUC: 0.993 | TSS: 0.973
[01:33:22] Combined | Iter 39 OK | fold: 2 | AUC: 0.764 | TSS: 0.544
[01:33:44] Combined | Iter 40 OK | fold: 4 | AUC: 0.99 | TSS: 0.936
