[23:15:28] EnvOnly | Iter 1 OK | fold: 2 | AUC: 0.721 | TSS: 0.417
[23:15:49] EnvOnly | Iter 2 OK | fold: 4 | AUC: 0.913 | TSS: 0.674
[23:16:11] EnvOnly | Iter 3 OK | fold: 2 | AUC: 0.694 | TSS: 0.345
[23:16:37] EnvOnly | Iter 4 OK | fold: 4 | AUC: 0.915 | TSS: 0.756
[23:17:00] EnvOnly | Iter 5 OK | fold: 2 | AUC: 0.714 | TSS: 0.431
[23:17:24] EnvOnly | Iter 6 OK | fold: 4 | AUC: 0.992 | TSS: 0.955
[23:17:51] EnvOnly | Iter 7 OK | fold: 2 | AUC: 0.728 | TSS: 0.462
[23:18:19] EnvOnly | Iter 8 OK | fold: 4 | AUC: 0.988 | TSS: 0.924
[23:18:41] EnvOnly | Iter 9 OK | fold: 2 | AUC: 0.752 | TSS: 0.494
[23:19:01] EnvOnly | Iter 10 OK | fold: 4 | AUC: 0.983 | TSS: 0.913
[23:19:25] EnvOnly | Iter 11 OK | fold: 2 | AUC: 0.716 | TSS: 0.39
[23:19:56] EnvOnly | Iter 12 OK | fold: 4 | AUC: 0.994 | TSS: 0.976
[23:20:23] EnvOnly | Iter 13 OK | fold: 2 | AUC: 0.71 | TSS: 0.451
[23:20:43] EnvOnly | Iter 14 OK | fold: 4 | AUC: 0.992 | TSS: 0.972
[23:21:04] EnvOnly | Iter 15 OK | fold: 2 | AUC: 0.724 | TSS: 0.442
[23:21:32] EnvOnly | Iter 16 OK | fold: 4 | AUC: 0.994 | TSS: 0.969
[23:21:59] EnvOnly | Iter 17 OK | fold: 2 | AUC: 0.719 | TSS: 0.475
[23:22:31] EnvOnly | Iter 18 OK | fold: 4 | AUC: 0.995 | TSS: 0.978
[23:22:57] EnvOnly | Iter 19 OK | fold: 2 | AUC: 0.715 | TSS: 0.454
[23:23:23] EnvOnly | Iter 20 OK | fold: 4 | AUC: 0.98 | TSS: 0.869
[23:23:48] EnvOnly | Iter 21 OK | fold: 2 | AUC: 0.698 | TSS: 0.373
[23:24:13] EnvOnly | Iter 22 OK | fold: 4 | AUC: 0.987 | TSS: 0.94
[23:24:38] EnvOnly | Iter 23 OK | fold: 2 | AUC: 0.706 | TSS: 0.391
[23:25:05] EnvOnly | Iter 24 OK | fold: 4 | AUC: 0.995 | TSS: 0.98
[23:25:36] EnvOnly | Iter 25 OK | fold: 2 | AUC: 0.71 | TSS: 0.395
[23:25:59] EnvOnly | Iter 26 OK | fold: 4 | AUC: 0.982 | TSS: 0.946
[23:26:24] EnvOnly | Iter 27 OK | fold: 2 | AUC: 0.703 | TSS: 0.377
[23:26:55] EnvOnly | Iter 28 OK | fold: 4 | AUC: 0.987 | TSS: 0.95
[23:27:16] EnvOnly | Iter 29 OK | fold: 2 | AUC: 0.725 | TSS: 0.45
[23:27:43] EnvOnly | Iter 30 OK | fold: 4 | AUC: 0.983 | TSS: 0.901
[23:28:05] EnvOnly | Iter 31 OK | fold: 2 | AUC: 0.71 | TSS: 0.389
[23:28:29] EnvOnly | Iter 32 OK | fold: 4 | AUC: 0.991 | TSS: 0.974
[23:28:52] EnvOnly | Iter 33 OK | fold: 2 | AUC: 0.729 | TSS: 0.416
[23:29:22] EnvOnly | Iter 34 OK | fold: 4 | AUC: 0.959 | TSS: 0.892
[23:29:45] EnvOnly | Iter 35 OK | fold: 2 | AUC: 0.691 | TSS: 0.368
[23:30:11] EnvOnly | Iter 36 OK | fold: 4 | AUC: 0.992 | TSS: 0.97
[23:30:36] EnvOnly | Iter 37 OK | fold: 2 | AUC: 0.706 | TSS: 0.364
[23:30:57] EnvOnly | Iter 38 OK | fold: 4 | AUC: 0.959 | TSS: 0.848
[23:31:22] EnvOnly | Iter 39 OK | fold: 2 | AUC: 0.67 | TSS: 0.331
[23:31:45] EnvOnly | Iter 40 OK | fold: 4 | AUC: 0.99 | TSS: 0.966
