[00:26:11] HostOnly | Iter 1 OK | fold: 2 | AUC: 0.868 | TSS: 0.745
[00:26:24] HostOnly | Iter 2 OK | fold: 4 | AUC: 0.965 | TSS: 0.825
[00:26:37] HostOnly | Iter 3 OK | fold: 2 | AUC: 0.863 | TSS: 0.738
[00:26:47] HostOnly | Iter 4 OK | fold: 4 | AUC: 0.96 | TSS: 0.815
[00:27:03] HostOnly | Iter 5 OK | fold: 2 | AUC: 0.87 | TSS: 0.71
[00:27:16] HostOnly | Iter 6 OK | fold: 4 | AUC: 0.958 | TSS: 0.811
[00:27:32] HostOnly | Iter 7 OK | fold: 2 | AUC: 0.889 | TSS: 0.742
[00:27:41] HostOnly | Iter 8 OK | fold: 4 | AUC: 0.96 | TSS: 0.807
[00:27:56] HostOnly | Iter 9 OK | fold: 2 | AUC: 0.88 | TSS: 0.734
[00:28:12] HostOnly | Iter 10 OK | fold: 4 | AUC: 0.959 | TSS: 0.817
[00:28:27] HostOnly | Iter 11 OK | fold: 2 | AUC: 0.882 | TSS: 0.729
[00:28:36] HostOnly | Iter 12 OK | fold: 4 | AUC: 0.961 | TSS: 0.816
[00:28:50] HostOnly | Iter 13 OK | fold: 2 | AUC: 0.874 | TSS: 0.747
[00:29:03] HostOnly | Iter 14 OK | fold: 4 | AUC: 0.962 | TSS: 0.823
[00:29:14] HostOnly | Iter 15 OK | fold: 2 | AUC: 0.866 | TSS: 0.738
[00:29:28] HostOnly | Iter 16 OK | fold: 4 | AUC: 0.969 | TSS: 0.857
[00:29:44] HostOnly | Iter 17 OK | fold: 2 | AUC: 0.883 | TSS: 0.739
[00:29:57] HostOnly | Iter 18 OK | fold: 4 | AUC: 0.962 | TSS: 0.819
[00:30:09] HostOnly | Iter 19 OK | fold: 2 | AUC: 0.881 | TSS: 0.75
[00:30:23] HostOnly | Iter 20 OK | fold: 4 | AUC: 0.964 | TSS: 0.823
[00:30:35] HostOnly | Iter 21 OK | fold: 2 | AUC: 0.875 | TSS: 0.723
[00:30:52] HostOnly | Iter 22 OK | fold: 4 | AUC: 0.964 | TSS: 0.823
[00:31:06] HostOnly | Iter 23 OK | fold: 2 | AUC: 0.875 | TSS: 0.749
[00:31:16] HostOnly | Iter 24 OK | fold: 4 | AUC: 0.961 | TSS: 0.822
[00:31:30] HostOnly | Iter 25 OK | fold: 2 | AUC: 0.887 | TSS: 0.726
[00:31:41] HostOnly | Iter 26 OK | fold: 4 | AUC: 0.962 | TSS: 0.821
[00:31:57] HostOnly | Iter 27 OK | fold: 2 | AUC: 0.887 | TSS: 0.733
[00:32:07] HostOnly | Iter 28 OK | fold: 4 | AUC: 0.964 | TSS: 0.825
[00:32:20] HostOnly | Iter 29 OK | fold: 2 | AUC: 0.878 | TSS: 0.734
[00:32:33] HostOnly | Iter 30 OK | fold: 4 | AUC: 0.962 | TSS: 0.816
[00:32:51] HostOnly | Iter 31 OK | fold: 2 | AUC: 0.88 | TSS: 0.74
[00:33:03] HostOnly | Iter 32 OK | fold: 4 | AUC: 0.964 | TSS: 0.83
[00:33:15] HostOnly | Iter 33 OK | fold: 2 | AUC: 0.891 | TSS: 0.749
[00:33:29] HostOnly | Iter 34 OK | fold: 4 | AUC: 0.968 | TSS: 0.845
[00:33:41] HostOnly | Iter 35 OK | fold: 2 | AUC: 0.887 | TSS: 0.738
[00:33:56] HostOnly | Iter 36 OK | fold: 4 | AUC: 0.962 | TSS: 0.819
[00:34:11] HostOnly | Iter 37 OK | fold: 2 | AUC: 0.88 | TSS: 0.7
[00:34:27] HostOnly | Iter 38 OK | fold: 4 | AUC: 0.963 | TSS: 0.824
[00:34:39] HostOnly | Iter 39 OK | fold: 2 | AUC: 0.882 | TSS: 0.724
[00:34:51] HostOnly | Iter 40 OK | fold: 4 | AUC: 0.961 | TSS: 0.819
