[01:25:46] Combined | Iter 1 OK | fold: 2 | AUC: 0.982 | TSS: 0.876
[01:26:11] Combined | Iter 2 OK | fold: 4 | AUC: 0.998 | TSS: 0.995
[01:26:35] Combined | Iter 3 OK | fold: 2 | AUC: 0.979 | TSS: 0.875
[01:27:01] Combined | Iter 4 OK | fold: 4 | AUC: 0.998 | TSS: 0.995
[01:27:20] Combined | Iter 5 OK | fold: 2 | AUC: 0.982 | TSS: 0.883
[01:27:45] Combined | Iter 6 OK | fold: 4 | AUC: 0.998 | TSS: 0.995
[01:28:04] Combined | Iter 7 OK | fold: 2 | AUC: 0.982 | TSS: 0.877
[01:28:32] Combined | Iter 8 OK | fold: 4 | AUC: 0.998 | TSS: 0.995
[01:28:55] Combined | Iter 9 OK | fold: 2 | AUC: 0.979 | TSS: 0.872
[01:29:19] Combined | Iter 10 OK | fold: 4 | AUC: 0.998 | TSS: 0.996
[01:29:38] Combined | Iter 11 OK | fold: 2 | AUC: 0.981 | TSS: 0.88
[01:30:01] Combined | Iter 12 OK | fold: 4 | AUC: 0.998 | TSS: 0.995
[01:30:23] Combined | Iter 13 OK | fold: 2 | AUC: 0.983 | TSS: 0.876
[01:30:49] Combined | Iter 14 OK | fold: 4 | AUC: 0.998 | TSS: 0.995
[01:31:08] Combined | Iter 15 OK | fold: 2 | AUC: 0.983 | TSS: 0.877
[01:31:35] Combined | Iter 16 OK | fold: 4 | AUC: 0.998 | TSS: 0.995
[01:31:55] Combined | Iter 17 OK | fold: 2 | AUC: 0.984 | TSS: 0.878
[01:32:23] Combined | Iter 18 OK | fold: 4 | AUC: 0.998 | TSS: 0.995
[01:32:41] Combined | Iter 19 OK | fold: 2 | AUC: 0.98 | TSS: 0.881
[01:33:13] Combined | Iter 20 OK | fold: 4 | AUC: 0.998 | TSS: 0.995
[01:33:30] Combined | Iter 21 OK | fold: 2 | AUC: 0.985 | TSS: 0.875
[01:33:50] Combined | Iter 22 OK | fold: 4 | AUC: 0.998 | TSS: 0.995
[01:34:09] Combined | Iter 23 OK | fold: 2 | AUC: 0.983 | TSS: 0.876
[01:34:27] Combined | Iter 24 OK | fold: 4 | AUC: 0.998 | TSS: 0.996
[01:34:45] Combined | Iter 25 OK | fold: 2 | AUC: 0.984 | TSS: 0.88
[01:35:09] Combined | Iter 26 OK | fold: 4 | AUC: 0.998 | TSS: 0.996
[01:35:31] Combined | Iter 27 OK | fold: 2 | AUC: 0.978 | TSS: 0.875
[01:35:59] Combined | Iter 28 OK | fold: 4 | AUC: 0.998 | TSS: 0.995
[01:36:21] Combined | Iter 29 OK | fold: 2 | AUC: 0.981 | TSS: 0.87
[01:36:47] Combined | Iter 30 OK | fold: 4 | AUC: 0.998 | TSS: 0.995
[01:37:06] Combined | Iter 31 OK | fold: 2 | AUC: 0.98 | TSS: 0.872
[01:37:31] Combined | Iter 32 OK | fold: 4 | AUC: 0.998 | TSS: 0.995
[01:37:45] Combined | Iter 33 OK | fold: 2 | AUC: 0.981 | TSS: 0.874
[01:38:09] Combined | Iter 34 OK | fold: 4 | AUC: 0.998 | TSS: 0.995
[01:38:28] Combined | Iter 35 OK | fold: 2 | AUC: 0.978 | TSS: 0.881
[01:38:50] Combined | Iter 36 OK | fold: 4 | AUC: 0.998 | TSS: 0.995
[01:39:06] Combined | Iter 37 OK | fold: 2 | AUC: 0.986 | TSS: 0.876
[01:39:28] Combined | Iter 38 OK | fold: 4 | AUC: 0.998 | TSS: 0.995
[01:39:43] Combined | Iter 39 OK | fold: 2 | AUC: 0.98 | TSS: 0.874
[01:40:10] Combined | Iter 40 OK | fold: 4 | AUC: 0.998 | TSS: 0.995
