[23:22:30] EnvOnly | Iter 1 OK | fold: 2 | AUC: 0.98 | TSS: 0.874
[23:23:06] EnvOnly | Iter 2 OK | fold: 4 | AUC: 0.998 | TSS: 0.996
[23:23:27] EnvOnly | Iter 3 OK | fold: 2 | AUC: 0.976 | TSS: 0.878
[23:23:58] EnvOnly | Iter 4 OK | fold: 4 | AUC: 0.998 | TSS: 0.995
[23:24:24] EnvOnly | Iter 5 OK | fold: 2 | AUC: 0.975 | TSS: 0.875
[23:25:03] EnvOnly | Iter 6 OK | fold: 4 | AUC: 0.998 | TSS: 0.994
[23:25:23] EnvOnly | Iter 7 OK | fold: 2 | AUC: 0.98 | TSS: 0.876
[23:25:55] EnvOnly | Iter 8 OK | fold: 4 | AUC: 0.998 | TSS: 0.995
[23:26:17] EnvOnly | Iter 9 OK | fold: 2 | AUC: 0.979 | TSS: 0.88
[23:26:52] EnvOnly | Iter 10 OK | fold: 4 | AUC: 0.997 | TSS: 0.994
[23:27:13] EnvOnly | Iter 11 OK | fold: 2 | AUC: 0.981 | TSS: 0.876
[23:27:46] EnvOnly | Iter 12 OK | fold: 4 | AUC: 0.998 | TSS: 0.996
[23:28:05] EnvOnly | Iter 13 OK | fold: 2 | AUC: 0.979 | TSS: 0.875
[23:28:37] EnvOnly | Iter 14 OK | fold: 4 | AUC: 0.997 | TSS: 0.991
[23:28:56] EnvOnly | Iter 15 OK | fold: 2 | AUC: 0.98 | TSS: 0.885
[23:29:36] EnvOnly | Iter 16 OK | fold: 4 | AUC: 0.998 | TSS: 0.994
[23:29:57] EnvOnly | Iter 17 OK | fold: 2 | AUC: 0.982 | TSS: 0.902
[23:30:23] EnvOnly | Iter 18 OK | fold: 4 | AUC: 0.997 | TSS: 0.993
[23:30:41] EnvOnly | Iter 19 OK | fold: 2 | AUC: 0.975 | TSS: 0.88
[23:31:14] EnvOnly | Iter 20 OK | fold: 4 | AUC: 0.998 | TSS: 0.993
[23:31:31] EnvOnly | Iter 21 OK | fold: 2 | AUC: 0.974 | TSS: 0.881
[23:31:58] EnvOnly | Iter 22 OK | fold: 4 | AUC: 0.998 | TSS: 0.998
[23:32:20] EnvOnly | Iter 23 OK | fold: 2 | AUC: 0.981 | TSS: 0.88
[23:32:46] EnvOnly | Iter 24 OK | fold: 4 | AUC: 0.998 | TSS: 0.996
[23:33:03] EnvOnly | Iter 25 OK | fold: 2 | AUC: 0.982 | TSS: 0.881
[23:33:39] EnvOnly | Iter 26 OK | fold: 4 | AUC: 0.998 | TSS: 0.995
[23:33:58] EnvOnly | Iter 27 OK | fold: 2 | AUC: 0.975 | TSS: 0.875
[23:34:27] EnvOnly | Iter 28 OK | fold: 4 | AUC: 0.998 | TSS: 0.993
[23:34:45] EnvOnly | Iter 29 OK | fold: 2 | AUC: 0.978 | TSS: 0.874
[23:35:05] EnvOnly | Iter 30 OK | fold: 4 | AUC: 0.998 | TSS: 0.994
[23:35:24] EnvOnly | Iter 31 OK | fold: 2 | AUC: 0.972 | TSS: 0.875
[23:35:52] EnvOnly | Iter 32 OK | fold: 4 | AUC: 0.998 | TSS: 0.993
[23:36:14] EnvOnly | Iter 33 OK | fold: 2 | AUC: 0.977 | TSS: 0.876
[23:36:44] EnvOnly | Iter 34 OK | fold: 4 | AUC: 0.997 | TSS: 0.99
[23:37:04] EnvOnly | Iter 35 OK | fold: 2 | AUC: 0.981 | TSS: 0.877
[23:37:32] EnvOnly | Iter 36 OK | fold: 4 | AUC: 0.998 | TSS: 0.994
[23:37:46] EnvOnly | Iter 37 OK | fold: 2 | AUC: 0.98 | TSS: 0.864
[23:38:18] EnvOnly | Iter 38 OK | fold: 4 | AUC: 0.997 | TSS: 0.99
[23:38:41] EnvOnly | Iter 39 OK | fold: 2 | AUC: 0.976 | TSS: 0.881
[23:39:12] EnvOnly | Iter 40 OK | fold: 4 | AUC: 0.997 | TSS: 0.99
