[01:18:30] Combined | Iter 1 OK | fold: 4 | AUC: 0.783 | TSS: 0.65
[01:18:54] Combined | Iter 2 OK | fold: 4 | AUC: 0.818 | TSS: 0.679
[01:19:17] Combined | Iter 3 OK | fold: 4 | AUC: 0.858 | TSS: 0.663
[01:19:39] Combined | Iter 4 OK | fold: 4 | AUC: 0.82 | TSS: 0.698
[01:20:02] Combined | Iter 5 OK | fold: 4 | AUC: 0.804 | TSS: 0.643
[01:20:24] Combined | Iter 6 OK | fold: 4 | AUC: 0.793 | TSS: 0.675
[01:20:44] Combined | Iter 7 OK | fold: 4 | AUC: 0.854 | TSS: 0.678
[01:21:08] Combined | Iter 8 OK | fold: 4 | AUC: 0.815 | TSS: 0.675
[01:21:33] Combined | Iter 9 OK | fold: 4 | AUC: 0.746 | TSS: 0.57
[01:21:58] Combined | Iter 10 OK | fold: 4 | AUC: 0.8 | TSS: 0.638
[01:22:24] Combined | Iter 11 OK | fold: 4 | AUC: 0.83 | TSS: 0.707
[01:22:45] Combined | Iter 12 OK | fold: 4 | AUC: 0.822 | TSS: 0.665
[01:23:11] Combined | Iter 13 OK | fold: 4 | AUC: 0.811 | TSS: 0.696
[01:23:37] Combined | Iter 14 OK | fold: 4 | AUC: 0.832 | TSS: 0.679
[01:24:02] Combined | Iter 15 OK | fold: 4 | AUC: 0.795 | TSS: 0.653
[01:24:29] Combined | Iter 16 OK | fold: 4 | AUC: 0.832 | TSS: 0.689
[01:24:49] Combined | Iter 17 OK | fold: 4 | AUC: 0.787 | TSS: 0.648
[01:25:08] Combined | Iter 18 OK | fold: 4 | AUC: 0.807 | TSS: 0.706
[01:25:35] Combined | Iter 19 OK | fold: 4 | AUC: 0.823 | TSS: 0.692
[01:25:57] Combined | Iter 20 OK | fold: 4 | AUC: 0.83 | TSS: 0.68
[01:26:19] Combined | Iter 21 OK | fold: 4 | AUC: 0.797 | TSS: 0.685
[01:26:43] Combined | Iter 22 OK | fold: 4 | AUC: 0.818 | TSS: 0.63
[01:27:11] Combined | Iter 23 OK | fold: 4 | AUC: 0.841 | TSS: 0.669
[01:27:32] Combined | Iter 24 OK | fold: 4 | AUC: 0.831 | TSS: 0.667
[01:27:56] Combined | Iter 25 OK | fold: 4 | AUC: 0.812 | TSS: 0.704
[01:28:17] Combined | Iter 26 OK | fold: 4 | AUC: 0.832 | TSS: 0.705
[01:28:41] Combined | Iter 27 OK | fold: 4 | AUC: 0.806 | TSS: 0.711
[01:29:04] Combined | Iter 28 OK | fold: 4 | AUC: 0.86 | TSS: 0.703
[01:29:27] Combined | Iter 29 OK | fold: 4 | AUC: 0.815 | TSS: 0.686
[01:29:50] Combined | Iter 30 OK | fold: 4 | AUC: 0.802 | TSS: 0.668
[01:30:15] Combined | Iter 31 OK | fold: 4 | AUC: 0.842 | TSS: 0.7
[01:30:43] Combined | Iter 32 OK | fold: 4 | AUC: 0.788 | TSS: 0.649
[01:31:05] Combined | Iter 33 OK | fold: 4 | AUC: 0.788 | TSS: 0.662
[01:31:31] Combined | Iter 34 OK | fold: 4 | AUC: 0.834 | TSS: 0.711
[01:31:54] Combined | Iter 35 OK | fold: 4 | AUC: 0.787 | TSS: 0.634
[01:32:22] Combined | Iter 36 OK | fold: 4 | AUC: 0.828 | TSS: 0.708
[01:32:45] Combined | Iter 37 OK | fold: 4 | AUC: 0.861 | TSS: 0.717
[01:33:12] Combined | Iter 38 OK | fold: 4 | AUC: 0.807 | TSS: 0.713
[01:33:33] Combined | Iter 39 OK | fold: 4 | AUC: 0.803 | TSS: 0.701
[01:33:53] Combined | Iter 40 OK | fold: 4 | AUC: 0.775 | TSS: 0.647
