[23:13:33] EnvOnly | Iter 1 OK | fold: 4 | AUC: 0.802 | TSS: 0.637
[23:13:57] EnvOnly | Iter 2 OK | fold: 4 | AUC: 0.83 | TSS: 0.65
[23:14:17] EnvOnly | Iter 3 OK | fold: 4 | AUC: 0.898 | TSS: 0.684
[23:14:36] EnvOnly | Iter 4 OK | fold: 4 | AUC: 0.862 | TSS: 0.676
[23:14:59] EnvOnly | Iter 5 OK | fold: 4 | AUC: 0.902 | TSS: 0.698
[23:15:18] EnvOnly | Iter 6 OK | fold: 4 | AUC: 0.865 | TSS: 0.665
[23:15:39] EnvOnly | Iter 7 OK | fold: 4 | AUC: 0.91 | TSS: 0.701
[23:16:00] EnvOnly | Iter 8 OK | fold: 4 | AUC: 0.893 | TSS: 0.658
[23:16:24] EnvOnly | Iter 9 OK | fold: 4 | AUC: 0.761 | TSS: 0.566
[23:16:47] EnvOnly | Iter 10 OK | fold: 4 | AUC: 0.854 | TSS: 0.636
[23:17:05] EnvOnly | Iter 11 OK | fold: 4 | AUC: 0.886 | TSS: 0.674
[23:17:30] EnvOnly | Iter 12 OK | fold: 4 | AUC: 0.859 | TSS: 0.655
[23:17:50] EnvOnly | Iter 13 OK | fold: 4 | AUC: 0.906 | TSS: 0.674
[23:18:09] EnvOnly | Iter 14 OK | fold: 4 | AUC: 0.869 | TSS: 0.658
[23:18:31] EnvOnly | Iter 15 OK | fold: 4 | AUC: 0.803 | TSS: 0.628
[23:18:53] EnvOnly | Iter 16 OK | fold: 4 | AUC: 0.925 | TSS: 0.738
[23:19:13] EnvOnly | Iter 17 OK | fold: 4 | AUC: 0.829 | TSS: 0.631
[23:19:33] EnvOnly | Iter 18 OK | fold: 4 | AUC: 0.877 | TSS: 0.679
[23:19:56] EnvOnly | Iter 19 OK | fold: 4 | AUC: 0.892 | TSS: 0.673
[23:20:17] EnvOnly | Iter 20 OK | fold: 4 | AUC: 0.913 | TSS: 0.705
[23:20:38] EnvOnly | Iter 21 OK | fold: 4 | AUC: 0.851 | TSS: 0.679
[23:20:58] EnvOnly | Iter 22 OK | fold: 4 | AUC: 0.813 | TSS: 0.621
[23:21:17] EnvOnly | Iter 23 OK | fold: 4 | AUC: 0.882 | TSS: 0.658
[23:21:41] EnvOnly | Iter 24 OK | fold: 4 | AUC: 0.861 | TSS: 0.658
[23:22:02] EnvOnly | Iter 25 OK | fold: 4 | AUC: 0.855 | TSS: 0.681
[23:22:25] EnvOnly | Iter 26 OK | fold: 4 | AUC: 0.911 | TSS: 0.684
[23:22:50] EnvOnly | Iter 27 OK | fold: 4 | AUC: 0.915 | TSS: 0.703
[23:23:09] EnvOnly | Iter 28 OK | fold: 4 | AUC: 0.929 | TSS: 0.766
[23:23:33] EnvOnly | Iter 29 OK | fold: 4 | AUC: 0.882 | TSS: 0.675
[23:23:52] EnvOnly | Iter 30 OK | fold: 4 | AUC: 0.818 | TSS: 0.647
[23:24:13] EnvOnly | Iter 31 OK | fold: 4 | AUC: 0.923 | TSS: 0.75
[23:24:37] EnvOnly | Iter 32 OK | fold: 4 | AUC: 0.812 | TSS: 0.64
[23:24:58] EnvOnly | Iter 33 OK | fold: 4 | AUC: 0.84 | TSS: 0.661
[23:25:22] EnvOnly | Iter 34 OK | fold: 4 | AUC: 0.926 | TSS: 0.729
[23:25:39] EnvOnly | Iter 35 OK | fold: 4 | AUC: 0.783 | TSS: 0.624
[23:26:03] EnvOnly | Iter 36 OK | fold: 4 | AUC: 0.891 | TSS: 0.692
[23:26:25] EnvOnly | Iter 37 OK | fold: 4 | AUC: 0.935 | TSS: 0.743
[23:26:44] EnvOnly | Iter 38 OK | fold: 4 | AUC: 0.874 | TSS: 0.678
[23:27:04] EnvOnly | Iter 39 OK | fold: 4 | AUC: 0.936 | TSS: 0.741
[23:27:24] EnvOnly | Iter 40 OK | fold: 4 | AUC: 0.834 | TSS: 0.642
