[00:23:44] HostOnly | Iter 1 OK | fold: 4 | AUC: 0.852 | TSS: 0.632
[00:23:59] HostOnly | Iter 2 OK | fold: 4 | AUC: 0.856 | TSS: 0.639
[00:24:09] HostOnly | Iter 3 OK | fold: 4 | AUC: 0.853 | TSS: 0.618
[00:24:19] HostOnly | Iter 4 OK | fold: 4 | AUC: 0.857 | TSS: 0.636
[00:24:32] HostOnly | Iter 5 OK | fold: 4 | AUC: 0.854 | TSS: 0.612
[00:24:41] HostOnly | Iter 6 OK | fold: 4 | AUC: 0.85 | TSS: 0.62
[00:24:54] HostOnly | Iter 7 OK | fold: 4 | AUC: 0.862 | TSS: 0.631
[00:25:07] HostOnly | Iter 8 OK | fold: 4 | AUC: 0.856 | TSS: 0.631
[00:25:17] HostOnly | Iter 9 OK | fold: 4 | AUC: 0.836 | TSS: 0.585
[00:25:31] HostOnly | Iter 10 OK | fold: 4 | AUC: 0.854 | TSS: 0.616
[00:25:40] HostOnly | Iter 11 OK | fold: 4 | AUC: 0.859 | TSS: 0.65
[00:25:53] HostOnly | Iter 12 OK | fold: 4 | AUC: 0.847 | TSS: 0.611
[00:26:07] HostOnly | Iter 13 OK | fold: 4 | AUC: 0.86 | TSS: 0.633
[00:26:19] HostOnly | Iter 14 OK | fold: 4 | AUC: 0.856 | TSS: 0.643
[00:26:33] HostOnly | Iter 15 OK | fold: 4 | AUC: 0.842 | TSS: 0.59
[00:26:42] HostOnly | Iter 16 OK | fold: 4 | AUC: 0.864 | TSS: 0.662
[00:27:02] HostOnly | Iter 17 OK | fold: 4 | AUC: 0.854 | TSS: 0.625
[00:27:13] HostOnly | Iter 18 OK | fold: 4 | AUC: 0.854 | TSS: 0.627
[00:27:27] HostOnly | Iter 19 OK | fold: 4 | AUC: 0.863 | TSS: 0.635
[00:27:41] HostOnly | Iter 20 OK | fold: 4 | AUC: 0.853 | TSS: 0.625
[00:27:54] HostOnly | Iter 21 OK | fold: 4 | AUC: 0.861 | TSS: 0.652
[00:28:06] HostOnly | Iter 22 OK | fold: 4 | AUC: 0.843 | TSS: 0.614
[00:28:20] HostOnly | Iter 23 OK | fold: 4 | AUC: 0.854 | TSS: 0.615
[00:28:31] HostOnly | Iter 24 OK | fold: 4 | AUC: 0.857 | TSS: 0.638
[00:28:43] HostOnly | Iter 25 OK | fold: 4 | AUC: 0.86 | TSS: 0.644
[00:28:59] HostOnly | Iter 26 OK | fold: 4 | AUC: 0.858 | TSS: 0.634
[00:29:13] HostOnly | Iter 27 OK | fold: 4 | AUC: 0.865 | TSS: 0.677
[00:29:27] HostOnly | Iter 28 OK | fold: 4 | AUC: 0.863 | TSS: 0.668
[00:29:42] HostOnly | Iter 29 OK | fold: 4 | AUC: 0.855 | TSS: 0.628
[00:29:58] HostOnly | Iter 30 OK | fold: 4 | AUC: 0.856 | TSS: 0.626
[00:30:12] HostOnly | Iter 31 OK | fold: 4 | AUC: 0.862 | TSS: 0.674
[00:30:29] HostOnly | Iter 32 OK | fold: 4 | AUC: 0.852 | TSS: 0.616
[00:30:41] HostOnly | Iter 33 OK | fold: 4 | AUC: 0.856 | TSS: 0.623
[00:30:59] HostOnly | Iter 34 OK | fold: 4 | AUC: 0.862 | TSS: 0.663
[00:31:12] HostOnly | Iter 35 OK | fold: 4 | AUC: 0.846 | TSS: 0.608
[00:31:30] HostOnly | Iter 36 OK | fold: 4 | AUC: 0.862 | TSS: 0.656
[00:31:44] HostOnly | Iter 37 OK | fold: 4 | AUC: 0.863 | TSS: 0.65
[00:31:58] HostOnly | Iter 38 OK | fold: 4 | AUC: 0.864 | TSS: 0.644
[00:32:08] HostOnly | Iter 39 OK | fold: 4 | AUC: 0.863 | TSS: 0.658
[00:32:27] HostOnly | Iter 40 OK | fold: 4 | AUC: 0.849 | TSS: 0.609
