[23:42:03] EnvOnly | Iter 1 OK | fold: 1 | AUC: 0.829 | TSS: 0.585
[23:42:32] EnvOnly | Iter 2 OK | fold: 2 | AUC: 0.856 | TSS: 0.57
[23:42:53] EnvOnly | Iter 3 OK | fold: 3 | AUC: 0.888 | TSS: 0.72
[23:43:15] EnvOnly | Iter 4 OK | fold: 1 | AUC: 0.823 | TSS: 0.557
[23:43:44] EnvOnly | Iter 5 OK | fold: 2 | AUC: 0.856 | TSS: 0.576
[23:44:15] EnvOnly | Iter 6 OK | fold: 3 | AUC: 0.935 | TSS: 0.805
[23:44:42] EnvOnly | Iter 7 OK | fold: 1 | AUC: 0.84 | TSS: 0.56
[23:45:10] EnvOnly | Iter 8 OK | fold: 2 | AUC: 0.872 | TSS: 0.675
[23:45:35] EnvOnly | Iter 9 OK | fold: 3 | AUC: 0.911 | TSS: 0.739
[23:46:03] EnvOnly | Iter 10 OK | fold: 1 | AUC: 0.845 | TSS: 0.563
[23:46:26] EnvOnly | Iter 11 OK | fold: 2 | AUC: 0.847 | TSS: 0.59
[23:46:49] EnvOnly | Iter 12 OK | fold: 3 | AUC: 0.871 | TSS: 0.713
[23:47:15] EnvOnly | Iter 13 OK | fold: 1 | AUC: 0.83 | TSS: 0.569
[23:47:42] EnvOnly | Iter 14 OK | fold: 2 | AUC: 0.85 | TSS: 0.553
[23:48:10] EnvOnly | Iter 15 OK | fold: 3 | AUC: 0.856 | TSS: 0.692
[23:48:39] EnvOnly | Iter 16 OK | fold: 1 | AUC: 0.835 | TSS: 0.521
[23:49:06] EnvOnly | Iter 17 OK | fold: 2 | AUC: 0.866 | TSS: 0.628
[23:49:33] EnvOnly | Iter 18 OK | fold: 3 | AUC: 0.913 | TSS: 0.752
[23:49:58] EnvOnly | Iter 19 OK | fold: 1 | AUC: 0.833 | TSS: 0.584
[23:50:24] EnvOnly | Iter 20 OK | fold: 2 | AUC: 0.859 | TSS: 0.608
[23:50:50] EnvOnly | Iter 21 OK | fold: 3 | AUC: 0.881 | TSS: 0.708
[23:51:20] EnvOnly | Iter 22 OK | fold: 1 | AUC: 0.837 | TSS: 0.584
[23:51:43] EnvOnly | Iter 23 OK | fold: 2 | AUC: 0.841 | TSS: 0.547
[23:52:12] EnvOnly | Iter 24 OK | fold: 3 | AUC: 0.862 | TSS: 0.715
[23:52:45] EnvOnly | Iter 25 OK | fold: 1 | AUC: 0.829 | TSS: 0.567
[23:53:14] EnvOnly | Iter 26 OK | fold: 2 | AUC: 0.848 | TSS: 0.569
[23:53:42] EnvOnly | Iter 27 OK | fold: 3 | AUC: 0.93 | TSS: 0.803
[23:54:04] EnvOnly | Iter 28 OK | fold: 1 | AUC: 0.834 | TSS: 0.616
[23:54:35] EnvOnly | Iter 29 OK | fold: 2 | AUC: 0.85 | TSS: 0.57
[23:55:04] EnvOnly | Iter 30 OK | fold: 3 | AUC: 0.953 | TSS: 0.812
[23:55:31] EnvOnly | Iter 31 OK | fold: 1 | AUC: 0.839 | TSS: 0.542
[23:56:00] EnvOnly | Iter 32 OK | fold: 2 | AUC: 0.814 | TSS: 0.521
[23:56:27] EnvOnly | Iter 33 OK | fold: 3 | AUC: 0.895 | TSS: 0.742
[23:56:54] EnvOnly | Iter 34 OK | fold: 1 | AUC: 0.827 | TSS: 0.536
[23:57:26] EnvOnly | Iter 35 OK | fold: 2 | AUC: 0.864 | TSS: 0.591
[23:57:53] EnvOnly | Iter 36 OK | fold: 3 | AUC: 0.909 | TSS: 0.763
[23:58:22] EnvOnly | Iter 37 OK | fold: 1 | AUC: 0.823 | TSS: 0.561
[23:58:51] EnvOnly | Iter 38 OK | fold: 2 | AUC: 0.865 | TSS: 0.642
[23:59:13] EnvOnly | Iter 39 OK | fold: 3 | AUC: 0.907 | TSS: 0.756
[23:59:41] EnvOnly | Iter 40 OK | fold: 1 | AUC: 0.834 | TSS: 0.557
