[00:41:14] HostOnly | Iter 1 OK | fold: 1 | AUC: 0.82 | TSS: 0.554
[00:41:32] HostOnly | Iter 2 OK | fold: 2 | AUC: 0.869 | TSS: 0.617
[00:41:45] HostOnly | Iter 3 OK | fold: 3 | AUC: 0.828 | TSS: 0.556
[00:41:56] HostOnly | Iter 4 OK | fold: 1 | AUC: 0.838 | TSS: 0.598
[00:42:08] HostOnly | Iter 5 OK | fold: 2 | AUC: 0.864 | TSS: 0.626
[00:42:21] HostOnly | Iter 6 OK | fold: 3 | AUC: 0.867 | TSS: 0.626
[00:42:32] HostOnly | Iter 7 OK | fold: 1 | AUC: 0.848 | TSS: 0.588
[00:42:46] HostOnly | Iter 8 OK | fold: 2 | AUC: 0.868 | TSS: 0.608
[00:42:55] HostOnly | Iter 9 OK | fold: 3 | AUC: 0.854 | TSS: 0.608
[00:43:10] HostOnly | Iter 10 OK | fold: 1 | AUC: 0.841 | TSS: 0.567
[00:43:23] HostOnly | Iter 11 OK | fold: 2 | AUC: 0.865 | TSS: 0.604
[00:43:34] HostOnly | Iter 12 OK | fold: 3 | AUC: 0.859 | TSS: 0.619
[00:43:48] HostOnly | Iter 13 OK | fold: 1 | AUC: 0.841 | TSS: 0.6
[00:44:03] HostOnly | Iter 14 OK | fold: 2 | AUC: 0.863 | TSS: 0.591
[00:44:18] HostOnly | Iter 15 OK | fold: 3 | AUC: 0.824 | TSS: 0.539
[00:44:32] HostOnly | Iter 16 OK | fold: 1 | AUC: 0.832 | TSS: 0.572
[00:44:45] HostOnly | Iter 17 OK | fold: 2 | AUC: 0.868 | TSS: 0.619
[00:44:55] HostOnly | Iter 18 OK | fold: 3 | AUC: 0.843 | TSS: 0.575
[00:45:09] HostOnly | Iter 19 OK | fold: 1 | AUC: 0.837 | TSS: 0.594
[00:45:20] HostOnly | Iter 20 OK | fold: 2 | AUC: 0.863 | TSS: 0.608
[00:45:29] HostOnly | Iter 21 OK | fold: 3 | AUC: 0.871 | TSS: 0.618
[00:45:43] HostOnly | Iter 22 OK | fold: 1 | AUC: 0.836 | TSS: 0.591
[00:45:56] HostOnly | Iter 23 OK | fold: 2 | AUC: 0.855 | TSS: 0.617
[00:46:10] HostOnly | Iter 24 OK | fold: 3 | AUC: 0.855 | TSS: 0.6
[00:46:23] HostOnly | Iter 25 OK | fold: 1 | AUC: 0.835 | TSS: 0.583
[00:46:37] HostOnly | Iter 26 OK | fold: 2 | AUC: 0.863 | TSS: 0.613
[00:46:49] HostOnly | Iter 27 OK | fold: 3 | AUC: 0.867 | TSS: 0.62
[00:46:59] HostOnly | Iter 28 OK | fold: 1 | AUC: 0.843 | TSS: 0.608
[00:47:17] HostOnly | Iter 29 OK | fold: 2 | AUC: 0.861 | TSS: 0.624
[00:47:32] HostOnly | Iter 30 OK | fold: 3 | AUC: 0.861 | TSS: 0.592
[00:47:47] HostOnly | Iter 31 OK | fold: 1 | AUC: 0.839 | TSS: 0.585
[00:48:00] HostOnly | Iter 32 OK | fold: 2 | AUC: 0.849 | TSS: 0.609
[00:48:17] HostOnly | Iter 33 OK | fold: 3 | AUC: 0.841 | TSS: 0.556
[00:48:30] HostOnly | Iter 34 OK | fold: 1 | AUC: 0.83 | TSS: 0.574
[00:48:49] HostOnly | Iter 35 OK | fold: 2 | AUC: 0.86 | TSS: 0.624
[00:49:00] HostOnly | Iter 36 OK | fold: 3 | AUC: 0.874 | TSS: 0.635
[00:49:12] HostOnly | Iter 37 OK | fold: 1 | AUC: 0.834 | TSS: 0.566
[00:49:25] HostOnly | Iter 38 OK | fold: 2 | AUC: 0.864 | TSS: 0.603
[00:49:39] HostOnly | Iter 39 OK | fold: 3 | AUC: 0.873 | TSS: 0.633
[00:49:52] HostOnly | Iter 40 OK | fold: 1 | AUC: 0.833 | TSS: 0.581
