[00:55:28] HostOnly | Iter 1 OK | fold: 1 | AUC: 0.763 | TSS: 0.417
[00:55:45] HostOnly | Iter 2 OK | fold: 2 | AUC: 0.847 | TSS: 0.57
[00:56:04] HostOnly | Iter 3 OK | fold: 3 | AUC: 0.701 | TSS: 0.32
[00:56:26] HostOnly | Iter 4 OK | fold: 4 | AUC: 0.842 | TSS: 0.576
[00:56:47] HostOnly | Iter 5 OK | fold: 1 | AUC: 0.762 | TSS: 0.413
[00:57:08] HostOnly | Iter 6 OK | fold: 2 | AUC: 0.85 | TSS: 0.578
[00:57:24] HostOnly | Iter 7 OK | fold: 3 | AUC: 0.701 | TSS: 0.32
[00:57:48] HostOnly | Iter 8 OK | fold: 4 | AUC: 0.84 | TSS: 0.576
[00:58:11] HostOnly | Iter 9 OK | fold: 1 | AUC: 0.757 | TSS: 0.401
[00:58:34] HostOnly | Iter 10 OK | fold: 2 | AUC: 0.85 | TSS: 0.577
[00:58:52] HostOnly | Iter 11 OK | fold: 3 | AUC: 0.701 | TSS: 0.322
[00:59:18] HostOnly | Iter 12 OK | fold: 4 | AUC: 0.833 | TSS: 0.568
[00:59:40] HostOnly | Iter 13 OK | fold: 1 | AUC: 0.763 | TSS: 0.422
[01:00:03] HostOnly | Iter 14 OK | fold: 2 | AUC: 0.845 | TSS: 0.561
[01:00:21] HostOnly | Iter 15 OK | fold: 3 | AUC: 0.7 | TSS: 0.321
[01:00:40] HostOnly | Iter 16 OK | fold: 4 | AUC: 0.83 | TSS: 0.562
[01:00:59] HostOnly | Iter 17 OK | fold: 1 | AUC: 0.762 | TSS: 0.412
[01:01:13] HostOnly | Iter 18 OK | fold: 2 | AUC: 0.85 | TSS: 0.57
[01:01:29] HostOnly | Iter 19 OK | fold: 3 | AUC: 0.703 | TSS: 0.322
[01:01:44] HostOnly | Iter 20 OK | fold: 4 | AUC: 0.839 | TSS: 0.567
[01:02:04] HostOnly | Iter 21 OK | fold: 1 | AUC: 0.752 | TSS: 0.393
[01:02:16] HostOnly | Iter 22 OK | fold: 2 | AUC: 0.839 | TSS: 0.549
[01:02:31] HostOnly | Iter 23 OK | fold: 3 | AUC: 0.702 | TSS: 0.319
[01:02:47] HostOnly | Iter 24 OK | fold: 4 | AUC: 0.84 | TSS: 0.574
[01:03:05] HostOnly | Iter 25 OK | fold: 1 | AUC: 0.762 | TSS: 0.418
[01:03:16] HostOnly | Iter 26 OK | fold: 2 | AUC: 0.855 | TSS: 0.588
[01:03:31] HostOnly | Iter 27 OK | fold: 3 | AUC: 0.7 | TSS: 0.324
[01:03:47] HostOnly | Iter 28 OK | fold: 4 | AUC: 0.838 | TSS: 0.568
[01:04:03] HostOnly | Iter 29 OK | fold: 1 | AUC: 0.763 | TSS: 0.416
[01:04:14] HostOnly | Iter 30 OK | fold: 2 | AUC: 0.854 | TSS: 0.583
[01:04:30] HostOnly | Iter 31 OK | fold: 3 | AUC: 0.702 | TSS: 0.326
[01:04:45] HostOnly | Iter 32 OK | fold: 4 | AUC: 0.836 | TSS: 0.573
[01:05:02] HostOnly | Iter 33 OK | fold: 1 | AUC: 0.759 | TSS: 0.408
[01:05:13] HostOnly | Iter 34 OK | fold: 2 | AUC: 0.851 | TSS: 0.581
[01:05:26] HostOnly | Iter 35 OK | fold: 3 | AUC: 0.703 | TSS: 0.323
[01:05:41] HostOnly | Iter 36 OK | fold: 4 | AUC: 0.836 | TSS: 0.569
[01:05:56] HostOnly | Iter 37 OK | fold: 1 | AUC: 0.759 | TSS: 0.411
[01:06:07] HostOnly | Iter 38 OK | fold: 2 | AUC: 0.848 | TSS: 0.57
[01:06:20] HostOnly | Iter 39 OK | fold: 3 | AUC: 0.703 | TSS: 0.324
[01:06:36] HostOnly | Iter 40 OK | fold: 4 | AUC: 0.845 | TSS: 0.581
