[01:21:31] Combined | Iter 1 OK | fold: 2 | AUC: 0.924 | TSS: 0.817
[01:21:56] Combined | Iter 2 OK | fold: 3 | AUC: 0.898 | TSS: 0.745
[01:22:16] Combined | Iter 3 OK | fold: 2 | AUC: 0.962 | TSS: 0.881
[01:22:37] Combined | Iter 4 OK | fold: 3 | AUC: 0.867 | TSS: 0.667
[01:23:06] Combined | Iter 5 OK | fold: 2 | AUC: 0.946 | TSS: 0.849
[01:23:31] Combined | Iter 6 OK | fold: 3 | AUC: 0.876 | TSS: 0.69
[01:23:53] Combined | Iter 7 OK | fold: 2 | AUC: 0.953 | TSS: 0.862
[01:24:15] Combined | Iter 8 OK | fold: 3 | AUC: 0.883 | TSS: 0.695
[01:24:37] Combined | Iter 9 OK | fold: 2 | AUC: 0.95 | TSS: 0.868
[01:25:06] Combined | Iter 10 OK | fold: 3 | AUC: 0.884 | TSS: 0.659
[01:25:28] Combined | Iter 11 OK | fold: 2 | AUC: 0.937 | TSS: 0.857
[01:25:52] Combined | Iter 12 OK | fold: 3 | AUC: 0.895 | TSS: 0.763
[01:26:17] Combined | Iter 13 OK | fold: 2 | AUC: 0.947 | TSS: 0.868
[01:26:44] Combined | Iter 14 OK | fold: 3 | AUC: 0.851 | TSS: 0.629
[01:27:04] Combined | Iter 15 OK | fold: 2 | AUC: 0.937 | TSS: 0.838
[01:27:31] Combined | Iter 16 OK | fold: 3 | AUC: 0.863 | TSS: 0.688
[01:27:52] Combined | Iter 17 OK | fold: 2 | AUC: 0.949 | TSS: 0.913
[01:28:16] Combined | Iter 18 OK | fold: 3 | AUC: 0.881 | TSS: 0.728
[01:28:39] Combined | Iter 19 OK | fold: 2 | AUC: 0.945 | TSS: 0.848
[01:29:03] Combined | Iter 20 OK | fold: 3 | AUC: 0.871 | TSS: 0.683
[01:29:30] Combined | Iter 21 OK | fold: 2 | AUC: 0.949 | TSS: 0.854
[01:30:00] Combined | Iter 22 OK | fold: 3 | AUC: 0.884 | TSS: 0.666
[01:30:27] Combined | Iter 23 OK | fold: 2 | AUC: 0.902 | TSS: 0.743
[01:30:50] Combined | Iter 24 OK | fold: 3 | AUC: 0.885 | TSS: 0.682
[01:31:16] Combined | Iter 25 OK | fold: 2 | AUC: 0.939 | TSS: 0.844
[01:31:39] Combined | Iter 26 OK | fold: 3 | AUC: 0.876 | TSS: 0.7
[01:31:58] Combined | Iter 27 OK | fold: 2 | AUC: 0.927 | TSS: 0.85
[01:32:20] Combined | Iter 28 OK | fold: 3 | AUC: 0.873 | TSS: 0.636
[01:32:45] Combined | Iter 29 OK | fold: 2 | AUC: 0.913 | TSS: 0.785
[01:33:06] Combined | Iter 30 OK | fold: 3 | AUC: 0.891 | TSS: 0.728
[01:33:26] Combined | Iter 31 OK | fold: 2 | AUC: 0.939 | TSS: 0.872
[01:33:45] Combined | Iter 32 OK | fold: 3 | AUC: 0.882 | TSS: 0.668
[01:34:11] Combined | Iter 33 OK | fold: 2 | AUC: 0.937 | TSS: 0.874
[01:34:36] Combined | Iter 34 OK | fold: 3 | AUC: 0.875 | TSS: 0.738
[01:34:56] Combined | Iter 35 OK | fold: 2 | AUC: 0.942 | TSS: 0.893
[01:35:16] Combined | Iter 36 OK | fold: 3 | AUC: 0.879 | TSS: 0.696
[01:35:40] Combined | Iter 37 OK | fold: 2 | AUC: 0.933 | TSS: 0.816
[01:36:01] Combined | Iter 38 OK | fold: 3 | AUC: 0.899 | TSS: 0.711
[01:36:18] Combined | Iter 39 OK | fold: 2 | AUC: 0.928 | TSS: 0.789
[01:36:40] Combined | Iter 40 OK | fold: 3 | AUC: 0.857 | TSS: 0.726
