[23:21:33] EnvOnly | Iter 1 OK | fold: 2 | AUC: 0.896 | TSS: 0.76
[23:21:54] EnvOnly | Iter 2 OK | fold: 3 | AUC: 0.909 | TSS: 0.723
[23:22:12] EnvOnly | Iter 3 OK | fold: 2 | AUC: 0.943 | TSS: 0.806
[23:22:31] EnvOnly | Iter 4 OK | fold: 3 | AUC: 0.901 | TSS: 0.783
[23:22:54] EnvOnly | Iter 5 OK | fold: 2 | AUC: 0.92 | TSS: 0.81
[23:23:13] EnvOnly | Iter 6 OK | fold: 3 | AUC: 0.885 | TSS: 0.689
[23:23:28] EnvOnly | Iter 7 OK | fold: 2 | AUC: 0.962 | TSS: 0.908
[23:23:51] EnvOnly | Iter 8 OK | fold: 3 | AUC: 0.897 | TSS: 0.689
[23:24:11] EnvOnly | Iter 9 OK | fold: 2 | AUC: 0.94 | TSS: 0.855
[23:24:29] EnvOnly | Iter 10 OK | fold: 3 | AUC: 0.895 | TSS: 0.718
[23:24:52] EnvOnly | Iter 11 OK | fold: 2 | AUC: 0.924 | TSS: 0.808
[23:25:11] EnvOnly | Iter 12 OK | fold: 3 | AUC: 0.892 | TSS: 0.694
[23:25:33] EnvOnly | Iter 13 OK | fold: 2 | AUC: 0.928 | TSS: 0.787
[23:25:54] EnvOnly | Iter 14 OK | fold: 3 | AUC: 0.861 | TSS: 0.706
[23:26:14] EnvOnly | Iter 15 OK | fold: 2 | AUC: 0.922 | TSS: 0.828
[23:26:37] EnvOnly | Iter 16 OK | fold: 3 | AUC: 0.845 | TSS: 0.656
[23:26:54] EnvOnly | Iter 17 OK | fold: 2 | AUC: 0.951 | TSS: 0.908
[23:27:17] EnvOnly | Iter 18 OK | fold: 3 | AUC: 0.878 | TSS: 0.704
[23:27:34] EnvOnly | Iter 19 OK | fold: 2 | AUC: 0.906 | TSS: 0.764
[23:27:52] EnvOnly | Iter 20 OK | fold: 3 | AUC: 0.899 | TSS: 0.685
[23:28:12] EnvOnly | Iter 21 OK | fold: 2 | AUC: 0.934 | TSS: 0.845
[23:28:27] EnvOnly | Iter 22 OK | fold: 3 | AUC: 0.895 | TSS: 0.689
[23:28:47] EnvOnly | Iter 23 OK | fold: 2 | AUC: 0.883 | TSS: 0.724
[23:29:05] EnvOnly | Iter 24 OK | fold: 3 | AUC: 0.912 | TSS: 0.753
[23:29:19] EnvOnly | Iter 25 OK | fold: 2 | AUC: 0.905 | TSS: 0.749
[23:29:39] EnvOnly | Iter 26 OK | fold: 3 | AUC: 0.91 | TSS: 0.767
[23:30:00] EnvOnly | Iter 27 OK | fold: 2 | AUC: 0.902 | TSS: 0.768
[23:30:21] EnvOnly | Iter 28 OK | fold: 3 | AUC: 0.871 | TSS: 0.662
[23:30:35] EnvOnly | Iter 29 OK | fold: 2 | AUC: 0.894 | TSS: 0.758
[23:30:54] EnvOnly | Iter 30 OK | fold: 3 | AUC: 0.906 | TSS: 0.722
[23:31:17] EnvOnly | Iter 31 OK | fold: 2 | AUC: 0.897 | TSS: 0.823
[23:31:34] EnvOnly | Iter 32 OK | fold: 3 | AUC: 0.894 | TSS: 0.684
[23:31:50] EnvOnly | Iter 33 OK | fold: 2 | AUC: 0.925 | TSS: 0.773
[23:32:07] EnvOnly | Iter 34 OK | fold: 3 | AUC: 0.914 | TSS: 0.759
[23:32:23] EnvOnly | Iter 35 OK | fold: 2 | AUC: 0.924 | TSS: 0.834
[23:32:40] EnvOnly | Iter 36 OK | fold: 3 | AUC: 0.916 | TSS: 0.794
[23:32:55] EnvOnly | Iter 37 OK | fold: 2 | AUC: 0.905 | TSS: 0.745
[23:33:11] EnvOnly | Iter 38 OK | fold: 3 | AUC: 0.913 | TSS: 0.767
[23:33:24] EnvOnly | Iter 39 OK | fold: 2 | AUC: 0.881 | TSS: 0.714
[23:33:41] EnvOnly | Iter 40 OK | fold: 3 | AUC: 0.901 | TSS: 0.731
