[00:24:51] HostOnly | Iter 1 OK | fold: 2 | AUC: 0.65 | TSS: 0.363
[00:25:04] HostOnly | Iter 2 OK | fold: 3 | AUC: 0.626 | TSS: 0.413
[00:25:16] HostOnly | Iter 3 OK | fold: 2 | AUC: 0.67 | TSS: 0.478
[00:25:32] HostOnly | Iter 4 OK | fold: 3 | AUC: 0.481 | TSS: 0.155
[00:25:46] HostOnly | Iter 5 OK | fold: 2 | AUC: 0.653 | TSS: 0.511
[00:26:02] HostOnly | Iter 6 OK | fold: 3 | AUC: 0.441 | TSS: 0.147
[00:26:12] HostOnly | Iter 7 OK | fold: 2 | AUC: 0.657 | TSS: 0.492
[00:26:25] HostOnly | Iter 8 OK | fold: 3 | AUC: 0.504 | TSS: 0.196
[00:26:37] HostOnly | Iter 9 OK | fold: 2 | AUC: 0.666 | TSS: 0.461
[00:26:51] HostOnly | Iter 10 OK | fold: 3 | AUC: 0.625 | TSS: 0.421
[00:27:08] HostOnly | Iter 11 OK | fold: 2 | AUC: 0.653 | TSS: 0.509
[00:27:20] HostOnly | Iter 12 OK | fold: 3 | AUC: 0.444 | TSS: 0.145
[00:27:35] HostOnly | Iter 13 OK | fold: 2 | AUC: 0.663 | TSS: 0.483
[00:27:50] HostOnly | Iter 14 OK | fold: 3 | AUC: 0.49 | TSS: 0.173
[00:28:08] HostOnly | Iter 15 OK | fold: 2 | AUC: 0.635 | TSS: 0.496
[00:28:21] HostOnly | Iter 16 OK | fold: 3 | AUC: 0.475 | TSS: 0.157
[00:28:36] HostOnly | Iter 17 OK | fold: 2 | AUC: 0.645 | TSS: 0.476
[00:28:48] HostOnly | Iter 18 OK | fold: 3 | AUC: 0.484 | TSS: 0.163
[00:29:04] HostOnly | Iter 19 OK | fold: 2 | AUC: 0.671 | TSS: 0.469
[00:29:20] HostOnly | Iter 20 OK | fold: 3 | AUC: 0.45 | TSS: 0.151
[00:29:37] HostOnly | Iter 21 OK | fold: 2 | AUC: 0.631 | TSS: 0.501
[00:29:50] HostOnly | Iter 22 OK | fold: 3 | AUC: 0.59 | TSS: 0.412
[00:30:05] HostOnly | Iter 23 OK | fold: 2 | AUC: 0.616 | TSS: 0.244
[00:30:17] HostOnly | Iter 24 OK | fold: 3 | AUC: 0.596 | TSS: 0.423
[00:30:33] HostOnly | Iter 25 OK | fold: 2 | AUC: 0.659 | TSS: 0.509
[00:30:47] HostOnly | Iter 26 OK | fold: 3 | AUC: 0.485 | TSS: 0.159
[00:31:03] HostOnly | Iter 27 OK | fold: 2 | AUC: 0.638 | TSS: 0.456
[00:31:15] HostOnly | Iter 28 OK | fold: 3 | AUC: 0.645 | TSS: 0.443
[00:31:31] HostOnly | Iter 29 OK | fold: 2 | AUC: 0.645 | TSS: 0.344
[00:31:42] HostOnly | Iter 30 OK | fold: 3 | AUC: 0.535 | TSS: 0.175
[00:32:00] HostOnly | Iter 31 OK | fold: 2 | AUC: 0.657 | TSS: 0.426
[00:32:11] HostOnly | Iter 32 OK | fold: 3 | AUC: 0.628 | TSS: 0.413
[00:32:27] HostOnly | Iter 33 OK | fold: 2 | AUC: 0.663 | TSS: 0.512
[00:32:39] HostOnly | Iter 34 OK | fold: 3 | AUC: 0.507 | TSS: 0.166
[00:32:56] HostOnly | Iter 35 OK | fold: 2 | AUC: 0.648 | TSS: 0.493
[00:33:13] HostOnly | Iter 36 OK | fold: 3 | AUC: 0.608 | TSS: 0.438
[00:33:28] HostOnly | Iter 37 OK | fold: 2 | AUC: 0.702 | TSS: 0.441
[00:33:41] HostOnly | Iter 38 OK | fold: 3 | AUC: 0.624 | TSS: 0.415
[00:33:55] HostOnly | Iter 39 OK | fold: 2 | AUC: 0.68 | TSS: 0.515
[00:34:08] HostOnly | Iter 40 OK | fold: 3 | AUC: 0.43 | TSS: 0.147
