[01:50:57] Combined | Iter 1 OK | fold: 1 | AUC: 0.699 | TSS: 0.337
[01:51:30] Combined | Iter 2 OK | fold: 2 | AUC: 0.801 | TSS: 0.529
[01:52:09] Combined | Iter 3 OK | fold: 3 | AUC: 0.895 | TSS: 0.679
[01:52:41] Combined | Iter 4 OK | fold: 4 | AUC: 0.852 | TSS: 0.691
[01:53:11] Combined | Iter 5 OK | fold: 1 | AUC: 0.698 | TSS: 0.331
[01:53:43] Combined | Iter 6 OK | fold: 2 | AUC: 0.837 | TSS: 0.564
[01:54:19] Combined | Iter 7 OK | fold: 3 | AUC: 0.873 | TSS: 0.636
[01:54:51] Combined | Iter 8 OK | fold: 4 | AUC: 0.847 | TSS: 0.623
[01:55:25] Combined | Iter 9 OK | fold: 1 | AUC: 0.701 | TSS: 0.366
[01:56:03] Combined | Iter 10 OK | fold: 2 | AUC: 0.847 | TSS: 0.608
[01:56:37] Combined | Iter 11 OK | fold: 3 | AUC: 0.868 | TSS: 0.652
[01:57:09] Combined | Iter 12 OK | fold: 4 | AUC: 0.838 | TSS: 0.647
[01:57:46] Combined | Iter 13 OK | fold: 1 | AUC: 0.696 | TSS: 0.336
[01:58:17] Combined | Iter 14 OK | fold: 2 | AUC: 0.844 | TSS: 0.611
[01:58:48] Combined | Iter 15 OK | fold: 3 | AUC: 0.871 | TSS: 0.62
[01:59:18] Combined | Iter 16 OK | fold: 4 | AUC: 0.835 | TSS: 0.645
[01:59:49] Combined | Iter 17 OK | fold: 1 | AUC: 0.698 | TSS: 0.336
[02:00:22] Combined | Iter 18 OK | fold: 2 | AUC: 0.873 | TSS: 0.655
[02:00:56] Combined | Iter 19 OK | fold: 3 | AUC: 0.866 | TSS: 0.637
[02:01:25] Combined | Iter 20 OK | fold: 4 | AUC: 0.872 | TSS: 0.645
[02:01:55] Combined | Iter 21 OK | fold: 1 | AUC: 0.69 | TSS: 0.343
[02:02:27] Combined | Iter 22 OK | fold: 2 | AUC: 0.883 | TSS: 0.676
[02:03:01] Combined | Iter 23 OK | fold: 3 | AUC: 0.879 | TSS: 0.666
[02:03:31] Combined | Iter 24 OK | fold: 4 | AUC: 0.841 | TSS: 0.605
[02:04:04] Combined | Iter 25 OK | fold: 1 | AUC: 0.69 | TSS: 0.344
[02:04:32] Combined | Iter 26 OK | fold: 2 | AUC: 0.862 | TSS: 0.603
[02:05:08] Combined | Iter 27 OK | fold: 3 | AUC: 0.867 | TSS: 0.594
[02:05:34] Combined | Iter 28 OK | fold: 4 | AUC: 0.828 | TSS: 0.634
[02:06:00] Combined | Iter 29 OK | fold: 1 | AUC: 0.659 | TSS: 0.268
[02:06:24] Combined | Iter 30 OK | fold: 2 | AUC: 0.807 | TSS: 0.507
[02:06:52] Combined | Iter 31 OK | fold: 3 | AUC: 0.875 | TSS: 0.676
[02:07:18] Combined | Iter 32 OK | fold: 4 | AUC: 0.851 | TSS: 0.606
[02:07:40] Combined | Iter 33 OK | fold: 1 | AUC: 0.664 | TSS: 0.283
[02:08:09] Combined | Iter 34 OK | fold: 2 | AUC: 0.873 | TSS: 0.648
[02:08:40] Combined | Iter 35 OK | fold: 3 | AUC: 0.878 | TSS: 0.695
[02:09:03] Combined | Iter 36 OK | fold: 4 | AUC: 0.864 | TSS: 0.639
[02:09:25] Combined | Iter 37 OK | fold: 1 | AUC: 0.686 | TSS: 0.305
[02:09:46] Combined | Iter 38 OK | fold: 2 | AUC: 0.892 | TSS: 0.674
[02:10:14] Combined | Iter 39 OK | fold: 3 | AUC: 0.882 | TSS: 0.661
[02:10:38] Combined | Iter 40 OK | fold: 4 | AUC: 0.822 | TSS: 0.595
