[23:43:50] EnvOnly | Iter 1 OK | fold: 1 | AUC: 0.652 | TSS: 0.268
[23:44:19] EnvOnly | Iter 2 OK | fold: 2 | AUC: 0.799 | TSS: 0.541
[23:44:47] EnvOnly | Iter 3 OK | fold: 3 | AUC: 0.874 | TSS: 0.623
[23:45:10] EnvOnly | Iter 4 OK | fold: 4 | AUC: 0.869 | TSS: 0.666
[23:45:40] EnvOnly | Iter 5 OK | fold: 1 | AUC: 0.638 | TSS: 0.266
[23:46:06] EnvOnly | Iter 6 OK | fold: 2 | AUC: 0.846 | TSS: 0.605
[23:46:38] EnvOnly | Iter 7 OK | fold: 3 | AUC: 0.858 | TSS: 0.639
[23:47:04] EnvOnly | Iter 8 OK | fold: 4 | AUC: 0.868 | TSS: 0.608
[23:47:31] EnvOnly | Iter 9 OK | fold: 1 | AUC: 0.643 | TSS: 0.31
[23:47:57] EnvOnly | Iter 10 OK | fold: 2 | AUC: 0.844 | TSS: 0.609
[23:48:28] EnvOnly | Iter 11 OK | fold: 3 | AUC: 0.854 | TSS: 0.622
[23:49:03] EnvOnly | Iter 12 OK | fold: 4 | AUC: 0.849 | TSS: 0.617
[23:49:35] EnvOnly | Iter 13 OK | fold: 1 | AUC: 0.652 | TSS: 0.307
[23:49:59] EnvOnly | Iter 14 OK | fold: 2 | AUC: 0.842 | TSS: 0.611
[23:50:28] EnvOnly | Iter 15 OK | fold: 3 | AUC: 0.863 | TSS: 0.607
[23:51:02] EnvOnly | Iter 16 OK | fold: 4 | AUC: 0.849 | TSS: 0.626
[23:51:36] EnvOnly | Iter 17 OK | fold: 1 | AUC: 0.62 | TSS: 0.261
[23:52:05] EnvOnly | Iter 18 OK | fold: 2 | AUC: 0.871 | TSS: 0.666
[23:52:33] EnvOnly | Iter 19 OK | fold: 3 | AUC: 0.849 | TSS: 0.632
[23:53:04] EnvOnly | Iter 20 OK | fold: 4 | AUC: 0.886 | TSS: 0.668
[23:53:30] EnvOnly | Iter 21 OK | fold: 1 | AUC: 0.638 | TSS: 0.284
[23:54:03] EnvOnly | Iter 22 OK | fold: 2 | AUC: 0.871 | TSS: 0.624
[23:54:34] EnvOnly | Iter 23 OK | fold: 3 | AUC: 0.866 | TSS: 0.637
[23:55:02] EnvOnly | Iter 24 OK | fold: 4 | AUC: 0.862 | TSS: 0.62
[23:55:34] EnvOnly | Iter 25 OK | fold: 1 | AUC: 0.62 | TSS: 0.274
[23:56:00] EnvOnly | Iter 26 OK | fold: 2 | AUC: 0.869 | TSS: 0.656
[23:56:31] EnvOnly | Iter 27 OK | fold: 3 | AUC: 0.855 | TSS: 0.601
[23:57:02] EnvOnly | Iter 28 OK | fold: 4 | AUC: 0.875 | TSS: 0.649
[23:57:29] EnvOnly | Iter 29 OK | fold: 1 | AUC: 0.636 | TSS: 0.299
[23:57:53] EnvOnly | Iter 30 OK | fold: 2 | AUC: 0.795 | TSS: 0.518
[23:58:24] EnvOnly | Iter 31 OK | fold: 3 | AUC: 0.866 | TSS: 0.649
[23:58:52] EnvOnly | Iter 32 OK | fold: 4 | AUC: 0.882 | TSS: 0.673
[23:59:21] EnvOnly | Iter 33 OK | fold: 1 | AUC: 0.628 | TSS: 0.29
[23:59:45] EnvOnly | Iter 34 OK | fold: 2 | AUC: 0.875 | TSS: 0.682
[00:00:16] EnvOnly | Iter 35 OK | fold: 3 | AUC: 0.864 | TSS: 0.659
[00:00:40] EnvOnly | Iter 36 OK | fold: 4 | AUC: 0.883 | TSS: 0.669
[00:01:03] EnvOnly | Iter 37 OK | fold: 1 | AUC: 0.65 | TSS: 0.305
[00:01:27] EnvOnly | Iter 38 OK | fold: 2 | AUC: 0.889 | TSS: 0.679
[00:01:57] EnvOnly | Iter 39 OK | fold: 3 | AUC: 0.866 | TSS: 0.674
[00:02:24] EnvOnly | Iter 40 OK | fold: 4 | AUC: 0.868 | TSS: 0.623
