[00:44:20] HostOnly | Iter 1 OK | fold: 1 | AUC: 0.562 | TSS: 0.181
[00:44:38] HostOnly | Iter 2 OK | fold: 2 | AUC: 0.799 | TSS: 0.537
[00:44:53] HostOnly | Iter 3 OK | fold: 3 | AUC: 0.76 | TSS: 0.468
[00:45:11] HostOnly | Iter 4 OK | fold: 4 | AUC: 0.902 | TSS: 0.716
[00:45:26] HostOnly | Iter 5 OK | fold: 1 | AUC: 0.571 | TSS: 0.175
[00:45:42] HostOnly | Iter 6 OK | fold: 2 | AUC: 0.792 | TSS: 0.497
[00:45:57] HostOnly | Iter 7 OK | fold: 3 | AUC: 0.743 | TSS: 0.446
[00:46:14] HostOnly | Iter 8 OK | fold: 4 | AUC: 0.896 | TSS: 0.712
[00:46:28] HostOnly | Iter 9 OK | fold: 1 | AUC: 0.561 | TSS: 0.174
[00:46:44] HostOnly | Iter 10 OK | fold: 2 | AUC: 0.803 | TSS: 0.563
[00:46:56] HostOnly | Iter 11 OK | fold: 3 | AUC: 0.754 | TSS: 0.45
[00:47:14] HostOnly | Iter 12 OK | fold: 4 | AUC: 0.918 | TSS: 0.731
[00:47:26] HostOnly | Iter 13 OK | fold: 1 | AUC: 0.572 | TSS: 0.155
[00:47:39] HostOnly | Iter 14 OK | fold: 2 | AUC: 0.84 | TSS: 0.639
[00:47:51] HostOnly | Iter 15 OK | fold: 3 | AUC: 0.743 | TSS: 0.434
[00:48:10] HostOnly | Iter 16 OK | fold: 4 | AUC: 0.919 | TSS: 0.722
[00:48:31] HostOnly | Iter 17 OK | fold: 1 | AUC: 0.596 | TSS: 0.178
[00:48:50] HostOnly | Iter 18 OK | fold: 2 | AUC: 0.844 | TSS: 0.666
[00:49:05] HostOnly | Iter 19 OK | fold: 3 | AUC: 0.754 | TSS: 0.455
[00:49:21] HostOnly | Iter 20 OK | fold: 4 | AUC: 0.935 | TSS: 0.748
[00:49:40] HostOnly | Iter 21 OK | fold: 1 | AUC: 0.583 | TSS: 0.182
[00:49:55] HostOnly | Iter 22 OK | fold: 2 | AUC: 0.858 | TSS: 0.713
[00:50:16] HostOnly | Iter 23 OK | fold: 3 | AUC: 0.758 | TSS: 0.468
[00:50:31] HostOnly | Iter 24 OK | fold: 4 | AUC: 0.917 | TSS: 0.705
[00:50:47] HostOnly | Iter 25 OK | fold: 1 | AUC: 0.584 | TSS: 0.186
[00:51:05] HostOnly | Iter 26 OK | fold: 2 | AUC: 0.839 | TSS: 0.581
[00:51:20] HostOnly | Iter 27 OK | fold: 3 | AUC: 0.757 | TSS: 0.469
[00:51:38] HostOnly | Iter 28 OK | fold: 4 | AUC: 0.917 | TSS: 0.727
[00:51:53] HostOnly | Iter 29 OK | fold: 1 | AUC: 0.551 | TSS: 0.144
[00:52:11] HostOnly | Iter 30 OK | fold: 2 | AUC: 0.828 | TSS: 0.621
[00:52:28] HostOnly | Iter 31 OK | fold: 3 | AUC: 0.755 | TSS: 0.449
[00:52:47] HostOnly | Iter 32 OK | fold: 4 | AUC: 0.91 | TSS: 0.675
[00:53:02] HostOnly | Iter 33 OK | fold: 1 | AUC: 0.551 | TSS: 0.145
[00:53:15] HostOnly | Iter 34 OK | fold: 2 | AUC: 0.818 | TSS: 0.586
[00:53:35] HostOnly | Iter 35 OK | fold: 3 | AUC: 0.747 | TSS: 0.432
[00:53:48] HostOnly | Iter 36 OK | fold: 4 | AUC: 0.934 | TSS: 0.761
[00:54:06] HostOnly | Iter 37 OK | fold: 1 | AUC: 0.575 | TSS: 0.179
[00:54:16] HostOnly | Iter 38 OK | fold: 2 | AUC: 0.834 | TSS: 0.595
[00:54:32] HostOnly | Iter 39 OK | fold: 3 | AUC: 0.755 | TSS: 0.436
[00:54:49] HostOnly | Iter 40 OK | fold: 4 | AUC: 0.882 | TSS: 0.7
