[01:16:16] Combined | Iter 1 OK | fold: 1 | AUC: 0.806 | TSS: 0.556
[01:16:39] Combined | Iter 2 OK | fold: 4 | AUC: 0.887 | TSS: 0.786
[01:17:01] Combined | Iter 3 OK | fold: 1 | AUC: 0.755 | TSS: 0.5
[01:17:19] Combined | Iter 4 OK | fold: 4 | AUC: 0.876 | TSS: 0.75
[01:17:44] Combined | Iter 5 OK | fold: 1 | AUC: 0.701 | TSS: 0.413
[01:18:06] Combined | Iter 6 OK | fold: 4 | AUC: 0.839 | TSS: 0.708
[01:18:25] Combined | Iter 7 OK | fold: 1 | AUC: 0.748 | TSS: 0.516
[01:18:47] Combined | Iter 8 OK | fold: 4 | AUC: 0.812 | TSS: 0.694
[01:19:10] Combined | Iter 9 OK | fold: 1 | AUC: 0.768 | TSS: 0.444
[01:19:35] Combined | Iter 10 OK | fold: 4 | AUC: 0.886 | TSS: 0.764
[01:19:57] Combined | Iter 11 OK | fold: 1 | AUC: 0.774 | TSS: 0.484
[01:20:24] Combined | Iter 12 OK | fold: 4 | AUC: 0.824 | TSS: 0.676
[01:20:45] Combined | Iter 13 OK | fold: 1 | AUC: 0.762 | TSS: 0.409
[01:21:08] Combined | Iter 14 OK | fold: 4 | AUC: 0.851 | TSS: 0.741
[01:21:31] Combined | Iter 15 OK | fold: 1 | AUC: 0.772 | TSS: 0.528
[01:21:52] Combined | Iter 16 OK | fold: 4 | AUC: 0.859 | TSS: 0.748
[01:22:14] Combined | Iter 17 OK | fold: 1 | AUC: 0.761 | TSS: 0.413
[01:22:36] Combined | Iter 18 OK | fold: 4 | AUC: 0.849 | TSS: 0.732
[01:22:59] Combined | Iter 19 OK | fold: 1 | AUC: 0.753 | TSS: 0.484
[01:23:18] Combined | Iter 20 OK | fold: 4 | AUC: 0.831 | TSS: 0.702
[01:23:40] Combined | Iter 21 OK | fold: 1 | AUC: 0.722 | TSS: 0.46
[01:24:04] Combined | Iter 22 OK | fold: 4 | AUC: 0.903 | TSS: 0.787
[01:24:27] Combined | Iter 23 OK | fold: 1 | AUC: 0.788 | TSS: 0.48
[01:24:49] Combined | Iter 24 OK | fold: 4 | AUC: 0.874 | TSS: 0.743
[01:25:15] Combined | Iter 25 OK | fold: 1 | AUC: 0.737 | TSS: 0.528
[01:25:37] Combined | Iter 26 OK | fold: 4 | AUC: 0.804 | TSS: 0.661
[01:26:00] Combined | Iter 27 OK | fold: 1 | AUC: 0.734 | TSS: 0.472
[01:26:24] Combined | Iter 28 OK | fold: 4 | AUC: 0.891 | TSS: 0.832
[01:26:41] Combined | Iter 29 OK | fold: 1 | AUC: 0.807 | TSS: 0.508
[01:27:03] Combined | Iter 30 OK | fold: 4 | AUC: 0.882 | TSS: 0.784
[01:27:24] Combined | Iter 31 OK | fold: 1 | AUC: 0.756 | TSS: 0.5
[01:27:46] Combined | Iter 32 OK | fold: 4 | AUC: 0.852 | TSS: 0.733
[01:28:10] Combined | Iter 33 OK | fold: 1 | AUC: 0.714 | TSS: 0.433
[01:28:33] Combined | Iter 34 OK | fold: 4 | AUC: 0.852 | TSS: 0.716
[01:28:53] Combined | Iter 35 OK | fold: 1 | AUC: 0.738 | TSS: 0.488
[01:29:18] Combined | Iter 36 OK | fold: 4 | AUC: 0.87 | TSS: 0.745
[01:29:41] Combined | Iter 37 OK | fold: 1 | AUC: 0.7 | TSS: 0.437
[01:30:00] Combined | Iter 38 OK | fold: 4 | AUC: 0.859 | TSS: 0.757
[01:30:21] Combined | Iter 39 OK | fold: 1 | AUC: 0.698 | TSS: 0.48
[01:30:47] Combined | Iter 40 OK | fold: 4 | AUC: 0.837 | TSS: 0.695
