[00:23:15] HostOnly | Iter 1 OK | fold: 1 | AUC: 0.369 | TSS: 0.052
[00:23:26] HostOnly | Iter 2 OK | fold: 4 | AUC: 0.621 | TSS: 0.413
[00:23:38] HostOnly | Iter 3 OK | fold: 1 | AUC: 0.49 | TSS: 0.262
[00:23:48] HostOnly | Iter 4 OK | fold: 4 | AUC: 0.719 | TSS: 0.515
[00:24:02] HostOnly | Iter 5 OK | fold: 1 | AUC: 0.48 | TSS: 0.246
[00:24:10] HostOnly | Iter 6 OK | fold: 4 | AUC: 0.527 | TSS: 0.331
[00:24:23] HostOnly | Iter 7 OK | fold: 1 | AUC: 0.478 | TSS: 0.238
[00:24:35] HostOnly | Iter 8 OK | fold: 4 | AUC: 0.545 | TSS: 0.346
[00:24:47] HostOnly | Iter 9 OK | fold: 1 | AUC: 0.341 | TSS: 0
[00:25:00] HostOnly | Iter 10 OK | fold: 4 | AUC: 0.621 | TSS: 0.413
[00:25:09] HostOnly | Iter 11 OK | fold: 1 | AUC: 0.425 | TSS: 0.194
[00:25:20] HostOnly | Iter 12 OK | fold: 4 | AUC: 0.522 | TSS: 0.328
[00:25:32] HostOnly | Iter 13 OK | fold: 1 | AUC: 0.396 | TSS: 0.052
[00:25:40] HostOnly | Iter 14 OK | fold: 4 | AUC: 0.663 | TSS: 0.463
[00:25:51] HostOnly | Iter 15 OK | fold: 1 | AUC: 0.477 | TSS: 0.222
[00:26:03] HostOnly | Iter 16 OK | fold: 4 | AUC: 0.661 | TSS: 0.46
[00:26:12] HostOnly | Iter 17 OK | fold: 1 | AUC: 0.374 | TSS: 0.063
[00:26:24] HostOnly | Iter 18 OK | fold: 4 | AUC: 0.578 | TSS: 0.375
[00:26:36] HostOnly | Iter 19 OK | fold: 1 | AUC: 0.441 | TSS: 0.183
[00:26:45] HostOnly | Iter 20 OK | fold: 4 | AUC: 0.483 | TSS: 0.32
[00:26:57] HostOnly | Iter 21 OK | fold: 1 | AUC: 0.478 | TSS: 0.234
[00:27:08] HostOnly | Iter 22 OK | fold: 4 | AUC: 0.697 | TSS: 0.496
[00:27:16] HostOnly | Iter 23 OK | fold: 1 | AUC: 0.378 | TSS: 0.067
[00:27:27] HostOnly | Iter 24 OK | fold: 4 | AUC: 0.518 | TSS: 0.326
[00:27:36] HostOnly | Iter 25 OK | fold: 1 | AUC: 0.48 | TSS: 0.242
[00:27:48] HostOnly | Iter 26 OK | fold: 4 | AUC: 0.517 | TSS: 0.325
[00:28:00] HostOnly | Iter 27 OK | fold: 1 | AUC: 0.48 | TSS: 0.234
[00:28:09] HostOnly | Iter 28 OK | fold: 4 | AUC: 0.621 | TSS: 0.413
[00:28:23] HostOnly | Iter 29 OK | fold: 1 | AUC: 0.366 | TSS: 0.036
[00:28:36] HostOnly | Iter 30 OK | fold: 4 | AUC: 0.621 | TSS: 0.413
[00:28:46] HostOnly | Iter 31 OK | fold: 1 | AUC: 0.48 | TSS: 0.238
[00:28:59] HostOnly | Iter 32 OK | fold: 4 | AUC: 0.621 | TSS: 0.413
[00:29:09] HostOnly | Iter 33 OK | fold: 1 | AUC: 0.48 | TSS: 0.242
[00:29:27] HostOnly | Iter 34 OK | fold: 4 | AUC: 0.585 | TSS: 0.383
[00:29:35] HostOnly | Iter 35 OK | fold: 1 | AUC: 0.48 | TSS: 0.242
[00:29:49] HostOnly | Iter 36 OK | fold: 4 | AUC: 0.621 | TSS: 0.413
[00:30:04] HostOnly | Iter 37 OK | fold: 1 | AUC: 0.48 | TSS: 0.23
[00:30:15] HostOnly | Iter 38 OK | fold: 4 | AUC: 0.604 | TSS: 0.398
[00:30:28] HostOnly | Iter 39 OK | fold: 1 | AUC: 0.49 | TSS: 0.262
[00:30:37] HostOnly | Iter 40 OK | fold: 4 | AUC: 0.515 | TSS: 0.325
