[00:38:29] HostOnly | Iter 1 OK | fold: 2 | AUC: 0.888 | TSS: 0.816
[00:38:38] HostOnly | Iter 2 OK | fold: 3 | AUC: 0.866 | TSS: 0.737
[00:38:49] HostOnly | Iter 3 OK | fold: 2 | AUC: 0.871 | TSS: 0.786
[00:38:59] HostOnly | Iter 4 OK | fold: 3 | AUC: 0.887 | TSS: 0.726
[00:39:13] HostOnly | Iter 5 OK | fold: 2 | AUC: 0.877 | TSS: 0.738
[00:39:26] HostOnly | Iter 6 OK | fold: 3 | AUC: 0.874 | TSS: 0.834
[00:39:42] HostOnly | Iter 7 OK | fold: 2 | AUC: 0.878 | TSS: 0.782
[00:39:58] HostOnly | Iter 8 OK | fold: 3 | AUC: 0.838 | TSS: 0.691
[00:40:09] HostOnly | Iter 9 OK | fold: 2 | AUC: 0.83 | TSS: 0.632
[00:40:22] HostOnly | Iter 10 OK | fold: 3 | AUC: 0.838 | TSS: 0.666
[00:40:36] HostOnly | Iter 11 OK | fold: 2 | AUC: 0.906 | TSS: 0.82
[00:40:51] HostOnly | Iter 12 OK | fold: 3 | AUC: 0.87 | TSS: 0.662
[00:41:05] HostOnly | Iter 13 OK | fold: 2 | AUC: 0.902 | TSS: 0.748
[00:41:22] HostOnly | Iter 14 OK | fold: 3 | AUC: 0.825 | TSS: 0.648
[00:41:34] HostOnly | Iter 15 OK | fold: 2 | AUC: 0.839 | TSS: 0.675
[00:41:49] HostOnly | Iter 16 OK | fold: 3 | AUC: 0.881 | TSS: 0.719
[00:42:01] HostOnly | Iter 17 OK | fold: 2 | AUC: 0.906 | TSS: 0.84
[00:42:16] HostOnly | Iter 18 OK | fold: 3 | AUC: 0.875 | TSS: 0.683
[00:42:27] HostOnly | Iter 19 OK | fold: 2 | AUC: 0.889 | TSS: 0.811
[00:42:42] HostOnly | Iter 20 OK | fold: 3 | AUC: 0.893 | TSS: 0.747
[00:42:57] HostOnly | Iter 21 OK | fold: 2 | AUC: 0.874 | TSS: 0.796
[00:43:12] HostOnly | Iter 22 OK | fold: 3 | AUC: 0.884 | TSS: 0.772
[00:43:25] HostOnly | Iter 23 OK | fold: 2 | AUC: 0.913 | TSS: 0.835
[00:43:37] HostOnly | Iter 24 OK | fold: 3 | AUC: 0.885 | TSS: 0.758
[00:43:48] HostOnly | Iter 25 OK | fold: 2 | AUC: 0.887 | TSS: 0.806
[00:43:57] HostOnly | Iter 26 OK | fold: 3 | AUC: 0.821 | TSS: 0.734
[00:44:12] HostOnly | Iter 27 OK | fold: 2 | AUC: 0.823 | TSS: 0.588
[00:44:23] HostOnly | Iter 28 OK | fold: 3 | AUC: 0.848 | TSS: 0.774
[00:44:35] HostOnly | Iter 29 OK | fold: 2 | AUC: 0.901 | TSS: 0.84
[00:44:48] HostOnly | Iter 30 OK | fold: 3 | AUC: 0.893 | TSS: 0.736
[00:44:59] HostOnly | Iter 31 OK | fold: 2 | AUC: 0.871 | TSS: 0.786
[00:45:16] HostOnly | Iter 32 OK | fold: 3 | AUC: 0.882 | TSS: 0.823
[00:45:25] HostOnly | Iter 33 OK | fold: 2 | AUC: 0.865 | TSS: 0.791
[00:45:38] HostOnly | Iter 34 OK | fold: 3 | AUC: 0.875 | TSS: 0.687
[00:45:51] HostOnly | Iter 35 OK | fold: 2 | AUC: 0.899 | TSS: 0.82
[00:46:00] HostOnly | Iter 36 OK | fold: 3 | AUC: 0.854 | TSS: 0.683
[00:46:14] HostOnly | Iter 37 OK | fold: 2 | AUC: 0.891 | TSS: 0.791
[00:46:25] HostOnly | Iter 38 OK | fold: 3 | AUC: 0.869 | TSS: 0.672
[00:46:38] HostOnly | Iter 39 OK | fold: 2 | AUC: 0.907 | TSS: 0.816
[00:46:53] HostOnly | Iter 40 OK | fold: 3 | AUC: 0.865 | TSS: 0.664
