[01:18:26] Combined | Iter 1 OK | fold: 2 | AUC: 0.913 | TSS: 0.83
[01:18:44] Combined | Iter 2 OK | fold: 3 | AUC: 0.473 | TSS: 0.312
[01:19:08] Combined | Iter 3 OK | fold: 4 | AUC: 0.888 | TSS: 0.777
[01:19:29] Combined | Iter 4 OK | fold: 2 | AUC: 0.91 | TSS: 0.8
[01:19:49] Combined | Iter 5 OK | fold: 3 | AUC: 0.518 | TSS: 0.273
[01:20:09] Combined | Iter 6 OK | fold: 4 | AUC: 0.871 | TSS: 0.692
[01:20:36] Combined | Iter 7 OK | fold: 2 | AUC: 0.905 | TSS: 0.87
[01:20:59] Combined | Iter 8 OK | fold: 3 | AUC: 0.455 | TSS: 0.289
[01:21:24] Combined | Iter 9 OK | fold: 4 | AUC: 0.948 | TSS: 0.893
[01:21:47] Combined | Iter 10 OK | fold: 2 | AUC: 0.909 | TSS: 0.867
[01:22:09] Combined | Iter 11 OK | fold: 3 | AUC: 0.509 | TSS: 0.296
[01:22:33] Combined | Iter 12 OK | fold: 4 | AUC: 0.95 | TSS: 0.908
[01:22:52] Combined | Iter 13 OK | fold: 2 | AUC: 0.897 | TSS: 0.848
[01:22:53] Combined | Iter 14 ERROR: cannot evaluate a model without absence and presence data that are not NA
[01:23:18] Combined | Iter 15 OK | fold: 4 | AUC: 0.842 | TSS: 0.61
[01:23:43] Combined | Iter 16 OK | fold: 2 | AUC: 0.895 | TSS: 0.837
[01:24:07] Combined | Iter 17 OK | fold: 3 | AUC: 0.501 | TSS: 0.322
[01:24:30] Combined | Iter 18 OK | fold: 4 | AUC: 0.894 | TSS: 0.824
[01:24:52] Combined | Iter 19 OK | fold: 2 | AUC: 0.903 | TSS: 0.823
[01:25:16] Combined | Iter 20 OK | fold: 3 | AUC: 0.431 | TSS: 0.296
[01:25:39] Combined | Iter 21 OK | fold: 4 | AUC: 0.795 | TSS: 0.567
[01:26:04] Combined | Iter 22 OK | fold: 2 | AUC: 0.902 | TSS: 0.861
[01:26:27] Combined | Iter 23 OK | fold: 3 | AUC: 0.447 | TSS: 0.293
[01:26:49] Combined | Iter 24 OK | fold: 4 | AUC: 0.921 | TSS: 0.842
[01:27:18] Combined | Iter 25 OK | fold: 2 | AUC: 0.885 | TSS: 0.768
[01:27:39] Combined | Iter 26 OK | fold: 3 | AUC: 0.445 | TSS: 0.319
[01:28:04] Combined | Iter 27 OK | fold: 4 | AUC: 0.946 | TSS: 0.9
[01:28:26] Combined | Iter 28 OK | fold: 2 | AUC: 0.89 | TSS: 0.744
[01:28:46] Combined | Iter 29 OK | fold: 3 | AUC: 0.448 | TSS: 0.296
[01:29:09] Combined | Iter 30 OK | fold: 4 | AUC: 0.886 | TSS: 0.772
[01:29:30] Combined | Iter 31 OK | fold: 2 | AUC: 0.912 | TSS: 0.81
[01:29:53] Combined | Iter 32 OK | fold: 3 | AUC: 0.467 | TSS: 0.326
[01:30:16] Combined | Iter 33 OK | fold: 4 | AUC: 0.883 | TSS: 0.725
[01:30:37] Combined | Iter 34 OK | fold: 2 | AUC: 0.914 | TSS: 0.806
[01:31:02] Combined | Iter 35 OK | fold: 3 | AUC: 0.463 | TSS: 0.286
[01:31:27] Combined | Iter 36 OK | fold: 4 | AUC: 0.91 | TSS: 0.782
[01:31:48] Combined | Iter 37 OK | fold: 2 | AUC: 0.902 | TSS: 0.851
[01:32:12] Combined | Iter 38 OK | fold: 3 | AUC: 0.463 | TSS: 0.273
[01:32:38] Combined | Iter 39 OK | fold: 4 | AUC: 0.822 | TSS: 0.592
[01:33:04] Combined | Iter 40 OK | fold: 2 | AUC: 0.906 | TSS: 0.847
