[23:14:04] EnvOnly | Iter 1 OK | fold: 2 | AUC: 0.911 | TSS: 0.829
[23:14:32] EnvOnly | Iter 2 OK | fold: 3 | AUC: 0.631 | TSS: 0.372
[23:14:55] EnvOnly | Iter 3 OK | fold: 4 | AUC: 0.912 | TSS: 0.849
[23:15:23] EnvOnly | Iter 4 OK | fold: 2 | AUC: 0.934 | TSS: 0.88
[23:15:47] EnvOnly | Iter 5 OK | fold: 3 | AUC: 0.647 | TSS: 0.432
[23:16:11] EnvOnly | Iter 6 OK | fold: 4 | AUC: 0.928 | TSS: 0.785
[23:16:34] EnvOnly | Iter 7 OK | fold: 2 | AUC: 0.915 | TSS: 0.857
[23:17:01] EnvOnly | Iter 8 OK | fold: 3 | AUC: 0.526 | TSS: 0.227
[23:17:24] EnvOnly | Iter 9 OK | fold: 4 | AUC: 0.96 | TSS: 0.857
[23:17:48] EnvOnly | Iter 10 OK | fold: 2 | AUC: 0.898 | TSS: 0.79
[23:18:09] EnvOnly | Iter 11 OK | fold: 3 | AUC: 0.645 | TSS: 0.418
[23:18:32] EnvOnly | Iter 12 OK | fold: 4 | AUC: 0.966 | TSS: 0.922
[23:18:57] EnvOnly | Iter 13 OK | fold: 2 | AUC: 0.91 | TSS: 0.861
[23:19:24] EnvOnly | Iter 14 OK | fold: 3 | AUC: 0.601 | TSS: 0.339
[23:19:45] EnvOnly | Iter 15 OK | fold: 4 | AUC: 0.9 | TSS: 0.752
[23:20:12] EnvOnly | Iter 16 OK | fold: 2 | AUC: 0.89 | TSS: 0.771
[23:20:36] EnvOnly | Iter 17 OK | fold: 3 | AUC: 0.661 | TSS: 0.412
[23:20:58] EnvOnly | Iter 18 OK | fold: 4 | AUC: 0.918 | TSS: 0.809
[23:21:24] EnvOnly | Iter 19 OK | fold: 2 | AUC: 0.922 | TSS: 0.854
[23:21:51] EnvOnly | Iter 20 OK | fold: 3 | AUC: 0.492 | TSS: 0.197
[23:22:13] EnvOnly | Iter 21 OK | fold: 4 | AUC: 0.876 | TSS: 0.753
[23:22:35] EnvOnly | Iter 22 OK | fold: 2 | AUC: 0.924 | TSS: 0.849
[23:22:57] EnvOnly | Iter 23 OK | fold: 3 | AUC: 0.568 | TSS: 0.234
[23:23:20] EnvOnly | Iter 24 OK | fold: 4 | AUC: 0.944 | TSS: 0.881
[23:23:47] EnvOnly | Iter 25 OK | fold: 2 | AUC: 0.921 | TSS: 0.859
[23:24:10] EnvOnly | Iter 26 OK | fold: 3 | AUC: 0.561 | TSS: 0.286
[23:24:37] EnvOnly | Iter 27 OK | fold: 4 | AUC: 0.954 | TSS: 0.92
[23:25:02] EnvOnly | Iter 28 OK | fold: 2 | AUC: 0.921 | TSS: 0.839
[23:25:27] EnvOnly | Iter 29 OK | fold: 3 | AUC: 0.509 | TSS: 0.234
[23:25:51] EnvOnly | Iter 30 OK | fold: 4 | AUC: 0.933 | TSS: 0.872
[23:26:11] EnvOnly | Iter 31 OK | fold: 2 | AUC: 0.898 | TSS: 0.764
[23:26:36] EnvOnly | Iter 32 OK | fold: 3 | AUC: 0.583 | TSS: 0.267
[23:27:01] EnvOnly | Iter 33 OK | fold: 4 | AUC: 0.918 | TSS: 0.766
[23:27:26] EnvOnly | Iter 34 OK | fold: 2 | AUC: 0.92 | TSS: 0.81
[23:27:51] EnvOnly | Iter 35 OK | fold: 3 | AUC: 0.501 | TSS: 0.224
[23:28:13] EnvOnly | Iter 36 OK | fold: 4 | AUC: 0.941 | TSS: 0.828
[23:28:35] EnvOnly | Iter 37 OK | fold: 2 | AUC: 0.883 | TSS: 0.743
[23:28:58] EnvOnly | Iter 38 OK | fold: 3 | AUC: 0.627 | TSS: 0.402
[23:29:23] EnvOnly | Iter 39 OK | fold: 4 | AUC: 0.881 | TSS: 0.795
[23:29:52] EnvOnly | Iter 40 OK | fold: 2 | AUC: 0.914 | TSS: 0.838
