[00:24:10] HostOnly | Iter 1 OK | fold: 2 | AUC: 0.916 | TSS: 0.733
[00:24:23] HostOnly | Iter 2 OK | fold: 3 | AUC: 0.842 | TSS: 0.626
[00:24:40] HostOnly | Iter 3 OK | fold: 4 | AUC: 0.863 | TSS: 0.695
[00:24:51] HostOnly | Iter 4 OK | fold: 2 | AUC: 0.917 | TSS: 0.728
[00:25:08] HostOnly | Iter 5 OK | fold: 3 | AUC: 0.816 | TSS: 0.571
[00:25:23] HostOnly | Iter 6 OK | fold: 4 | AUC: 0.881 | TSS: 0.716
[00:25:40] HostOnly | Iter 7 OK | fold: 2 | AUC: 0.91 | TSS: 0.805
[00:25:57] HostOnly | Iter 8 OK | fold: 3 | AUC: 0.853 | TSS: 0.626
[00:26:09] HostOnly | Iter 9 OK | fold: 4 | AUC: 0.923 | TSS: 0.762
[00:26:28] HostOnly | Iter 10 OK | fold: 2 | AUC: 0.92 | TSS: 0.806
[00:26:46] HostOnly | Iter 11 OK | fold: 3 | AUC: 0.829 | TSS: 0.626
[00:27:02] HostOnly | Iter 12 OK | fold: 4 | AUC: 0.923 | TSS: 0.784
[00:27:16] HostOnly | Iter 13 OK | fold: 2 | AUC: 0.898 | TSS: 0.791
[00:27:34] HostOnly | Iter 14 OK | fold: 3 | AUC: 0.803 | TSS: 0.613
[00:27:46] HostOnly | Iter 15 OK | fold: 4 | AUC: 0.837 | TSS: 0.672
[00:28:04] HostOnly | Iter 16 OK | fold: 2 | AUC: 0.9 | TSS: 0.767
[00:28:17] HostOnly | Iter 17 OK | fold: 3 | AUC: 0.84 | TSS: 0.626
[00:28:34] HostOnly | Iter 18 OK | fold: 4 | AUC: 0.859 | TSS: 0.689
[00:28:44] HostOnly | Iter 19 OK | fold: 2 | AUC: 0.903 | TSS: 0.716
[00:28:57] HostOnly | Iter 20 OK | fold: 3 | AUC: 0.841 | TSS: 0.626
[00:29:10] HostOnly | Iter 21 OK | fold: 4 | AUC: 0.734 | TSS: 0.586
[00:29:26] HostOnly | Iter 22 OK | fold: 2 | AUC: 0.903 | TSS: 0.74
[00:29:40] HostOnly | Iter 23 OK | fold: 3 | AUC: 0.832 | TSS: 0.626
[00:29:55] HostOnly | Iter 24 OK | fold: 4 | AUC: 0.87 | TSS: 0.706
[00:30:08] HostOnly | Iter 25 OK | fold: 2 | AUC: 0.911 | TSS: 0.718
[00:30:24] HostOnly | Iter 26 OK | fold: 3 | AUC: 0.834 | TSS: 0.626
[00:30:36] HostOnly | Iter 27 OK | fold: 4 | AUC: 0.765 | TSS: 0.585
[00:30:50] HostOnly | Iter 28 OK | fold: 2 | AUC: 0.893 | TSS: 0.748
[00:31:07] HostOnly | Iter 29 OK | fold: 3 | AUC: 0.833 | TSS: 0.626
[00:31:23] HostOnly | Iter 30 OK | fold: 4 | AUC: 0.82 | TSS: 0.664
[00:31:37] HostOnly | Iter 31 OK | fold: 2 | AUC: 0.913 | TSS: 0.756
[00:31:49] HostOnly | Iter 32 OK | fold: 3 | AUC: 0.836 | TSS: 0.58
[00:32:02] HostOnly | Iter 33 OK | fold: 4 | AUC: 0.892 | TSS: 0.729
[00:32:18] HostOnly | Iter 34 OK | fold: 2 | AUC: 0.883 | TSS: 0.721
[00:32:33] HostOnly | Iter 35 OK | fold: 3 | AUC: 0.8 | TSS: 0.623
[00:32:43] HostOnly | Iter 36 OK | fold: 4 | AUC: 0.886 | TSS: 0.731
[00:32:57] HostOnly | Iter 37 OK | fold: 2 | AUC: 0.93 | TSS: 0.839
[00:33:13] HostOnly | Iter 38 OK | fold: 3 | AUC: 0.825 | TSS: 0.626
[00:33:32] HostOnly | Iter 39 OK | fold: 4 | AUC: 0.768 | TSS: 0.581
[00:33:42] HostOnly | Iter 40 OK | fold: 2 | AUC: 0.924 | TSS: 0.801
