[01:42:40] Combined | Iter 1 OK | fold: 2 | AUC: 0.969 | TSS: 0.946
[01:43:02] Combined | Iter 2 OK | fold: 3 | AUC: 0.928 | TSS: 0.805
[01:43:25] Combined | Iter 3 OK | fold: 2 | AUC: 0.969 | TSS: 0.934
[01:43:41] Combined | Iter 4 OK | fold: 3 | AUC: 0.928 | TSS: 0.81
[01:44:02] Combined | Iter 5 OK | fold: 2 | AUC: 0.97 | TSS: 0.944
[01:44:23] Combined | Iter 6 OK | fold: 3 | AUC: 0.903 | TSS: 0.761
[01:44:44] Combined | Iter 7 OK | fold: 2 | AUC: 0.96 | TSS: 0.904
[01:45:00] Combined | Iter 8 OK | fold: 3 | AUC: 0.911 | TSS: 0.792
[01:45:23] Combined | Iter 9 OK | fold: 2 | AUC: 0.965 | TSS: 0.944
[01:45:42] Combined | Iter 10 OK | fold: 3 | AUC: 0.895 | TSS: 0.747
[01:46:02] Combined | Iter 11 OK | fold: 2 | AUC: 0.97 | TSS: 0.939
[01:46:20] Combined | Iter 12 OK | fold: 3 | AUC: 0.901 | TSS: 0.736
[01:46:45] Combined | Iter 13 OK | fold: 2 | AUC: 0.971 | TSS: 0.934
[01:47:06] Combined | Iter 14 OK | fold: 3 | AUC: 0.929 | TSS: 0.83
[01:47:28] Combined | Iter 15 OK | fold: 2 | AUC: 0.969 | TSS: 0.937
[01:47:45] Combined | Iter 16 OK | fold: 3 | AUC: 0.934 | TSS: 0.81
[01:48:04] Combined | Iter 17 OK | fold: 2 | AUC: 0.969 | TSS: 0.941
[01:48:28] Combined | Iter 18 OK | fold: 3 | AUC: 0.935 | TSS: 0.833
[01:48:48] Combined | Iter 19 OK | fold: 2 | AUC: 0.972 | TSS: 0.946
[01:49:06] Combined | Iter 20 OK | fold: 3 | AUC: 0.906 | TSS: 0.767
[01:49:27] Combined | Iter 21 OK | fold: 2 | AUC: 0.969 | TSS: 0.939
[01:49:50] Combined | Iter 22 OK | fold: 3 | AUC: 0.905 | TSS: 0.779
[01:50:12] Combined | Iter 23 OK | fold: 2 | AUC: 0.969 | TSS: 0.932
[01:50:31] Combined | Iter 24 OK | fold: 3 | AUC: 0.903 | TSS: 0.771
[01:50:54] Combined | Iter 25 OK | fold: 2 | AUC: 0.967 | TSS: 0.925
[01:50:54] Combined | Iter 26 ERROR: non-conformable arguments
[01:51:12] Combined | Iter 27 OK | fold: 2 | AUC: 0.969 | TSS: 0.937
[01:51:31] Combined | Iter 28 OK | fold: 3 | AUC: 0.906 | TSS: 0.765
[01:51:52] Combined | Iter 29 OK | fold: 2 | AUC: 0.972 | TSS: 0.953
[01:52:07] Combined | Iter 30 OK | fold: 3 | AUC: 0.896 | TSS: 0.759
[01:52:27] Combined | Iter 31 OK | fold: 2 | AUC: 0.972 | TSS: 0.941
[01:52:54] Combined | Iter 32 OK | fold: 3 | AUC: 0.927 | TSS: 0.798
[01:53:13] Combined | Iter 33 OK | fold: 2 | AUC: 0.968 | TSS: 0.934
[01:53:31] Combined | Iter 34 OK | fold: 3 | AUC: 0.933 | TSS: 0.813
[01:53:54] Combined | Iter 35 OK | fold: 2 | AUC: 0.969 | TSS: 0.937
[01:54:19] Combined | Iter 36 OK | fold: 3 | AUC: 0.904 | TSS: 0.753
[01:54:40] Combined | Iter 37 OK | fold: 2 | AUC: 0.97 | TSS: 0.939
[01:55:03] Combined | Iter 38 OK | fold: 3 | AUC: 0.922 | TSS: 0.794
[01:55:22] Combined | Iter 39 OK | fold: 2 | AUC: 0.956 | TSS: 0.894
[01:55:45] Combined | Iter 40 OK | fold: 3 | AUC: 0.897 | TSS: 0.759
