[23:36:41] EnvOnly | Iter 1 OK | fold: 2 | AUC: 0.961 | TSS: 0.941
[23:36:56] EnvOnly | Iter 2 OK | fold: 3 | AUC: 0.93 | TSS: 0.802
[23:37:17] EnvOnly | Iter 3 OK | fold: 2 | AUC: 0.965 | TSS: 0.941
[23:37:32] EnvOnly | Iter 4 OK | fold: 3 | AUC: 0.904 | TSS: 0.792
[23:37:49] EnvOnly | Iter 5 OK | fold: 2 | AUC: 0.961 | TSS: 0.941
[23:38:08] EnvOnly | Iter 6 OK | fold: 3 | AUC: 0.905 | TSS: 0.779
[23:38:30] EnvOnly | Iter 7 OK | fold: 2 | AUC: 0.967 | TSS: 0.941
[23:38:47] EnvOnly | Iter 8 OK | fold: 3 | AUC: 0.911 | TSS: 0.792
[23:39:05] EnvOnly | Iter 9 OK | fold: 2 | AUC: 0.962 | TSS: 0.941
[23:39:21] EnvOnly | Iter 10 OK | fold: 3 | AUC: 0.899 | TSS: 0.767
[23:39:42] EnvOnly | Iter 11 OK | fold: 2 | AUC: 0.964 | TSS: 0.927
[23:39:59] EnvOnly | Iter 12 OK | fold: 3 | AUC: 0.905 | TSS: 0.767
[23:40:20] EnvOnly | Iter 13 OK | fold: 2 | AUC: 0.964 | TSS: 0.941
[23:40:42] EnvOnly | Iter 14 OK | fold: 3 | AUC: 0.907 | TSS: 0.793
[23:41:06] EnvOnly | Iter 15 OK | fold: 2 | AUC: 0.961 | TSS: 0.923
[23:41:21] EnvOnly | Iter 16 OK | fold: 3 | AUC: 0.912 | TSS: 0.792
[23:41:40] EnvOnly | Iter 17 OK | fold: 2 | AUC: 0.961 | TSS: 0.941
[23:41:59] EnvOnly | Iter 18 OK | fold: 3 | AUC: 0.917 | TSS: 0.802
[23:42:16] EnvOnly | Iter 19 OK | fold: 2 | AUC: 0.964 | TSS: 0.927
[23:42:33] EnvOnly | Iter 20 OK | fold: 3 | AUC: 0.909 | TSS: 0.792
[23:42:54] EnvOnly | Iter 21 OK | fold: 2 | AUC: 0.961 | TSS: 0.941
[23:43:11] EnvOnly | Iter 22 OK | fold: 3 | AUC: 0.904 | TSS: 0.788
[23:43:30] EnvOnly | Iter 23 OK | fold: 2 | AUC: 0.961 | TSS: 0.941
[23:43:46] EnvOnly | Iter 24 OK | fold: 3 | AUC: 0.904 | TSS: 0.79
[23:44:09] EnvOnly | Iter 25 OK | fold: 2 | AUC: 0.964 | TSS: 0.927
[23:44:32] EnvOnly | Iter 26 OK | fold: 3 | AUC: 0.931 | TSS: 0.807
[23:44:51] EnvOnly | Iter 27 OK | fold: 2 | AUC: 0.964 | TSS: 0.927
[23:45:13] EnvOnly | Iter 28 OK | fold: 3 | AUC: 0.902 | TSS: 0.772
[23:45:38] EnvOnly | Iter 29 OK | fold: 2 | AUC: 0.961 | TSS: 0.941
[23:45:56] EnvOnly | Iter 30 OK | fold: 3 | AUC: 0.897 | TSS: 0.775
[23:46:16] EnvOnly | Iter 31 OK | fold: 2 | AUC: 0.967 | TSS: 0.941
[23:46:36] EnvOnly | Iter 32 OK | fold: 3 | AUC: 0.929 | TSS: 0.793
[23:46:55] EnvOnly | Iter 33 OK | fold: 2 | AUC: 0.961 | TSS: 0.923
[23:47:16] EnvOnly | Iter 34 OK | fold: 3 | AUC: 0.929 | TSS: 0.79
[23:47:37] EnvOnly | Iter 35 OK | fold: 2 | AUC: 0.961 | TSS: 0.923
[23:47:57] EnvOnly | Iter 36 OK | fold: 3 | AUC: 0.899 | TSS: 0.744
[23:48:20] EnvOnly | Iter 37 OK | fold: 2 | AUC: 0.964 | TSS: 0.941
[23:48:42] EnvOnly | Iter 38 OK | fold: 3 | AUC: 0.913 | TSS: 0.79
[23:49:08] EnvOnly | Iter 39 OK | fold: 2 | AUC: 0.927 | TSS: 0.854
[23:49:27] EnvOnly | Iter 40 OK | fold: 3 | AUC: 0.899 | TSS: 0.784
