[00:39:11] HostOnly | Iter 1 OK | fold: 2 | AUC: 0.969 | TSS: 0.946
[00:39:21] HostOnly | Iter 2 OK | fold: 3 | AUC: 0.931 | TSS: 0.815
[00:39:30] HostOnly | Iter 3 OK | fold: 2 | AUC: 0.972 | TSS: 0.941
[00:39:39] HostOnly | Iter 4 OK | fold: 3 | AUC: 0.928 | TSS: 0.83
[00:39:50] HostOnly | Iter 5 OK | fold: 2 | AUC: 0.97 | TSS: 0.944
[00:39:59] HostOnly | Iter 6 OK | fold: 3 | AUC: 0.913 | TSS: 0.792
[00:40:14] HostOnly | Iter 7 OK | fold: 2 | AUC: 0.96 | TSS: 0.904
[00:40:26] HostOnly | Iter 8 OK | fold: 3 | AUC: 0.911 | TSS: 0.792
[00:40:35] HostOnly | Iter 9 OK | fold: 2 | AUC: 0.965 | TSS: 0.944
[00:40:46] HostOnly | Iter 10 OK | fold: 3 | AUC: 0.911 | TSS: 0.79
[00:40:55] HostOnly | Iter 11 OK | fold: 2 | AUC: 0.97 | TSS: 0.939
[00:41:06] HostOnly | Iter 12 OK | fold: 3 | AUC: 0.914 | TSS: 0.795
[00:41:18] HostOnly | Iter 13 OK | fold: 2 | AUC: 0.971 | TSS: 0.934
[00:41:26] HostOnly | Iter 14 OK | fold: 3 | AUC: 0.927 | TSS: 0.838
[00:41:40] HostOnly | Iter 15 OK | fold: 2 | AUC: 0.969 | TSS: 0.937
[00:41:52] HostOnly | Iter 16 OK | fold: 3 | AUC: 0.931 | TSS: 0.812
[00:42:02] HostOnly | Iter 17 OK | fold: 2 | AUC: 0.969 | TSS: 0.941
[00:42:15] HostOnly | Iter 18 OK | fold: 3 | AUC: 0.935 | TSS: 0.834
[00:42:25] HostOnly | Iter 19 OK | fold: 2 | AUC: 0.972 | TSS: 0.946
[00:42:35] HostOnly | Iter 20 OK | fold: 3 | AUC: 0.915 | TSS: 0.795
[00:42:50] HostOnly | Iter 21 OK | fold: 2 | AUC: 0.969 | TSS: 0.939
[00:43:00] HostOnly | Iter 22 OK | fold: 3 | AUC: 0.911 | TSS: 0.795
[00:43:12] HostOnly | Iter 23 OK | fold: 2 | AUC: 0.97 | TSS: 0.934
[00:43:23] HostOnly | Iter 24 OK | fold: 3 | AUC: 0.91 | TSS: 0.799
[00:43:33] HostOnly | Iter 25 OK | fold: 2 | AUC: 0.968 | TSS: 0.934
[00:43:33] HostOnly | Iter 26 ERROR: non-conformable arguments
[00:43:45] HostOnly | Iter 27 OK | fold: 2 | AUC: 0.97 | TSS: 0.937
[00:43:54] HostOnly | Iter 28 OK | fold: 3 | AUC: 0.928 | TSS: 0.798
[00:44:07] HostOnly | Iter 29 OK | fold: 2 | AUC: 0.973 | TSS: 0.951
[00:44:20] HostOnly | Iter 30 OK | fold: 3 | AUC: 0.906 | TSS: 0.794
[00:44:29] HostOnly | Iter 31 OK | fold: 2 | AUC: 0.973 | TSS: 0.946
[00:44:40] HostOnly | Iter 32 OK | fold: 3 | AUC: 0.928 | TSS: 0.808
[00:44:51] HostOnly | Iter 33 OK | fold: 2 | AUC: 0.968 | TSS: 0.934
[00:45:05] HostOnly | Iter 34 OK | fold: 3 | AUC: 0.934 | TSS: 0.826
[00:45:17] HostOnly | Iter 35 OK | fold: 2 | AUC: 0.969 | TSS: 0.937
[00:45:29] HostOnly | Iter 36 OK | fold: 3 | AUC: 0.915 | TSS: 0.794
[00:45:42] HostOnly | Iter 37 OK | fold: 2 | AUC: 0.97 | TSS: 0.934
[00:45:54] HostOnly | Iter 38 OK | fold: 3 | AUC: 0.924 | TSS: 0.796
[00:46:05] HostOnly | Iter 39 OK | fold: 2 | AUC: 0.956 | TSS: 0.894
[00:46:20] HostOnly | Iter 40 OK | fold: 3 | AUC: 0.914 | TSS: 0.798
