[01:56:57] Combined | Iter 1 OK | fold: 1 | AUC: 0.908 | TSS: 0.709
[01:57:30] Combined | Iter 2 OK | fold: 2 | AUC: 0.792 | TSS: 0.469
[01:58:06] Combined | Iter 3 OK | fold: 3 | AUC: 0.749 | TSS: 0.435
[01:58:43] Combined | Iter 4 OK | fold: 1 | AUC: 0.914 | TSS: 0.793
[01:59:24] Combined | Iter 5 OK | fold: 2 | AUC: 0.747 | TSS: 0.378
[01:59:54] Combined | Iter 6 OK | fold: 3 | AUC: 0.73 | TSS: 0.418
[02:00:31] Combined | Iter 7 OK | fold: 1 | AUC: 0.924 | TSS: 0.76
[02:01:06] Combined | Iter 8 OK | fold: 2 | AUC: 0.847 | TSS: 0.616
[02:01:34] Combined | Iter 9 OK | fold: 3 | AUC: 0.731 | TSS: 0.39
[02:02:09] Combined | Iter 10 OK | fold: 1 | AUC: 0.932 | TSS: 0.798
[02:02:44] Combined | Iter 11 OK | fold: 2 | AUC: 0.79 | TSS: 0.469
[02:03:21] Combined | Iter 12 OK | fold: 3 | AUC: 0.752 | TSS: 0.444
[02:03:54] Combined | Iter 13 OK | fold: 1 | AUC: 0.92 | TSS: 0.756
[02:04:28] Combined | Iter 14 OK | fold: 2 | AUC: 0.87 | TSS: 0.633
[02:05:01] Combined | Iter 15 OK | fold: 3 | AUC: 0.724 | TSS: 0.393
[02:05:42] Combined | Iter 16 OK | fold: 1 | AUC: 0.929 | TSS: 0.793
[02:06:10] Combined | Iter 17 OK | fold: 2 | AUC: 0.882 | TSS: 0.652
[02:06:40] Combined | Iter 18 OK | fold: 3 | AUC: 0.769 | TSS: 0.455
[02:07:14] Combined | Iter 19 OK | fold: 1 | AUC: 0.926 | TSS: 0.802
[02:07:40] Combined | Iter 20 OK | fold: 2 | AUC: 0.851 | TSS: 0.614
[02:08:11] Combined | Iter 21 OK | fold: 3 | AUC: 0.754 | TSS: 0.433
[02:08:39] Combined | Iter 22 OK | fold: 1 | AUC: 0.925 | TSS: 0.813
[02:09:07] Combined | Iter 23 OK | fold: 2 | AUC: 0.819 | TSS: 0.522
[02:09:35] Combined | Iter 24 OK | fold: 3 | AUC: 0.745 | TSS: 0.454
[02:10:06] Combined | Iter 25 OK | fold: 1 | AUC: 0.917 | TSS: 0.749
[02:10:32] Combined | Iter 26 OK | fold: 2 | AUC: 0.852 | TSS: 0.614
[02:10:55] Combined | Iter 27 OK | fold: 3 | AUC: 0.742 | TSS: 0.396
[02:11:20] Combined | Iter 28 OK | fold: 1 | AUC: 0.917 | TSS: 0.743
[02:11:41] Combined | Iter 29 OK | fold: 2 | AUC: 0.822 | TSS: 0.557
[02:11:59] Combined | Iter 30 OK | fold: 3 | AUC: 0.684 | TSS: 0.393
[02:12:18] Combined | Iter 31 OK | fold: 1 | AUC: 0.929 | TSS: 0.795
[02:12:38] Combined | Iter 32 OK | fold: 2 | AUC: 0.812 | TSS: 0.536
[02:12:56] Combined | Iter 33 OK | fold: 3 | AUC: 0.75 | TSS: 0.408
[02:13:16] Combined | Iter 34 OK | fold: 1 | AUC: 0.919 | TSS: 0.77
[02:13:34] Combined | Iter 35 OK | fold: 2 | AUC: 0.791 | TSS: 0.453
[02:13:51] Combined | Iter 36 OK | fold: 3 | AUC: 0.73 | TSS: 0.394
[02:14:07] Combined | Iter 37 OK | fold: 1 | AUC: 0.917 | TSS: 0.773
[02:14:33] Combined | Iter 38 OK | fold: 2 | AUC: 0.834 | TSS: 0.571
[02:14:52] Combined | Iter 39 OK | fold: 3 | AUC: 0.711 | TSS: 0.39
[02:15:10] Combined | Iter 40 OK | fold: 1 | AUC: 0.907 | TSS: 0.734
