[23:50:55] EnvOnly | Iter 1 OK | fold: 1 | AUC: 0.906 | TSS: 0.675
[23:51:31] EnvOnly | Iter 2 OK | fold: 2 | AUC: 0.682 | TSS: 0.315
[23:51:59] EnvOnly | Iter 3 OK | fold: 3 | AUC: 0.709 | TSS: 0.354
[23:52:32] EnvOnly | Iter 4 OK | fold: 1 | AUC: 0.9 | TSS: 0.665
[23:53:03] EnvOnly | Iter 5 OK | fold: 2 | AUC: 0.634 | TSS: 0.247
[23:53:28] EnvOnly | Iter 6 OK | fold: 3 | AUC: 0.702 | TSS: 0.397
[23:54:02] EnvOnly | Iter 7 OK | fold: 1 | AUC: 0.908 | TSS: 0.699
[23:54:31] EnvOnly | Iter 8 OK | fold: 2 | AUC: 0.757 | TSS: 0.451
[23:54:58] EnvOnly | Iter 9 OK | fold: 3 | AUC: 0.695 | TSS: 0.351
[23:55:34] EnvOnly | Iter 10 OK | fold: 1 | AUC: 0.913 | TSS: 0.693
[23:56:06] EnvOnly | Iter 11 OK | fold: 2 | AUC: 0.696 | TSS: 0.342
[23:56:36] EnvOnly | Iter 12 OK | fold: 3 | AUC: 0.724 | TSS: 0.402
[23:57:11] EnvOnly | Iter 13 OK | fold: 1 | AUC: 0.912 | TSS: 0.7
[23:57:48] EnvOnly | Iter 14 OK | fold: 2 | AUC: 0.8 | TSS: 0.493
[23:58:18] EnvOnly | Iter 15 OK | fold: 3 | AUC: 0.684 | TSS: 0.318
[23:58:49] EnvOnly | Iter 16 OK | fold: 1 | AUC: 0.913 | TSS: 0.685
[23:59:16] EnvOnly | Iter 17 OK | fold: 2 | AUC: 0.844 | TSS: 0.583
[23:59:48] EnvOnly | Iter 18 OK | fold: 3 | AUC: 0.754 | TSS: 0.407
[00:00:17] EnvOnly | Iter 19 OK | fold: 1 | AUC: 0.898 | TSS: 0.646
[00:00:44] EnvOnly | Iter 20 OK | fold: 2 | AUC: 0.79 | TSS: 0.476
[00:01:14] EnvOnly | Iter 21 OK | fold: 3 | AUC: 0.707 | TSS: 0.339
[00:01:47] EnvOnly | Iter 22 OK | fold: 1 | AUC: 0.909 | TSS: 0.698
[00:02:16] EnvOnly | Iter 23 OK | fold: 2 | AUC: 0.677 | TSS: 0.294
[00:02:42] EnvOnly | Iter 24 OK | fold: 3 | AUC: 0.719 | TSS: 0.377
[00:03:10] EnvOnly | Iter 25 OK | fold: 1 | AUC: 0.905 | TSS: 0.684
[00:03:32] EnvOnly | Iter 26 OK | fold: 2 | AUC: 0.766 | TSS: 0.432
[00:03:56] EnvOnly | Iter 27 OK | fold: 3 | AUC: 0.709 | TSS: 0.365
[00:04:25] EnvOnly | Iter 28 OK | fold: 1 | AUC: 0.889 | TSS: 0.636
[00:04:52] EnvOnly | Iter 29 OK | fold: 2 | AUC: 0.702 | TSS: 0.341
[00:05:11] EnvOnly | Iter 30 OK | fold: 3 | AUC: 0.685 | TSS: 0.358
[00:05:34] EnvOnly | Iter 31 OK | fold: 1 | AUC: 0.913 | TSS: 0.709
[00:05:55] EnvOnly | Iter 32 OK | fold: 2 | AUC: 0.662 | TSS: 0.276
[00:06:14] EnvOnly | Iter 33 OK | fold: 3 | AUC: 0.698 | TSS: 0.38
[00:06:33] EnvOnly | Iter 34 OK | fold: 1 | AUC: 0.906 | TSS: 0.699
[00:06:53] EnvOnly | Iter 35 OK | fold: 2 | AUC: 0.709 | TSS: 0.329
[00:07:14] EnvOnly | Iter 36 OK | fold: 3 | AUC: 0.727 | TSS: 0.386
[00:07:34] EnvOnly | Iter 37 OK | fold: 1 | AUC: 0.9 | TSS: 0.686
[00:07:57] EnvOnly | Iter 38 OK | fold: 2 | AUC: 0.766 | TSS: 0.44
[00:08:18] EnvOnly | Iter 39 OK | fold: 3 | AUC: 0.7 | TSS: 0.369
[00:08:40] EnvOnly | Iter 40 OK | fold: 1 | AUC: 0.884 | TSS: 0.639
