[00:50:33] HostOnly | Iter 1 OK | fold: 1 | AUC: 0.858 | TSS: 0.682
[00:50:49] HostOnly | Iter 2 OK | fold: 2 | AUC: 0.684 | TSS: 0.387
[00:51:03] HostOnly | Iter 3 OK | fold: 3 | AUC: 0.731 | TSS: 0.433
[00:51:16] HostOnly | Iter 4 OK | fold: 1 | AUC: 0.858 | TSS: 0.653
[00:51:29] HostOnly | Iter 5 OK | fold: 2 | AUC: 0.633 | TSS: 0.342
[00:51:41] HostOnly | Iter 6 OK | fold: 3 | AUC: 0.752 | TSS: 0.404
[00:51:57] HostOnly | Iter 7 OK | fold: 1 | AUC: 0.877 | TSS: 0.66
[00:52:14] HostOnly | Iter 8 OK | fold: 2 | AUC: 0.747 | TSS: 0.472
[00:52:29] HostOnly | Iter 9 OK | fold: 3 | AUC: 0.785 | TSS: 0.442
[00:52:45] HostOnly | Iter 10 OK | fold: 1 | AUC: 0.885 | TSS: 0.676
[00:53:04] HostOnly | Iter 11 OK | fold: 2 | AUC: 0.688 | TSS: 0.404
[00:53:18] HostOnly | Iter 12 OK | fold: 3 | AUC: 0.765 | TSS: 0.444
[00:53:38] HostOnly | Iter 13 OK | fold: 1 | AUC: 0.872 | TSS: 0.647
[00:53:55] HostOnly | Iter 14 OK | fold: 2 | AUC: 0.756 | TSS: 0.441
[00:54:11] HostOnly | Iter 15 OK | fold: 3 | AUC: 0.779 | TSS: 0.454
[00:54:29] HostOnly | Iter 16 OK | fold: 1 | AUC: 0.872 | TSS: 0.657
[00:54:45] HostOnly | Iter 17 OK | fold: 2 | AUC: 0.726 | TSS: 0.462
[00:54:59] HostOnly | Iter 18 OK | fold: 3 | AUC: 0.767 | TSS: 0.432
[00:55:16] HostOnly | Iter 19 OK | fold: 1 | AUC: 0.868 | TSS: 0.653
[00:55:31] HostOnly | Iter 20 OK | fold: 2 | AUC: 0.727 | TSS: 0.437
[00:55:43] HostOnly | Iter 21 OK | fold: 3 | AUC: 0.777 | TSS: 0.445
[00:56:01] HostOnly | Iter 22 OK | fold: 1 | AUC: 0.861 | TSS: 0.658
[00:56:14] HostOnly | Iter 23 OK | fold: 2 | AUC: 0.693 | TSS: 0.377
[00:56:28] HostOnly | Iter 24 OK | fold: 3 | AUC: 0.771 | TSS: 0.439
[00:56:43] HostOnly | Iter 25 OK | fold: 1 | AUC: 0.862 | TSS: 0.636
[00:57:00] HostOnly | Iter 26 OK | fold: 2 | AUC: 0.719 | TSS: 0.413
[00:57:14] HostOnly | Iter 27 OK | fold: 3 | AUC: 0.765 | TSS: 0.422
[00:57:29] HostOnly | Iter 28 OK | fold: 1 | AUC: 0.872 | TSS: 0.655
[00:57:42] HostOnly | Iter 29 OK | fold: 2 | AUC: 0.711 | TSS: 0.417
[00:57:56] HostOnly | Iter 30 OK | fold: 3 | AUC: 0.751 | TSS: 0.432
[00:58:12] HostOnly | Iter 31 OK | fold: 1 | AUC: 0.871 | TSS: 0.654
[00:58:28] HostOnly | Iter 32 OK | fold: 2 | AUC: 0.661 | TSS: 0.368
[00:58:42] HostOnly | Iter 33 OK | fold: 3 | AUC: 0.756 | TSS: 0.429
[00:58:55] HostOnly | Iter 34 OK | fold: 1 | AUC: 0.863 | TSS: 0.628
[00:59:10] HostOnly | Iter 35 OK | fold: 2 | AUC: 0.664 | TSS: 0.376
[00:59:22] HostOnly | Iter 36 OK | fold: 3 | AUC: 0.766 | TSS: 0.42
[00:59:41] HostOnly | Iter 37 OK | fold: 1 | AUC: 0.854 | TSS: 0.673
[00:59:54] HostOnly | Iter 38 OK | fold: 2 | AUC: 0.758 | TSS: 0.484
[01:00:08] HostOnly | Iter 39 OK | fold: 3 | AUC: 0.776 | TSS: 0.443
[01:00:20] HostOnly | Iter 40 OK | fold: 1 | AUC: 0.866 | TSS: 0.668
