[01:49:26] Combined | Iter 1 OK | fold: 1 | AUC: 0.903 | TSS: 0.676
[01:49:52] Combined | Iter 2 OK | fold: 2 | AUC: 0.904 | TSS: 0.673
[01:50:24] Combined | Iter 3 OK | fold: 3 | AUC: 0.396 | TSS: 0.066
[01:50:53] Combined | Iter 4 OK | fold: 4 | AUC: 0.923 | TSS: 0.744
[01:51:23] Combined | Iter 5 OK | fold: 1 | AUC: 0.895 | TSS: 0.657
[01:51:54] Combined | Iter 6 OK | fold: 2 | AUC: 0.908 | TSS: 0.649
[01:52:23] Combined | Iter 7 OK | fold: 3 | AUC: 0.48 | TSS: 0.159
[01:52:54] Combined | Iter 8 OK | fold: 4 | AUC: 0.901 | TSS: 0.727
[01:53:23] Combined | Iter 9 OK | fold: 1 | AUC: 0.908 | TSS: 0.686
[01:53:52] Combined | Iter 10 OK | fold: 2 | AUC: 0.872 | TSS: 0.57
[01:54:23] Combined | Iter 11 OK | fold: 3 | AUC: 0.435 | TSS: 0.126
[01:54:54] Combined | Iter 12 OK | fold: 4 | AUC: 0.927 | TSS: 0.761
[01:55:28] Combined | Iter 13 OK | fold: 1 | AUC: 0.891 | TSS: 0.64
[01:55:55] Combined | Iter 14 OK | fold: 2 | AUC: 0.912 | TSS: 0.7
[01:56:26] Combined | Iter 15 OK | fold: 3 | AUC: 0.498 | TSS: 0.187
[01:56:56] Combined | Iter 16 OK | fold: 4 | AUC: 0.916 | TSS: 0.741
[01:57:22] Combined | Iter 17 OK | fold: 1 | AUC: 0.928 | TSS: 0.755
[01:57:50] Combined | Iter 18 OK | fold: 2 | AUC: 0.914 | TSS: 0.695
[01:58:20] Combined | Iter 19 OK | fold: 3 | AUC: 0.402 | TSS: 0.091
[01:58:52] Combined | Iter 20 OK | fold: 4 | AUC: 0.939 | TSS: 0.759
[01:59:16] Combined | Iter 21 OK | fold: 1 | AUC: 0.906 | TSS: 0.658
[01:59:42] Combined | Iter 22 OK | fold: 2 | AUC: 0.915 | TSS: 0.679
[02:00:09] Combined | Iter 23 OK | fold: 3 | AUC: 0.494 | TSS: 0.155
[02:00:34] Combined | Iter 24 OK | fold: 4 | AUC: 0.901 | TSS: 0.728
[02:00:59] Combined | Iter 25 OK | fold: 1 | AUC: 0.901 | TSS: 0.711
[02:01:23] Combined | Iter 26 OK | fold: 2 | AUC: 0.902 | TSS: 0.663
[02:01:48] Combined | Iter 27 OK | fold: 3 | AUC: 0.428 | TSS: 0.128
[02:02:15] Combined | Iter 28 OK | fold: 4 | AUC: 0.921 | TSS: 0.737
[02:02:42] Combined | Iter 29 OK | fold: 1 | AUC: 0.917 | TSS: 0.708
[02:03:02] Combined | Iter 30 OK | fold: 2 | AUC: 0.901 | TSS: 0.668
[02:03:23] Combined | Iter 31 OK | fold: 3 | AUC: 0.429 | TSS: 0.163
[02:03:47] Combined | Iter 32 OK | fold: 4 | AUC: 0.919 | TSS: 0.733
[02:04:12] Combined | Iter 33 OK | fold: 1 | AUC: 0.905 | TSS: 0.75
[02:04:38] Combined | Iter 34 OK | fold: 2 | AUC: 0.913 | TSS: 0.667
[02:05:02] Combined | Iter 35 OK | fold: 3 | AUC: 0.45 | TSS: 0.12
[02:05:33] Combined | Iter 36 OK | fold: 4 | AUC: 0.897 | TSS: 0.693
[02:05:55] Combined | Iter 37 OK | fold: 1 | AUC: 0.908 | TSS: 0.714
[02:06:17] Combined | Iter 38 OK | fold: 2 | AUC: 0.905 | TSS: 0.685
[02:06:42] Combined | Iter 39 OK | fold: 3 | AUC: 0.463 | TSS: 0.167
[02:07:07] Combined | Iter 40 OK | fold: 4 | AUC: 0.92 | TSS: 0.748
