[23:44:49] EnvOnly | Iter 1 OK | fold: 1 | AUC: 0.884 | TSS: 0.622
[23:45:13] EnvOnly | Iter 2 OK | fold: 2 | AUC: 0.925 | TSS: 0.691
[23:45:41] EnvOnly | Iter 3 OK | fold: 3 | AUC: 0.341 | TSS: 0.075
[23:46:09] EnvOnly | Iter 4 OK | fold: 4 | AUC: 0.891 | TSS: 0.678
[23:46:36] EnvOnly | Iter 5 OK | fold: 1 | AUC: 0.87 | TSS: 0.614
[23:47:05] EnvOnly | Iter 6 OK | fold: 2 | AUC: 0.921 | TSS: 0.701
[23:47:25] EnvOnly | Iter 7 OK | fold: 3 | AUC: 0.434 | TSS: 0.113
[23:47:54] EnvOnly | Iter 8 OK | fold: 4 | AUC: 0.851 | TSS: 0.607
[23:48:19] EnvOnly | Iter 9 OK | fold: 1 | AUC: 0.883 | TSS: 0.659
[23:48:45] EnvOnly | Iter 10 OK | fold: 2 | AUC: 0.876 | TSS: 0.625
[23:49:11] EnvOnly | Iter 11 OK | fold: 3 | AUC: 0.376 | TSS: 0.086
[23:49:41] EnvOnly | Iter 12 OK | fold: 4 | AUC: 0.896 | TSS: 0.655
[23:50:07] EnvOnly | Iter 13 OK | fold: 1 | AUC: 0.857 | TSS: 0.577
[23:50:36] EnvOnly | Iter 14 OK | fold: 2 | AUC: 0.906 | TSS: 0.708
[23:50:59] EnvOnly | Iter 15 OK | fold: 3 | AUC: 0.42 | TSS: 0.093
[23:51:24] EnvOnly | Iter 16 OK | fold: 4 | AUC: 0.88 | TSS: 0.646
[23:51:50] EnvOnly | Iter 17 OK | fold: 1 | AUC: 0.906 | TSS: 0.714
[23:52:15] EnvOnly | Iter 18 OK | fold: 2 | AUC: 0.928 | TSS: 0.707
[23:52:43] EnvOnly | Iter 19 OK | fold: 3 | AUC: 0.353 | TSS: 0.083
[23:53:08] EnvOnly | Iter 20 OK | fold: 4 | AUC: 0.894 | TSS: 0.643
[23:53:34] EnvOnly | Iter 21 OK | fold: 1 | AUC: 0.89 | TSS: 0.629
[23:53:59] EnvOnly | Iter 22 OK | fold: 2 | AUC: 0.907 | TSS: 0.694
[23:54:19] EnvOnly | Iter 23 OK | fold: 3 | AUC: 0.407 | TSS: 0.095
[23:54:45] EnvOnly | Iter 24 OK | fold: 4 | AUC: 0.855 | TSS: 0.602
[23:55:14] EnvOnly | Iter 25 OK | fold: 1 | AUC: 0.852 | TSS: 0.592
[23:55:43] EnvOnly | Iter 26 OK | fold: 2 | AUC: 0.909 | TSS: 0.68
[23:56:09] EnvOnly | Iter 27 OK | fold: 3 | AUC: 0.345 | TSS: 0.066
[23:56:35] EnvOnly | Iter 28 OK | fold: 4 | AUC: 0.88 | TSS: 0.676
[23:57:04] EnvOnly | Iter 29 OK | fold: 1 | AUC: 0.902 | TSS: 0.691
[23:57:30] EnvOnly | Iter 30 OK | fold: 2 | AUC: 0.894 | TSS: 0.649
[23:58:00] EnvOnly | Iter 31 OK | fold: 3 | AUC: 0.381 | TSS: 0.118
[23:58:25] EnvOnly | Iter 32 OK | fold: 4 | AUC: 0.87 | TSS: 0.629
[23:58:55] EnvOnly | Iter 33 OK | fold: 1 | AUC: 0.879 | TSS: 0.687
[23:59:20] EnvOnly | Iter 34 OK | fold: 2 | AUC: 0.914 | TSS: 0.666
[23:59:47] EnvOnly | Iter 35 OK | fold: 3 | AUC: 0.389 | TSS: 0.091
[00:00:16] EnvOnly | Iter 36 OK | fold: 4 | AUC: 0.811 | TSS: 0.509
[00:00:40] EnvOnly | Iter 37 OK | fold: 1 | AUC: 0.866 | TSS: 0.648
[00:01:01] EnvOnly | Iter 38 OK | fold: 2 | AUC: 0.89 | TSS: 0.667
[00:01:28] EnvOnly | Iter 39 OK | fold: 3 | AUC: 0.385 | TSS: 0.087
[00:01:56] EnvOnly | Iter 40 OK | fold: 4 | AUC: 0.888 | TSS: 0.632
