[00:45:34] HostOnly | Iter 1 OK | fold: 1 | AUC: 0.833 | TSS: 0.556
[00:45:47] HostOnly | Iter 2 OK | fold: 2 | AUC: 0.876 | TSS: 0.629
[00:46:02] HostOnly | Iter 3 OK | fold: 3 | AUC: 0.485 | TSS: 0.158
[00:46:20] HostOnly | Iter 4 OK | fold: 4 | AUC: 0.914 | TSS: 0.704
[00:46:33] HostOnly | Iter 5 OK | fold: 1 | AUC: 0.809 | TSS: 0.563
[00:46:49] HostOnly | Iter 6 OK | fold: 2 | AUC: 0.85 | TSS: 0.58
[00:47:04] HostOnly | Iter 7 OK | fold: 3 | AUC: 0.462 | TSS: 0.163
[00:47:18] HostOnly | Iter 8 OK | fold: 4 | AUC: 0.916 | TSS: 0.712
[00:47:28] HostOnly | Iter 9 OK | fold: 1 | AUC: 0.806 | TSS: 0.554
[00:47:42] HostOnly | Iter 10 OK | fold: 2 | AUC: 0.821 | TSS: 0.528
[00:47:57] HostOnly | Iter 11 OK | fold: 3 | AUC: 0.467 | TSS: 0.154
[00:48:14] HostOnly | Iter 12 OK | fold: 4 | AUC: 0.909 | TSS: 0.706
[00:48:28] HostOnly | Iter 13 OK | fold: 1 | AUC: 0.824 | TSS: 0.56
[00:48:42] HostOnly | Iter 14 OK | fold: 2 | AUC: 0.888 | TSS: 0.7
[00:48:57] HostOnly | Iter 15 OK | fold: 3 | AUC: 0.484 | TSS: 0.162
[00:49:09] HostOnly | Iter 16 OK | fold: 4 | AUC: 0.907 | TSS: 0.699
[00:49:21] HostOnly | Iter 17 OK | fold: 1 | AUC: 0.801 | TSS: 0.561
[00:49:38] HostOnly | Iter 18 OK | fold: 2 | AUC: 0.865 | TSS: 0.573
[00:49:54] HostOnly | Iter 19 OK | fold: 3 | AUC: 0.485 | TSS: 0.157
[00:50:07] HostOnly | Iter 20 OK | fold: 4 | AUC: 0.915 | TSS: 0.715
[00:50:22] HostOnly | Iter 21 OK | fold: 1 | AUC: 0.818 | TSS: 0.544
[00:50:38] HostOnly | Iter 22 OK | fold: 2 | AUC: 0.869 | TSS: 0.587
[00:50:52] HostOnly | Iter 23 OK | fold: 3 | AUC: 0.454 | TSS: 0.166
[00:51:10] HostOnly | Iter 24 OK | fold: 4 | AUC: 0.908 | TSS: 0.691
[00:51:22] HostOnly | Iter 25 OK | fold: 1 | AUC: 0.789 | TSS: 0.531
[00:51:38] HostOnly | Iter 26 OK | fold: 2 | AUC: 0.886 | TSS: 0.65
[00:51:48] HostOnly | Iter 27 OK | fold: 3 | AUC: 0.483 | TSS: 0.165
[00:52:02] HostOnly | Iter 28 OK | fold: 4 | AUC: 0.915 | TSS: 0.735
[00:52:17] HostOnly | Iter 29 OK | fold: 1 | AUC: 0.79 | TSS: 0.554
[00:52:28] HostOnly | Iter 30 OK | fold: 2 | AUC: 0.862 | TSS: 0.607
[00:52:46] HostOnly | Iter 31 OK | fold: 3 | AUC: 0.486 | TSS: 0.189
[00:53:01] HostOnly | Iter 32 OK | fold: 4 | AUC: 0.91 | TSS: 0.692
[00:53:16] HostOnly | Iter 33 OK | fold: 1 | AUC: 0.802 | TSS: 0.564
[00:53:32] HostOnly | Iter 34 OK | fold: 2 | AUC: 0.885 | TSS: 0.617
[00:53:47] HostOnly | Iter 35 OK | fold: 3 | AUC: 0.484 | TSS: 0.169
[00:54:03] HostOnly | Iter 36 OK | fold: 4 | AUC: 0.916 | TSS: 0.741
[00:54:16] HostOnly | Iter 37 OK | fold: 1 | AUC: 0.802 | TSS: 0.56
[00:54:32] HostOnly | Iter 38 OK | fold: 2 | AUC: 0.861 | TSS: 0.579
[00:54:47] HostOnly | Iter 39 OK | fold: 3 | AUC: 0.471 | TSS: 0.177
[00:55:03] HostOnly | Iter 40 OK | fold: 4 | AUC: 0.914 | TSS: 0.7
