[02:04:12] Combined | Iter 1 OK | fold: 1 | AUC: 0.693 | TSS: 0.291
[02:04:41] Combined | Iter 2 OK | fold: 2 | AUC: 0.819 | TSS: 0.495
[02:05:14] Combined | Iter 3 OK | fold: 3 | AUC: 0.747 | TSS: 0.411
[02:05:43] Combined | Iter 4 OK | fold: 4 | AUC: 0.845 | TSS: 0.596
[02:06:13] Combined | Iter 5 OK | fold: 1 | AUC: 0.634 | TSS: 0.263
[02:06:42] Combined | Iter 6 OK | fold: 2 | AUC: 0.836 | TSS: 0.543
[02:07:11] Combined | Iter 7 OK | fold: 3 | AUC: 0.763 | TSS: 0.433
[02:07:39] Combined | Iter 8 OK | fold: 4 | AUC: 0.806 | TSS: 0.538
[02:08:04] Combined | Iter 9 OK | fold: 1 | AUC: 0.677 | TSS: 0.279
[02:08:30] Combined | Iter 10 OK | fold: 2 | AUC: 0.841 | TSS: 0.531
[02:08:54] Combined | Iter 11 OK | fold: 3 | AUC: 0.759 | TSS: 0.419
[02:09:20] Combined | Iter 12 OK | fold: 4 | AUC: 0.855 | TSS: 0.603
[02:09:43] Combined | Iter 13 OK | fold: 1 | AUC: 0.712 | TSS: 0.327
[02:10:07] Combined | Iter 14 OK | fold: 2 | AUC: 0.82 | TSS: 0.499
[02:10:36] Combined | Iter 15 OK | fold: 3 | AUC: 0.798 | TSS: 0.466
[02:10:59] Combined | Iter 16 OK | fold: 4 | AUC: 0.847 | TSS: 0.58
[02:11:21] Combined | Iter 17 OK | fold: 1 | AUC: 0.626 | TSS: 0.256
[02:11:40] Combined | Iter 18 OK | fold: 2 | AUC: 0.818 | TSS: 0.495
[02:12:03] Combined | Iter 19 OK | fold: 3 | AUC: 0.771 | TSS: 0.448
[02:12:25] Combined | Iter 20 OK | fold: 4 | AUC: 0.817 | TSS: 0.565
[02:12:42] Combined | Iter 21 OK | fold: 1 | AUC: 0.686 | TSS: 0.287
[02:13:03] Combined | Iter 22 OK | fold: 2 | AUC: 0.856 | TSS: 0.58
[02:13:21] Combined | Iter 23 OK | fold: 3 | AUC: 0.785 | TSS: 0.45
[02:13:39] Combined | Iter 24 OK | fold: 4 | AUC: 0.825 | TSS: 0.579
[02:14:02] Combined | Iter 25 OK | fold: 1 | AUC: 0.717 | TSS: 0.333
[02:14:20] Combined | Iter 26 OK | fold: 2 | AUC: 0.805 | TSS: 0.478
[02:14:37] Combined | Iter 27 OK | fold: 3 | AUC: 0.772 | TSS: 0.438
[02:15:01] Combined | Iter 28 OK | fold: 4 | AUC: 0.842 | TSS: 0.589
[02:15:18] Combined | Iter 29 OK | fold: 1 | AUC: 0.646 | TSS: 0.302
[02:15:32] Combined | Iter 30 OK | fold: 2 | AUC: 0.851 | TSS: 0.567
[02:15:50] Combined | Iter 31 OK | fold: 3 | AUC: 0.774 | TSS: 0.445
[02:16:03] Combined | Iter 32 OK | fold: 4 | AUC: 0.824 | TSS: 0.54
[02:16:19] Combined | Iter 33 OK | fold: 1 | AUC: 0.67 | TSS: 0.292
[02:16:32] Combined | Iter 34 OK | fold: 2 | AUC: 0.826 | TSS: 0.511
[02:16:49] Combined | Iter 35 OK | fold: 3 | AUC: 0.779 | TSS: 0.461
[02:17:02] Combined | Iter 36 OK | fold: 4 | AUC: 0.845 | TSS: 0.584
[02:17:18] Combined | Iter 37 OK | fold: 1 | AUC: 0.652 | TSS: 0.276
[02:17:31] Combined | Iter 38 OK | fold: 2 | AUC: 0.812 | TSS: 0.488
[02:17:47] Combined | Iter 39 OK | fold: 3 | AUC: 0.779 | TSS: 0.454
[02:18:01] Combined | Iter 40 OK | fold: 4 | AUC: 0.821 | TSS: 0.562
