[23:57:48] EnvOnly | Iter 1 OK | fold: 1 | AUC: 0.632 | TSS: 0.282
[23:58:24] EnvOnly | Iter 2 OK | fold: 2 | AUC: 0.801 | TSS: 0.478
[23:59:03] EnvOnly | Iter 3 OK | fold: 3 | AUC: 0.715 | TSS: 0.326
[23:59:42] EnvOnly | Iter 4 OK | fold: 4 | AUC: 0.797 | TSS: 0.489
[00:00:12] EnvOnly | Iter 5 OK | fold: 1 | AUC: 0.594 | TSS: 0.297
[00:00:45] EnvOnly | Iter 6 OK | fold: 2 | AUC: 0.809 | TSS: 0.484
[00:01:19] EnvOnly | Iter 7 OK | fold: 3 | AUC: 0.736 | TSS: 0.378
[00:01:52] EnvOnly | Iter 8 OK | fold: 4 | AUC: 0.765 | TSS: 0.466
[00:02:23] EnvOnly | Iter 9 OK | fold: 1 | AUC: 0.635 | TSS: 0.326
[00:02:53] EnvOnly | Iter 10 OK | fold: 2 | AUC: 0.806 | TSS: 0.468
[00:03:23] EnvOnly | Iter 11 OK | fold: 3 | AUC: 0.715 | TSS: 0.338
[00:03:52] EnvOnly | Iter 12 OK | fold: 4 | AUC: 0.814 | TSS: 0.527
[00:04:18] EnvOnly | Iter 13 OK | fold: 1 | AUC: 0.675 | TSS: 0.329
[00:04:45] EnvOnly | Iter 14 OK | fold: 2 | AUC: 0.781 | TSS: 0.451
[00:05:09] EnvOnly | Iter 15 OK | fold: 3 | AUC: 0.772 | TSS: 0.438
[00:05:34] EnvOnly | Iter 16 OK | fold: 4 | AUC: 0.819 | TSS: 0.519
[00:05:54] EnvOnly | Iter 17 OK | fold: 1 | AUC: 0.59 | TSS: 0.323
[00:06:19] EnvOnly | Iter 18 OK | fold: 2 | AUC: 0.799 | TSS: 0.463
[00:06:43] EnvOnly | Iter 19 OK | fold: 3 | AUC: 0.738 | TSS: 0.391
[00:07:07] EnvOnly | Iter 20 OK | fold: 4 | AUC: 0.763 | TSS: 0.445
[00:07:28] EnvOnly | Iter 21 OK | fold: 1 | AUC: 0.642 | TSS: 0.308
[00:07:52] EnvOnly | Iter 22 OK | fold: 2 | AUC: 0.823 | TSS: 0.511
[00:08:19] EnvOnly | Iter 23 OK | fold: 3 | AUC: 0.755 | TSS: 0.405
[00:08:44] EnvOnly | Iter 24 OK | fold: 4 | AUC: 0.783 | TSS: 0.483
[00:09:04] EnvOnly | Iter 25 OK | fold: 1 | AUC: 0.67 | TSS: 0.322
[00:09:26] EnvOnly | Iter 26 OK | fold: 2 | AUC: 0.78 | TSS: 0.448
[00:09:49] EnvOnly | Iter 27 OK | fold: 3 | AUC: 0.724 | TSS: 0.352
[00:10:11] EnvOnly | Iter 28 OK | fold: 4 | AUC: 0.792 | TSS: 0.471
[00:10:31] EnvOnly | Iter 29 OK | fold: 1 | AUC: 0.602 | TSS: 0.308
[00:10:49] EnvOnly | Iter 30 OK | fold: 2 | AUC: 0.821 | TSS: 0.498
[00:11:14] EnvOnly | Iter 31 OK | fold: 3 | AUC: 0.748 | TSS: 0.379
[00:11:38] EnvOnly | Iter 32 OK | fold: 4 | AUC: 0.776 | TSS: 0.438
[00:11:58] EnvOnly | Iter 33 OK | fold: 1 | AUC: 0.624 | TSS: 0.313
[00:12:20] EnvOnly | Iter 34 OK | fold: 2 | AUC: 0.808 | TSS: 0.477
[00:12:39] EnvOnly | Iter 35 OK | fold: 3 | AUC: 0.747 | TSS: 0.397
[00:12:58] EnvOnly | Iter 36 OK | fold: 4 | AUC: 0.805 | TSS: 0.522
[00:13:18] EnvOnly | Iter 37 OK | fold: 1 | AUC: 0.605 | TSS: 0.299
[00:13:37] EnvOnly | Iter 38 OK | fold: 2 | AUC: 0.79 | TSS: 0.444
[00:13:56] EnvOnly | Iter 39 OK | fold: 3 | AUC: 0.749 | TSS: 0.403
[00:14:16] EnvOnly | Iter 40 OK | fold: 4 | AUC: 0.769 | TSS: 0.443
