[00:56:59] HostOnly | Iter 1 OK | fold: 1 | AUC: 0.692 | TSS: 0.352
[00:57:14] HostOnly | Iter 2 OK | fold: 2 | AUC: 0.693 | TSS: 0.346
[00:57:26] HostOnly | Iter 3 OK | fold: 3 | AUC: 0.469 | TSS: 0.148
[00:57:42] HostOnly | Iter 4 OK | fold: 4 | AUC: 0.779 | TSS: 0.515
[00:57:55] HostOnly | Iter 5 OK | fold: 1 | AUC: 0.692 | TSS: 0.33
[00:58:10] HostOnly | Iter 6 OK | fold: 2 | AUC: 0.731 | TSS: 0.404
[00:58:22] HostOnly | Iter 7 OK | fold: 3 | AUC: 0.479 | TSS: 0.147
[00:58:39] HostOnly | Iter 8 OK | fold: 4 | AUC: 0.771 | TSS: 0.524
[00:58:53] HostOnly | Iter 9 OK | fold: 1 | AUC: 0.697 | TSS: 0.354
[00:59:08] HostOnly | Iter 10 OK | fold: 2 | AUC: 0.757 | TSS: 0.438
[00:59:20] HostOnly | Iter 11 OK | fold: 3 | AUC: 0.481 | TSS: 0.155
[00:59:36] HostOnly | Iter 12 OK | fold: 4 | AUC: 0.782 | TSS: 0.522
[00:59:47] HostOnly | Iter 13 OK | fold: 1 | AUC: 0.693 | TSS: 0.351
[01:00:03] HostOnly | Iter 14 OK | fold: 2 | AUC: 0.708 | TSS: 0.365
[01:00:17] HostOnly | Iter 15 OK | fold: 3 | AUC: 0.479 | TSS: 0.151
[01:00:36] HostOnly | Iter 16 OK | fold: 4 | AUC: 0.794 | TSS: 0.528
[01:00:46] HostOnly | Iter 17 OK | fold: 1 | AUC: 0.69 | TSS: 0.354
[01:01:02] HostOnly | Iter 18 OK | fold: 2 | AUC: 0.724 | TSS: 0.4
[01:01:14] HostOnly | Iter 19 OK | fold: 3 | AUC: 0.483 | TSS: 0.146
[01:01:27] HostOnly | Iter 20 OK | fold: 4 | AUC: 0.783 | TSS: 0.511
[01:01:39] HostOnly | Iter 21 OK | fold: 1 | AUC: 0.686 | TSS: 0.345
[01:01:50] HostOnly | Iter 22 OK | fold: 2 | AUC: 0.76 | TSS: 0.441
[01:02:02] HostOnly | Iter 23 OK | fold: 3 | AUC: 0.486 | TSS: 0.151
[01:02:13] HostOnly | Iter 24 OK | fold: 4 | AUC: 0.793 | TSS: 0.518
[01:02:25] HostOnly | Iter 25 OK | fold: 1 | AUC: 0.686 | TSS: 0.35
[01:02:35] HostOnly | Iter 26 OK | fold: 2 | AUC: 0.675 | TSS: 0.312
[01:02:44] HostOnly | Iter 27 OK | fold: 3 | AUC: 0.478 | TSS: 0.154
[01:02:54] HostOnly | Iter 28 OK | fold: 4 | AUC: 0.765 | TSS: 0.523
[01:03:06] HostOnly | Iter 29 OK | fold: 1 | AUC: 0.687 | TSS: 0.332
[01:03:15] HostOnly | Iter 30 OK | fold: 2 | AUC: 0.718 | TSS: 0.402
[01:03:27] HostOnly | Iter 31 OK | fold: 3 | AUC: 0.48 | TSS: 0.152
[01:03:39] HostOnly | Iter 32 OK | fold: 4 | AUC: 0.799 | TSS: 0.539
[01:03:48] HostOnly | Iter 33 OK | fold: 1 | AUC: 0.687 | TSS: 0.318
[01:03:59] HostOnly | Iter 34 OK | fold: 2 | AUC: 0.705 | TSS: 0.309
[01:04:08] HostOnly | Iter 35 OK | fold: 3 | AUC: 0.484 | TSS: 0.154
[01:04:19] HostOnly | Iter 36 OK | fold: 4 | AUC: 0.779 | TSS: 0.518
[01:04:30] HostOnly | Iter 37 OK | fold: 1 | AUC: 0.694 | TSS: 0.345
[01:04:37] HostOnly | Iter 38 OK | fold: 2 | AUC: 0.724 | TSS: 0.387
[01:04:49] HostOnly | Iter 39 OK | fold: 3 | AUC: 0.477 | TSS: 0.15
[01:05:02] HostOnly | Iter 40 OK | fold: 4 | AUC: 0.755 | TSS: 0.51
