[01:56:49] Combined | Iter 1 OK | fold: 1 | AUC: 0.901 | TSS: 0.719
[01:57:15] Combined | Iter 2 OK | fold: 2 | AUC: 0.916 | TSS: 0.716
[01:57:41] Combined | Iter 3 OK | fold: 3 | AUC: 0.744 | TSS: 0.477
[01:58:09] Combined | Iter 4 OK | fold: 1 | AUC: 0.927 | TSS: 0.761
[01:58:37] Combined | Iter 5 OK | fold: 2 | AUC: 0.91 | TSS: 0.737
[01:59:03] Combined | Iter 6 OK | fold: 3 | AUC: 0.726 | TSS: 0.452
[01:59:34] Combined | Iter 7 OK | fold: 1 | AUC: 0.924 | TSS: 0.765
[02:00:01] Combined | Iter 8 OK | fold: 2 | AUC: 0.91 | TSS: 0.741
[02:00:26] Combined | Iter 9 OK | fold: 3 | AUC: 0.735 | TSS: 0.463
[02:00:54] Combined | Iter 10 OK | fold: 1 | AUC: 0.91 | TSS: 0.726
[02:01:22] Combined | Iter 11 OK | fold: 2 | AUC: 0.887 | TSS: 0.709
[02:01:46] Combined | Iter 12 OK | fold: 3 | AUC: 0.744 | TSS: 0.502
[02:02:13] Combined | Iter 13 OK | fold: 1 | AUC: 0.915 | TSS: 0.762
[02:02:37] Combined | Iter 14 OK | fold: 2 | AUC: 0.871 | TSS: 0.697
[02:02:56] Combined | Iter 15 OK | fold: 3 | AUC: 0.721 | TSS: 0.408
[02:03:21] Combined | Iter 16 OK | fold: 1 | AUC: 0.929 | TSS: 0.772
[02:03:44] Combined | Iter 17 OK | fold: 2 | AUC: 0.887 | TSS: 0.682
[02:04:09] Combined | Iter 18 OK | fold: 3 | AUC: 0.732 | TSS: 0.454
[02:04:33] Combined | Iter 19 OK | fold: 1 | AUC: 0.931 | TSS: 0.778
[02:04:57] Combined | Iter 20 OK | fold: 2 | AUC: 0.894 | TSS: 0.718
[02:05:18] Combined | Iter 21 OK | fold: 3 | AUC: 0.777 | TSS: 0.496
[02:05:43] Combined | Iter 22 OK | fold: 1 | AUC: 0.905 | TSS: 0.692
[02:06:09] Combined | Iter 23 OK | fold: 2 | AUC: 0.905 | TSS: 0.744
[02:06:29] Combined | Iter 24 OK | fold: 3 | AUC: 0.738 | TSS: 0.459
[02:06:49] Combined | Iter 25 OK | fold: 1 | AUC: 0.913 | TSS: 0.736
[02:07:11] Combined | Iter 26 OK | fold: 2 | AUC: 0.9 | TSS: 0.716
[02:07:34] Combined | Iter 27 OK | fold: 3 | AUC: 0.75 | TSS: 0.483
[02:07:52] Combined | Iter 28 OK | fold: 1 | AUC: 0.931 | TSS: 0.756
[02:08:09] Combined | Iter 29 OK | fold: 2 | AUC: 0.921 | TSS: 0.736
[02:08:31] Combined | Iter 30 OK | fold: 3 | AUC: 0.775 | TSS: 0.487
[02:08:50] Combined | Iter 31 OK | fold: 1 | AUC: 0.911 | TSS: 0.726
[02:09:11] Combined | Iter 32 OK | fold: 2 | AUC: 0.905 | TSS: 0.716
[02:09:31] Combined | Iter 33 OK | fold: 3 | AUC: 0.759 | TSS: 0.523
[02:09:50] Combined | Iter 34 OK | fold: 1 | AUC: 0.925 | TSS: 0.759
[02:10:07] Combined | Iter 35 OK | fold: 2 | AUC: 0.867 | TSS: 0.637
[02:10:28] Combined | Iter 36 OK | fold: 3 | AUC: 0.748 | TSS: 0.462
[02:10:48] Combined | Iter 37 OK | fold: 1 | AUC: 0.919 | TSS: 0.748
[02:11:09] Combined | Iter 38 OK | fold: 2 | AUC: 0.888 | TSS: 0.708
[02:11:27] Combined | Iter 39 OK | fold: 3 | AUC: 0.783 | TSS: 0.523
[02:11:43] Combined | Iter 40 OK | fold: 1 | AUC: 0.916 | TSS: 0.71
