[23:48:18] EnvOnly | Iter 1 OK | fold: 1 | AUC: 0.891 | TSS: 0.748
[23:48:44] EnvOnly | Iter 2 OK | fold: 2 | AUC: 0.923 | TSS: 0.756
[23:49:07] EnvOnly | Iter 3 OK | fold: 3 | AUC: 0.684 | TSS: 0.403
[23:49:35] EnvOnly | Iter 4 OK | fold: 1 | AUC: 0.913 | TSS: 0.78
[23:50:02] EnvOnly | Iter 5 OK | fold: 2 | AUC: 0.895 | TSS: 0.692
[23:50:26] EnvOnly | Iter 6 OK | fold: 3 | AUC: 0.66 | TSS: 0.361
[23:50:50] EnvOnly | Iter 7 OK | fold: 1 | AUC: 0.915 | TSS: 0.741
[23:51:16] EnvOnly | Iter 8 OK | fold: 2 | AUC: 0.902 | TSS: 0.744
[23:51:44] EnvOnly | Iter 9 OK | fold: 3 | AUC: 0.665 | TSS: 0.337
[23:52:06] EnvOnly | Iter 10 OK | fold: 1 | AUC: 0.894 | TSS: 0.768
[23:52:33] EnvOnly | Iter 11 OK | fold: 2 | AUC: 0.89 | TSS: 0.734
[23:52:58] EnvOnly | Iter 12 OK | fold: 3 | AUC: 0.677 | TSS: 0.385
[23:53:23] EnvOnly | Iter 13 OK | fold: 1 | AUC: 0.908 | TSS: 0.779
[23:53:52] EnvOnly | Iter 14 OK | fold: 2 | AUC: 0.85 | TSS: 0.665
[23:54:17] EnvOnly | Iter 15 OK | fold: 3 | AUC: 0.656 | TSS: 0.334
[23:54:42] EnvOnly | Iter 16 OK | fold: 1 | AUC: 0.914 | TSS: 0.721
[23:55:12] EnvOnly | Iter 17 OK | fold: 2 | AUC: 0.869 | TSS: 0.645
[23:55:33] EnvOnly | Iter 18 OK | fold: 3 | AUC: 0.669 | TSS: 0.399
[23:56:03] EnvOnly | Iter 19 OK | fold: 1 | AUC: 0.92 | TSS: 0.768
[23:56:30] EnvOnly | Iter 20 OK | fold: 2 | AUC: 0.873 | TSS: 0.677
[23:56:58] EnvOnly | Iter 21 OK | fold: 3 | AUC: 0.699 | TSS: 0.368
[23:57:28] EnvOnly | Iter 22 OK | fold: 1 | AUC: 0.903 | TSS: 0.755
[23:57:57] EnvOnly | Iter 23 OK | fold: 2 | AUC: 0.902 | TSS: 0.717
[23:58:22] EnvOnly | Iter 24 OK | fold: 3 | AUC: 0.672 | TSS: 0.393
[23:58:52] EnvOnly | Iter 25 OK | fold: 1 | AUC: 0.906 | TSS: 0.772
[23:59:22] EnvOnly | Iter 26 OK | fold: 2 | AUC: 0.892 | TSS: 0.734
[23:59:50] EnvOnly | Iter 27 OK | fold: 3 | AUC: 0.662 | TSS: 0.336
[00:00:17] EnvOnly | Iter 28 OK | fold: 1 | AUC: 0.923 | TSS: 0.757
[00:00:39] EnvOnly | Iter 29 OK | fold: 2 | AUC: 0.918 | TSS: 0.743
[00:01:05] EnvOnly | Iter 30 OK | fold: 3 | AUC: 0.688 | TSS: 0.333
[00:01:32] EnvOnly | Iter 31 OK | fold: 1 | AUC: 0.905 | TSS: 0.776
[00:01:59] EnvOnly | Iter 32 OK | fold: 2 | AUC: 0.912 | TSS: 0.745
[00:02:20] EnvOnly | Iter 33 OK | fold: 3 | AUC: 0.712 | TSS: 0.419
[00:02:42] EnvOnly | Iter 34 OK | fold: 1 | AUC: 0.911 | TSS: 0.78
[00:02:58] EnvOnly | Iter 35 OK | fold: 2 | AUC: 0.853 | TSS: 0.638
[00:03:25] EnvOnly | Iter 36 OK | fold: 3 | AUC: 0.689 | TSS: 0.385
[00:03:49] EnvOnly | Iter 37 OK | fold: 1 | AUC: 0.904 | TSS: 0.754
[00:04:13] EnvOnly | Iter 38 OK | fold: 2 | AUC: 0.869 | TSS: 0.662
[00:04:32] EnvOnly | Iter 39 OK | fold: 3 | AUC: 0.701 | TSS: 0.396
[00:04:56] EnvOnly | Iter 40 OK | fold: 1 | AUC: 0.912 | TSS: 0.769
