[00:51:51] HostOnly | Iter 1 OK | fold: 1 | AUC: 0.683 | TSS: 0.459
[00:52:07] HostOnly | Iter 2 OK | fold: 2 | AUC: 0.799 | TSS: 0.597
[00:52:17] HostOnly | Iter 3 OK | fold: 3 | AUC: 0.695 | TSS: 0.431
[00:52:31] HostOnly | Iter 4 OK | fold: 1 | AUC: 0.76 | TSS: 0.519
[00:52:42] HostOnly | Iter 5 OK | fold: 2 | AUC: 0.817 | TSS: 0.596
[00:52:51] HostOnly | Iter 6 OK | fold: 3 | AUC: 0.697 | TSS: 0.427
[00:53:06] HostOnly | Iter 7 OK | fold: 1 | AUC: 0.697 | TSS: 0.489
[00:53:16] HostOnly | Iter 8 OK | fold: 2 | AUC: 0.8 | TSS: 0.611
[00:53:30] HostOnly | Iter 9 OK | fold: 3 | AUC: 0.692 | TSS: 0.444
[00:53:48] HostOnly | Iter 10 OK | fold: 1 | AUC: 0.708 | TSS: 0.484
[00:54:05] HostOnly | Iter 11 OK | fold: 2 | AUC: 0.816 | TSS: 0.618
[00:54:19] HostOnly | Iter 12 OK | fold: 3 | AUC: 0.667 | TSS: 0.363
[00:54:36] HostOnly | Iter 13 OK | fold: 1 | AUC: 0.736 | TSS: 0.495
[00:54:48] HostOnly | Iter 14 OK | fold: 2 | AUC: 0.757 | TSS: 0.572
[00:55:04] HostOnly | Iter 15 OK | fold: 3 | AUC: 0.691 | TSS: 0.441
[00:55:15] HostOnly | Iter 16 OK | fold: 1 | AUC: 0.75 | TSS: 0.506
[00:55:30] HostOnly | Iter 17 OK | fold: 2 | AUC: 0.807 | TSS: 0.614
[00:55:43] HostOnly | Iter 18 OK | fold: 3 | AUC: 0.685 | TSS: 0.426
[00:55:58] HostOnly | Iter 19 OK | fold: 1 | AUC: 0.73 | TSS: 0.492
[00:56:13] HostOnly | Iter 20 OK | fold: 2 | AUC: 0.816 | TSS: 0.62
[00:56:26] HostOnly | Iter 21 OK | fold: 3 | AUC: 0.689 | TSS: 0.418
[00:56:38] HostOnly | Iter 22 OK | fold: 1 | AUC: 0.711 | TSS: 0.487
[00:56:49] HostOnly | Iter 23 OK | fold: 2 | AUC: 0.821 | TSS: 0.632
[00:57:04] HostOnly | Iter 24 OK | fold: 3 | AUC: 0.695 | TSS: 0.412
[00:57:17] HostOnly | Iter 25 OK | fold: 1 | AUC: 0.702 | TSS: 0.483
[00:57:32] HostOnly | Iter 26 OK | fold: 2 | AUC: 0.799 | TSS: 0.597
[00:57:44] HostOnly | Iter 27 OK | fold: 3 | AUC: 0.702 | TSS: 0.426
[00:57:55] HostOnly | Iter 28 OK | fold: 1 | AUC: 0.731 | TSS: 0.513
[00:58:10] HostOnly | Iter 29 OK | fold: 2 | AUC: 0.827 | TSS: 0.622
[00:58:21] HostOnly | Iter 30 OK | fold: 3 | AUC: 0.679 | TSS: 0.407
[00:58:33] HostOnly | Iter 31 OK | fold: 1 | AUC: 0.735 | TSS: 0.502
[00:58:44] HostOnly | Iter 32 OK | fold: 2 | AUC: 0.771 | TSS: 0.573
[00:58:58] HostOnly | Iter 33 OK | fold: 3 | AUC: 0.684 | TSS: 0.419
[00:59:11] HostOnly | Iter 34 OK | fold: 1 | AUC: 0.732 | TSS: 0.502
[00:59:26] HostOnly | Iter 35 OK | fold: 2 | AUC: 0.793 | TSS: 0.559
[00:59:41] HostOnly | Iter 36 OK | fold: 3 | AUC: 0.697 | TSS: 0.435
[00:59:53] HostOnly | Iter 37 OK | fold: 1 | AUC: 0.712 | TSS: 0.491
[01:00:08] HostOnly | Iter 38 OK | fold: 2 | AUC: 0.752 | TSS: 0.559
[01:00:17] HostOnly | Iter 39 OK | fold: 3 | AUC: 0.697 | TSS: 0.426
[01:00:29] HostOnly | Iter 40 OK | fold: 1 | AUC: 0.743 | TSS: 0.501
