[00:06:52] EnvOnly | Iter 1 OK | fold: 1 | AUC: 0.801 | TSS: 0.527
[00:07:11] EnvOnly | Iter 2 OK | fold: 2 | AUC: 0.713 | TSS: 0.309
[00:07:31] EnvOnly | Iter 3 OK | fold: 3 | AUC: 0.687 | TSS: 0.308
[00:07:54] EnvOnly | Iter 4 OK | fold: 4 | AUC: 0.799 | TSS: 0.51
[00:08:17] EnvOnly | Iter 5 OK | fold: 1 | AUC: 0.816 | TSS: 0.527
[00:08:37] EnvOnly | Iter 6 OK | fold: 2 | AUC: 0.711 | TSS: 0.317
[00:08:52] EnvOnly | Iter 7 OK | fold: 3 | AUC: 0.694 | TSS: 0.315
[00:09:18] EnvOnly | Iter 8 OK | fold: 4 | AUC: 0.797 | TSS: 0.515
[00:09:38] EnvOnly | Iter 9 OK | fold: 1 | AUC: 0.787 | TSS: 0.505
[00:09:58] EnvOnly | Iter 10 OK | fold: 2 | AUC: 0.71 | TSS: 0.307
[00:10:19] EnvOnly | Iter 11 OK | fold: 3 | AUC: 0.701 | TSS: 0.327
[00:10:42] EnvOnly | Iter 12 OK | fold: 4 | AUC: 0.784 | TSS: 0.463
[00:11:01] EnvOnly | Iter 13 OK | fold: 1 | AUC: 0.81 | TSS: 0.489
[00:11:19] EnvOnly | Iter 14 OK | fold: 2 | AUC: 0.704 | TSS: 0.292
[00:11:41] EnvOnly | Iter 15 OK | fold: 3 | AUC: 0.702 | TSS: 0.33
[00:12:04] EnvOnly | Iter 16 OK | fold: 4 | AUC: 0.802 | TSS: 0.519
[00:12:26] EnvOnly | Iter 17 OK | fold: 1 | AUC: 0.8 | TSS: 0.494
[00:12:44] EnvOnly | Iter 18 OK | fold: 2 | AUC: 0.715 | TSS: 0.332
[00:13:01] EnvOnly | Iter 19 OK | fold: 3 | AUC: 0.706 | TSS: 0.33
[00:13:18] EnvOnly | Iter 20 OK | fold: 4 | AUC: 0.792 | TSS: 0.488
[00:13:37] EnvOnly | Iter 21 OK | fold: 1 | AUC: 0.818 | TSS: 0.549
[00:13:52] EnvOnly | Iter 22 OK | fold: 2 | AUC: 0.728 | TSS: 0.334
[00:14:12] EnvOnly | Iter 23 OK | fold: 3 | AUC: 0.658 | TSS: 0.278
[00:14:28] EnvOnly | Iter 24 OK | fold: 4 | AUC: 0.804 | TSS: 0.536
[00:14:43] EnvOnly | Iter 25 OK | fold: 1 | AUC: 0.799 | TSS: 0.529
[00:14:55] EnvOnly | Iter 26 OK | fold: 2 | AUC: 0.696 | TSS: 0.285
[00:15:09] EnvOnly | Iter 27 OK | fold: 3 | AUC: 0.677 | TSS: 0.314
[00:15:24] EnvOnly | Iter 28 OK | fold: 4 | AUC: 0.799 | TSS: 0.507
[00:15:40] EnvOnly | Iter 29 OK | fold: 1 | AUC: 0.809 | TSS: 0.533
[00:15:51] EnvOnly | Iter 30 OK | fold: 2 | AUC: 0.716 | TSS: 0.315
[00:16:05] EnvOnly | Iter 31 OK | fold: 3 | AUC: 0.707 | TSS: 0.324
[00:16:19] EnvOnly | Iter 32 OK | fold: 4 | AUC: 0.798 | TSS: 0.49
[00:16:34] EnvOnly | Iter 33 OK | fold: 1 | AUC: 0.803 | TSS: 0.533
[00:16:46] EnvOnly | Iter 34 OK | fold: 2 | AUC: 0.7 | TSS: 0.299
[00:17:00] EnvOnly | Iter 35 OK | fold: 3 | AUC: 0.676 | TSS: 0.306
[00:17:16] EnvOnly | Iter 36 OK | fold: 4 | AUC: 0.8 | TSS: 0.494
[00:17:31] EnvOnly | Iter 37 OK | fold: 1 | AUC: 0.801 | TSS: 0.517
[00:17:44] EnvOnly | Iter 38 OK | fold: 2 | AUC: 0.701 | TSS: 0.292
[00:17:59] EnvOnly | Iter 39 OK | fold: 3 | AUC: 0.679 | TSS: 0.298
[00:18:16] EnvOnly | Iter 40 OK | fold: 4 | AUC: 0.794 | TSS: 0.49
